"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0012",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0013",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
"F0014",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3
"F0015",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0017",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0019",1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,5
"F0020",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4
"F0021",1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,6
"F0023",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
"F0026",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0027",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0003",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
"F0030",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
"F0031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0034",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
"F0035",1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,5
"F0004",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0039",1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,5
"F0041",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
"F0042",1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4
"F0044",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
"F0045",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0046",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
"F0005",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0049",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0050",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
"F0006",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"F0059",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"F0061",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0068",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
"F0071",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0072",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
