"","Mucoromycota","Basidiomycota","other","Ascomycota","diversity"
"F0012",0,0,0,1,1
"F0013",0,1,0,1,2
"F0014",0,1,0,1,2
"F0015",0,1,0,0,1
"F0017",0,1,0,0,1
"F0019",0,1,0,1,2
"F0020",0,1,0,1,2
"F0021",0,1,0,1,2
"F0023",0,1,0,1,2
"F0026",0,1,0,1,2
"F0027",0,0,0,1,1
"F0003",0,1,0,1,2
"F0030",0,1,0,1,2
"F0031",0,0,0,1,1
"F0034",0,0,0,1,1
"F0035",0,1,0,1,2
"F0004",0,0,0,1,1
"F0039",0,1,0,1,2
"F0041",0,1,0,0,1
"F0042",0,1,0,1,2
"F0044",0,0,0,1,1
"F0045",0,1,0,1,2
"F0046",0,1,0,1,2
"F0005",0,0,0,1,1
"F0049",0,0,0,1,1
"F0050",0,0,0,1,1
"F0006",0,1,0,1,2
"F0059",0,0,0,1,1
"F0061",0,1,0,0,1
"F0068",0,0,0,1,1
"F0071",0,0,0,1,1
"F0072",0,0,0,1,1
"F0074",0,0,0,1,1
"F0008",0,0,0,1,1
"F0076",0,0,0,1,1
"F0078",0,1,0,1,2
"F0109",0,0,0,1,1
"F0110",0,0,0,1,1
"F0114",0,0,0,1,1
"F0118",0,1,0,1,2
"F0123",0,1,0,1,2
"F0125",0,1,0,1,2
"F0127",0,1,0,1,2
"F0129",0,1,0,1,2
"F0132",0,1,0,1,2
"F0134",0,1,0,1,2
"F0136",0,1,0,1,2
"F0138",0,0,0,1,1
"F0140",0,1,0,1,2
"F0142",0,0,0,1,1
"F0146",0,1,0,1,2
"F0148",0,1,0,1,2
"F0151",0,1,0,1,2
"F0153",0,0,0,1,1
"F0155",0,0,0,1,1
"F0157",0,1,0,1,2
"F0163",0,0,0,1,1
"F0166",0,1,0,0,1
"F0168",0,1,0,1,2
"F0169",0,1,0,0,1
"F0177",0,1,0,1,2
"F0179",0,1,0,1,2
"F0182",0,1,0,1,2
"F0184",0,1,0,0,1
"F0186",0,1,0,0,1
"F0291",0,1,0,0,1
"F0299",0,1,0,0,1
"F0300",0,0,0,1,1
"F0302",0,1,0,0,1
"F0313",0,0,0,1,1
"F0317",0,0,1,0,1
"F0318",0,0,0,1,1
"F0323",0,1,0,0,1
"F0332",0,1,0,1,2
"F0333",0,0,0,1,1
"F0334",0,1,0,1,2
"F0336",0,0,0,1,1
"F0339",0,0,0,1,1
"F0340",0,0,0,1,1
"F0341",0,0,0,1,1
"F0344",0,1,0,1,2
"F0345",0,0,0,1,1
"F0346",0,0,0,1,1
"F0351",0,1,0,1,2
"F0353",0,0,0,1,1
"F0356",0,1,0,1,2
"F0368",0,1,0,1,2
"F0369",0,1,0,1,2
"F0374",0,0,0,1,1
"F0376",0,0,0,1,1
"F0388",0,0,0,1,1
"F0391",0,0,0,1,1
"F0396",0,0,0,1,1
"F0397",0,1,0,0,1
"F0398",0,1,0,1,2
"F0405",0,1,0,1,2
"F0411",0,1,0,0,1
"F0414",0,1,0,0,1
"F0415",0,1,0,0,1
"F0416",0,1,0,0,1
"F0419",0,1,0,0,1
"F0420",0,1,0,0,1
"F0422",0,1,0,0,1
"F0424",0,1,0,0,1
"F0430",0,1,0,1,2
"F0432",0,0,0,1,1
"F0435",0,0,0,1,1
"F0439",0,0,0,1,1
"F0444",0,1,0,0,1
"F0212",0,1,0,0,1
"F0446",0,1,0,0,1
"F0458",0,1,0,0,1
"F0216",0,1,0,1,2
"F0219",0,1,0,0,1
"F0221",0,1,0,1,2
"F0230",1,1,0,1,3
