"","other","Coniochaeta_polymorpha","other.1","Curvibasidium_cygneicollum","Exophiala_crusticola","Wickerhamomyces_anomalus","Knufia_epidermidis","Tubulicrinis_globisporus","Phialocephala_fluminis","Cladosporium_sphaerospermum","Rhinocladiella_similis","Nigrospora_oryzae","Rhizopus_arrhizus","Malassezia_sympodialis","Wallemia_ichthyophaga","Peniophora_albobadia","Gibberella_tricincta","Nectria_pseudotrichia","Antrodia_gossypium","Tritirachium_oryzae","Diutina_catenulata","Amyloporia_sinuosa","Cystobasidium_slooffiae","Mrakia_frigida","Rhodotorula_diobovata","Aspergillus_tardicrescens","Nigrospora_zimmermanii","Penicillium_astrolabium","Aspergillus_puulaauensis","other.2","Hannaella_sinensis","Phaeosphaeria_poagena","other.3","Malassezia_dermatis","Devriesia_sardiniae","other.4","other.5","Coriolopsis_gallica","Pyrenophora_chaetomioides","Wallrothiella_gmelinae","Hortaea_thailandica","Antrodia_macra","Candida_tropicalis","other.6","Symmetrospora_sp","other.7","Yarrowia_bubula","other.8","other.9","Aspergillus_penicillioides","Pyrenophora_tritici.repentis","Pilidium_pseudoconcavum","Aspergillus_occultus","Plectosphaerella_niemeijerarum","Alternaria_infectoria","Pterula_gracilis","Coprinopsis_melanthina","Yamadazyma_mexicana","Lepista_sordida","Fusarium_petroliphilum","other.10","other.11","Malassezia_restricta","other.12","Filobasidium_oeirense","Sporisorium_graminicola","Stachybotrys_chartarum","other.13","Cutaneotrichosporon_jirovecii","other.14","Debaryomyces_hansenii","Plenodomus_pimpinellae","other.15","other.16","other.17","other.18","Curvularia_americana","Penicillium_spinulosum","Cutaneotrichosporon_dermatis","Stereum_hirsutum","Libertasomyces_platani","Acremonium_charticola","Tubaria_conspersa","Radulomyces_molaris","Cladosporium_aphidis","Galzinia_incrustans","Neocatenulostroma_microsporum","Striaticonidium_cinctum","Bulleromyces_albus","Curvularia_tsudae","other.19","other.20","Kwoniella_betulae","other.21","other.22","Clavispora_sp","other.23","Hyphodermella_rosae","Aspergillus_glabripes","other.24","other.25","Trametes_suaveolens","other.26","Lectera_longa","Peroneutypa_scoparia","Myceliophthora_thermophila","Devriesia_fraserae","Resinicium_saccharicola","Bipolaris_cynodontis","other.27","Sistotrema_brinkmannii","Gliomastix_murorum","other.28","Xylodon_erastii","Talaromyces_cecidicola","other.29","other.30","other.31","Ulocladium_chartarum","Vishniacozyma_foliicola","Acremonium_pilosum","Sporidiobolus_salmonicolor","other.32","other.33","other.34","Microascus_croci","Pneumocystis_jirovecii","Monographella_nivalis","Lepista_nuda","Xenasmatella_christiansenii","Golovinomyces_sonchicola","Morchella_rufobrunnea","Piskurozyma_silvicola","Penicillium_toxicarium","Bjerkandera_adusta","Sampaiozyma_ingeniosa","Aureobasidium_pullulans","other.35","Steccherinum_tenue","Botryotrichum_spirotrichum","Dissoconium_proteae","other.36","other.37","other.38","Naganishia_albida","Cyphellophora_europaea","other.39","Candida_glabrata","Aspergillus_stromatoides","Pringsheimia_smilacis","other.40","other.41","Tilletia_puccinelliae","Kodamaea_ohmeri","Endoconidioma_populi","Candida_zeylanoides","other.42","other.43","Spencerozyma_crocea","Lentinus_arcularius","Rhodosporidiobolus_odoratus","Pseudozyma_hubeiensis","Tricholoma_batschii","Engyodontium_album","Periconia_cookei","other.44","Antrodia_xantha","Gibberella_nygamai","Peniophora_cinerea","other.45","other.46","Erysiphe_sp","Meyerozyma_neustonensis","Cladosporium_cladosporioides","Eutypa_leptoplaca","Verrucocladosporium_dirinae","other.47","Malassezia_arunalokei","other.48","Pseudotaeniolina_globosa","Hyphopichia_burtonii","Cyberlindnera_jadinii","Candida_spencermartinsiae","Torulaspora_delbrueckii","Kondoa_subrosea","Lepiota_lilacea","other.49","Acremonium_brachypenium","other.50","Wallemia_tropicalis","Rhodosporidiobolus_oreadorum","Xenodidymella_saxea","other.51","other.52","Saccharomyces_cerevisiae","Trichosporon_asahii","Alternaria_alternata","Gymnopus_dryophilus","Acremonium_sordidulum","other.53","Coniosporium_apollinis","Hannaella_siamensis","Moesziomyces_rugulosus","Ramularia_collo.cygni","other.54","Aspergillus_gracilis","other.55","Papiliotrema_aurea","other.56","Dioszegia_hungarica","other.57","Mucor_fuscus","Aspergillus_restrictus","Efibula_clarkii","other.58","Candida_sake","Candida_saitoana","Debaryomyces_singareniensis","Aureobasidium_namibiae","Geosmithia_brunnea","other.59","Crustoderma_marianum","other.60","Malassezia_globosa","Grammothele_fuligo","Ramularia_citricola","Myrmecridium_schulzeri","Xerochrysium_dermatitidis","Aspergillus_conicus","Millerozyma_farinosa","Pholiota_gallica","Malassezia_yamatoensis","other.61","other.62","Alfaria_terrestris","Pleurotus_ostreatus","other.63","other.64","Neosetophoma_rosarum","Symmetrospora_coprosmae","Vishniacozyma_taibaiensis","Penicillium_roqueforti","Penicillium_expansum","Scopulariopsis_candida","Caloplaca_ochracea","other.65","other.66","Neodevriesia_capensis","other.67","other.68","Stigmina_platani","other.69","Fusarium_chlamydosporum","Rhodotorula_graminis","other.70","Rhodosporidiobolus_colostri","other.71","other.72","Gibberella_zeae","Cryptococcus_uniguttulatus","Wallemia_hederae","other.73","Clavidisculum_karstenii","other.74","other.75","Trimmatostroma_salinum","Saxophila_tyrrhenica","Coprinellus_heptemerus","other.76","Acremonium_roseolum","Hansfordia_pulvinata","Aspergillus_clavatophorus","Petriella_sordida","Recurvomyces_mirabilis","other.77","Nakazawaea_holstii","other.78","Agaricus_bisporus","other.79","Cystofilobasidium_capitatum","Schizophyllum_commune","Rhodotorula_nothofagi","Coriolopsis_aspera","other.80","Candida_orthopsilosis","other.81","other.82","Stemphylium_lycii","Tricholoma_terreum","other.83","Pleiochaeta_carotae","Wallemia_sebi","Mycena_abramsii","Hortaea_werneckii","other.84","other.85","other.86","Yarrowia_porcina","Aspergillus_caespitosus","Penicillium_corylophilum","other.87","other.88","other.89","other.90","Asterostroma_cervicolor","Candida_parapsilosis","Musicillium_theobromae","Symmetrospora_foliicola","Arthrinium_malaysianum","Mucor_plumbeus","Neoerysiphe_nevoi","Gjaerumia_minor","Aspergillus_unguis","other.91","Robbauera_albescens","Alternaria_eureka","Penicillium_bialowiezense","Blumeria_graminis","Aspergillus_canadensis","Phanerochaete_tuberculata","Bipolaris_zeicola","other.92","Vishniacozyma_heimaeyensis","Epicoccum_nigrum","Vishniacozyma_dimennae","other.93","other.94","other.95","other.96","other.97","Neodevriesia_bulbillosa","other.98","Sistotremastrum_niveocremeum","other.99","other.100","Tilletiopsis_washingtonensis","Phaeosphaeria_juncicola","Penicillium_catenatum","Acremonium_exuviarum","other.101","Byssochlamys_spectabilis","Peziza_ostracoderma","other.102","Candida_caryicola","other.103","other.104","Cystidiodontia_laminifera","Neocatenulostroma_abietis","Entyloma_cosmi","Rhynchogastrema_visegradensis","Neocladosporium_leucadendri","other.105","other.106","other.107","Pyrenochaetopsis_leptospora","Fusarium_oxysporum","Hannaella_luteola","Tausonia_pullulans","other.108","other.109","other.110","other.111","Fusarium_keratoplasticum","Byssomerulius_corium","other.112","other.113","Sterigmatomyces_halophilus","Vishniacozyma_victoriae","other.114","other.115","Candida_sojae","Meyerozyma_caribbica","Rhodotorula_mucilaginosa","other.116","Phanerochaete_livescens","other.117","Quambalaria_cyanescens","Papiliotrema_frias","Gibellulopsis_chrysanthemi","Papiliotrema_flavescens","other.118","Arrhenia_elegans","other.119","Mucor_racemosus","Pseudopithomyces_rosae","Keissleriella_quadriseptata","Yamadazyma_triangularis","other.120","Aspergillus_halophilicus","Hyperphyscia_adglutinata","Sporobolomyces_roseus","Neodevriesia_poagena","Kondoa_yuccicola","Nigrospora_musae","Blastobotrys_proliferans","Peniophora_lycii","Parastagonospora_phoenicicola","other.121","Candida_albicans","other.122","Muriphaeosphaeria_viburni","Cystofilobasidium_infirmominiatum","Grammothele_lineata","Gloeophyllum_abietinum","other.123","other.124","Itersonilia_perplexans","other.125","Ustilago_hordei","Coprinus_phaeopunctatus","other.126","Penicillium_citrinum","other.127","Coniochaeta_fasciculata","Chrysosporium_lobatum","other.128","other.129","Aspergillus_hiratsukae","other.130","Spiromastix_princeps","Symmetrospora_symmetrica","other.131","diversity"
"F0012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"F0014",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
"F0015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0019",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"F0020",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"F0021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
"F0023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
