"","Tritirachiomycetes","Cystobasidiomycetes","other","Malasseziomycetes","Pucciniomycetes","other","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","other","Lecanoromycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Arthoniomycetes","Exobasidiomycetes","Agaricostilbomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0012",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0013",0,0,0,0.378297635323308,0,0,0,0,0,0,0,0,0.240906712576164,0,0,0,0,0,0,0,0,0,0.380795652100528,3
"F0014",0,0,0,0,0,0,0,0,0,0,0.103059494173251,0,0.102897138940001,0,0,0,0,0,0,0,0,0,0.794043366886748,3
"F0015",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0017",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0019",0,0,0,0.307207974780608,0,0,0,0,0,0,0.0544943341569396,0,0,0,0,0,0.155900144841101,0,0,0.139959103689188,0,0,0.342438442532163,5
"F0020",0,0,0,0.339550232823575,0,0,0.185225007650508,0,0,0,0.231202494479228,0,0,0,0,0,0,0,0,0,0,0,0.244022265046689,4
"F0021",0,0,0,0.190083492700219,0,0,0,0.0128177620224824,0,0,0.33753439992537,0,0.160343299594197,0,0,0,0.00785484397593171,0,0,0,0,0,0.2913662017818,6
"F0023",0,0,0,0,0,0,0,0.294617563739377,0,0,0,0,0,0,0,0.705382436260623,0,0,0,0,0,0,0,2
"F0026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"F0027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"F0003",0,0,0,0.108277196939678,0,0,0,0.279353491632883,0,0,0,0,0,0,0,0.612369311427439,0,0,0,0,0,0,0,3
"F0030",0,0,0,0,0,0,0,0.302558326629123,0,0,0,0,0,0,0,0.697441673370877,0,0,0,0,0,0,0,2
"F0031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0034",0,0,0,0,0,0,0,0,0,0,0.340864030053219,0,0,0,0,0,0,0,0,0,0,0,0.659135969946781,2
"F0035",0,0,0,0.070082813907086,0,0,0.194621510426783,0,0,0,0,0,0,0,0,0,0,0.559585400738086,0,0,0,0.14176363604259,0.0339466388854555,5
