"","Chaetothyriales","Malasseziales","Pucciniales","Helotiales","Verrucariales","Corticiales","Hymenochaetales","Sporidiobolales","Onygenales","Pneumocystidales","Dothideales","Ustilaginales","Xylariales","Eurotiales","Trichosporonales","Mucorales","Microascales","Saccharomycetales","Glomerellales","Georgefischeriales","Pleosporales","Entylomatales","Pezizales","Botryosphaeriales","Sordariales","Hypocreales","Tremellales","Polyporales","Gloeophyllales","Russulales","Agaricales","diversity"
"F0012",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0013",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0014",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0019",0,0.593521094302974,0,0,0,0,0,0,0,0,0,0,0,0.105282217576665,0,0,0,0,0,0,0,0,0,0,0,0.30119668812036,0,0,0,0,0,3
"F0020",0,0.594916531416647,0,0,0,0,0,0,0,0,0,0,0,0.405083468583353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0021",0,0.34668390785041,0,0,0,0,0,0.0233776840099364,0,0,0,0,0,0.615612345594991,0,0,0,0,0,0,0,0,0,0,0,0.0143260625446626,0,0,0,0,0,4
"F0023",0,0,0,0,0,0,0,0.294617563739377,0,0,0,0,0,0,0,0,0,0.705382436260623,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0003",0,0.108277196939678,0,0,0,0,0,0.279353491632883,0,0,0,0,0,0,0,0,0,0.612369311427439,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0030",0,0,0,0,0,0,0,0.302558326629123,0,0,0,0,0,0,0,0,0,0.697441673370877,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0034",0,0,0,0,0,0,0,0,0,0,0,0,0,0.340864030053219,0,0,0,0,0,0,0.659135969946781,0,0,0,0,0,0,0,0,0,0,2
"F0035",0,0.0908477059180333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725385398903602,0,0,0,0,0,0,0,0.183766895178365,3
"F0004",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0039",0,0.0177051704229568,0,0,0,0,0,0,0,0,0.050925886327674,0,0.159158362913228,0,0,0,0,0.0298336398238036,0.0553393490997733,0,0.595877346790403,0,0,0,0,0,0,0.0911602446221614,0,0,0,7
"F0041",0,0,0,0,0,0,0,0,0,0,0,0.398157731318568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601842268681432,0,0,0,0,2
"F0042",0,0.264059155477719,0,0,0,0,0,0.428877213465655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102048758791316,0.20501487226531,4
"F0044",0,0,0,0,0,0,0,0,0,0,0,0,0,0.79668593360376,0,0,0,0,0,0,0,0,0,0,0,0.20331406639624,0,0,0,0,0,2
"F0045",0,0.563309564997257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436690435002743,0,0,0,0,0,0,0,0,0,0,2
"F0046",0,0.242167631981892,0,0,0,0,0,0,0,0,0,0,0,0,0.225244657479529,0,0,0,0,0,0.532587710538579,0,0,0,0,0,0,0,0,0,0,3
"F0005",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0006",0,0.13382105133369,0,0,0,0,0,0,0,0,0,0,0,0.866178948666311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0061",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0068",0,0,0,0,0,0,0,0,0,0,0.67621752094278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32378247905722,0,0,0,0,0,2
