"","Mucoromycota","Basidiomycota","other","Ascomycota","diversity"
"F0012",0,0,0,1,1
"F0013",0,0.619204347899472,0,0.380795652100528,2
"F0014",0,0.102897138940001,0,0.897102861059999,2
"F0015",0,1,0,0,1
"F0017",0,1,0,0,1
"F0019",0,0.447167078469796,0,0.552832921530204,2
"F0020",0,0.339550232823575,0,0.660449767176425,2
"F0021",0,0.363244554316899,0,0.636755445683101,2
"F0023",0,0.294617563739377,0,0.705382436260623,2
"F0026",0,0.379042962700765,0,0.620957037299235,2
"F0027",0,0,0,1,1
"F0003",0,0.387630688572561,0,0.612369311427439,2
"F0030",0,0.302558326629123,0,0.697441673370877,2
"F0031",0,0,0,1,1
"F0034",0,0,0,1,1
"F0035",0,0.211846449949676,0,0.788153550050324,2
"F0004",0,0,0,1,1
"F0039",0,0.202696690490542,0,0.797303309509458,2
"F0041",0,1,0,0,1
"F0042",0,0.267433388842631,0,0.732566611157369,2
"F0044",0,0,0,1,1
"F0045",0,0.563309564997257,0,0.436690435002743,2
"F0046",0,0.467412289461421,0,0.532587710538579,2
"F0005",0,0,0,1,1
"F0049",0,0,0,1,1
"F0050",0,0,0,1,1
"F0006",0,0.13382105133369,0,0.866178948666311,2
"F0059",0,0,0,1,1
"F0061",0,1,0,0,1
"F0068",0,0,0,1,1
"F0071",0,0,0,1,1
"F0072",0,0,0,1,1
"F0074",0,0,0,1,1
"F0008",0,0,0,1,1
"F0076",0,0,0,1,1
"F0078",0,0.0435013182217643,0,0.956498681778236,2
"F0109",0,0,0,1,1
"F0110",0,0,0,1,1
"F0114",0,0,0,1,1
"F0118",0,0.558429770819151,0,0.441570229180849,2
"F0123",0,0.586508507069255,0,0.413491492930745,2
"F0125",0,0.55566370284632,0,0.44433629715368,2
"F0127",0,0.139075941857016,0,0.860924058142984,2
"F0129",0,0.136025192815778,0,0.863974807184222,2
"F0132",0,0.897616256350137,0,0.102383743649863,2
"F0134",0,0.725056241259804,0,0.274943758740196,2
"F0136",0,0.354995589672682,0,0.645004410327318,2
"F0138",0,0,0,1,1
"F0140",0,0.399210164835165,0,0.600789835164835,2
"F0142",0,0,0,1,1
"F0146",0,0.612333800522747,0,0.387666199477253,2
"F0148",0,0.630559540889527,0,0.369440459110473,2
"F0151",0,0.151781362705917,0,0.848218637294083,2
"F0153",0,0,0,1,1
"F0155",0,0,0,1,1
"F0157",0,0.431670732340271,0,0.568329267659729,2
"F0163",0,0,0,1,1
"F0166",0,1,0,0,1
"F0168",0,0.937969745980402,0,0.0620302540195985,2
"F0169",0,1,0,0,1
"F0177",0,0.784953111679454,0,0.215046888320546,2
"F0179",0,0.708974193270432,0,0.291025806729568,2
"F0182",0,0.694592096140513,0,0.305407903859487,2
"F0184",0,1,0,0,1
"F0186",0,1,0,0,1
"F0291",0,1,0,0,1
"F0299",0,1,0,0,1
"F0300",0,0,0,1,1
"F0302",0,1,0,0,1
"F0313",0,0,0,1,1
"F0317",0,0,1,0,1
"F0318",0,0,0,1,1
"F0323",0,1,0,0,1
"F0332",0,0.0775123717303284,0,0.922487628269672,2
"F0333",0,0,0,1,1
"F0334",0,0.155449183474999,0,0.844550816525001,2
"F0336",0,0,0,1,1
"F0339",0,0,0,1,1
"F0340",0,0,0,1,1
"F0341",0,0,0,1,1
"F0344",0,0.0153723898588919,0,0.984627610141108,2
"F0345",0,0,0,1,1
"F0346",0,0,0,1,1
"F0351",0,0.0228399968650985,0,0.977160003134901,2
"F0353",0,0,0,1,1
"F0356",0,0.0164312162030172,0,0.983568783796983,2
"F0368",0,0.185847915115413,0,0.814152084884587,2
"F0369",0,0.0278879120458159,0,0.972112087954184,2
"F0374",0,0,0,1,1
"F0376",0,0,0,1,1
"F0388",0,0,0,1,1
"F0391",0,0,0,1,1
"F0396",0,0,0,1,1
"F0397",0,1,0,0,1
"F0398",0,0.0546051692131943,0,0.945394830786806,2
"F0405",0,0.862292187729881,0,0.137707812270119,2
"F0411",0,1,0,0,1
"F0414",0,1,0,0,1
"F0415",0,1,0,0,1
"F0416",0,1,0,0,1
"F0419",0,1,0,0,1
"F0420",0,1,0,0,1
"F0422",0,1,0,0,1
"F0424",0,1,0,0,1
"F0430",0,0.722223722223722,0,0.277776277776278,2
"F0432",0,0,0,1,1
"F0435",0,0,0,1,1
"F0439",0,0,0,1,1
"F0444",0,1,0,0,1
"F0212",0,1,0,0,1
"F0446",0,1,0,0,1
"F0458",0,1,0,0,1
"F0216",0,0.625851205271981,0,0.374148794728019,2
"F0219",0,1,0,0,1
"F0221",0,0.218090784323692,0,0.781909215676308,2
"F0230",0.0913607787467045,0.735773676738998,0,0.172865544514297,3
"F0232",0,0.643317813416106,0,0.356682186583894,2
"F0235",0,0.526125289209844,0,0.473874710790156,2
"F0236",0,0.23947817984159,0,0.76052182015841,2
"F0238",0,0.459832577116528,0,0.540167422883472,2
"F0240",0,0.214423219309936,0,0.785576780690064,2
"F0248",0,0.45326563581814,0,0.54673436418186,2
"F0259",0,0.22677986706143,0,0.77322013293857,2
"F0267",0,0,0,1,1
"F0273",0,0,0,1,1
"F0278",0,0.591706395610327,0,0.408293604389673,2
"F0489",0,0.863999822801072,0,0.136000177198928,2
"F0494",0,0.684034449629426,0,0.315965550370574,2
"F0496",0,0.0835355285961872,0,0.916464471403813,2
"F0497",0,0.270342013252642,0,0.729657986747358,2
"F0500",0,0.593479108148427,0,0.406520891851573,2
"F0501",0,0,0,1,1
"F0506",0,0.445753597975644,0,0.554246402024355,2
"F0507",0,0.43087764503787,0,0.56912235496213,2
"F0510",0,0.0125935678931071,0,0.987406432106893,2
"F0513",0,0,0,1,1
"F0478",0,0.636848657300373,0,0.363151342699627,2
