"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0012",0,0,0,0,0,0,133620,0,0,0,0,0,0,0,0,1
"F0013",22413,0,0,0,0,0,0,0,14273,0,0,0,0,0,22561,3
"F0014",0,0,0,0,0,0,5713,0,5704,0,0,0,0,0,44017,3
"F0015",0,0,0,0,0,0,0,0,701,0,0,0,0,0,0,1
"F0017",0,0,0,0,0,0,0,0,14098,0,0,0,0,0,0,1
"F0019",36057,0,0,0,0,0,6396,0,0,0,18298,0,16427,0,40192,5
"F0020",41054,0,22395,0,0,0,27954,0,0,0,0,0,0,0,29504,4
"F0021",20376,0,0,1374,0,0,36182,0,17188,0,842,0,0,0,31233,6
"F0023",0,0,0,728,0,0,0,0,0,1743,0,0,0,0,0,2
"F0026",0,0,0,0,0,0,0,0,0,56137,0,0,0,0,0,1
"F0027",0,0,0,0,0,0,0,0,0,16517,0,0,0,0,0,1
"F0003",14209,0,0,36659,0,0,0,0,0,80360,0,0,0,0,0,3
"F0030",0,0,0,28206,0,0,0,0,0,65019,0,0,0,0,0,2
"F0031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,1
"F0034",0,0,0,0,0,0,6533,0,0,0,0,0,0,0,12633,2
"F0035",7938,0,22044,0,0,0,0,0,0,0,0,63382,0,16057,3845,5
"F0004",0,0,0,0,0,0,3059,0,0,0,0,0,0,0,0,1
"F0039",2070,0,0,0,0,0,0,0,0,3488,25078,0,0,13325,82543,5
"F0041",0,0,0,0,0,7694,0,0,40177,0,0,0,0,0,0,2
"F0042",9499,0,0,15428,0,0,0,0,0,0,0,0,0,11046,98539,4
"F0044",0,0,0,0,0,0,69330,0,0,0,17693,0,0,0,0,2
"F0045",13351,0,0,0,0,0,0,0,0,0,0,0,0,0,10350,2
"F0046",18188,0,0,0,0,0,0,0,16917,0,0,0,0,0,40000,3
"F0005",0,0,0,0,0,0,16524,0,0,0,0,0,0,0,0,1
"F0049",0,0,0,0,0,0,0,0,0,1326,0,0,0,0,0,1
"F0050",0,0,0,0,0,0,0,0,0,104076,0,0,0,0,6712,2
"F0006",16280,0,0,0,0,0,105375,0,0,0,0,0,0,0,0,2
"F0059",0,0,0,0,0,0,0,0,0,0,17313,0,0,0,0,1
"F0061",7197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0068",0,0,0,0,0,0,0,0,0,0,11402,0,0,0,23813,2
"F0071",0,0,0,0,0,0,0,0,0,9886,0,0,0,0,0,1
"F0072",0,0,0,0,0,0,0,0,0,1189660,0,0,0,0,0,1
"F0074",0,0,0,0,0,0,0,0,0,2684,0,0,0,0,0,1
"F0008",0,0,0,0,0,0,0,0,0,17986,1602,0,0,0,24144,3
"F0076",0,0,0,0,0,0,0,0,0,0,64120,0,0,0,0,1
"F0078",5742,0,0,0,0,0,0,0,0,126254,0,0,0,0,0,2
"F0109",0,0,0,0,0,0,0,0,0,0,5960,0,0,0,19685,2
"F0110",0,0,0,0,0,0,14901,0,0,0,0,0,0,0,8455,2
"F0114",0,0,0,0,0,0,10248,0,0,0,0,0,0,0,0,1
"F0118",9764,0,0,0,0,0,1278,0,12385,6138,0,0,0,0,10098,5
"F0123",0,0,0,9790,0,0,6902,0,0,0,0,0,0,0,0,2
"F0125",21123,0,0,0,0,0,6595,0,0,0,2710,0,0,0,7586,4
"F0127",10685,0,0,8068,0,0,1375,0,0,114712,0,0,0,0,0,4
"F0129",5097,0,0,0,0,0,32374,0,0,0,0,0,0,0,0,2
"F0132",18693,0,0,6574,0,0,2882,0,0,0,0,0,0,0,0,3
"F0134",119250,0,0,0,0,0,8565,0,0,0,0,0,0,0,36655,3
"F0136",29782,0,0,0,0,0,6166,0,0,9971,2477,0,0,0,35498,5
"F0138",0,0,0,0,0,0,51672,0,0,11992,0,0,0,0,7609,3
