"","Mucoromycota","Basidiomycota","other","Ascomycota","diversity"
"F0012",0,0,0,133620,1
"F0013",0,36686,0,22561,2
"F0014",0,5704,0,49730,2
"F0015",0,701,0,0,1
"F0017",0,14098,0,0,1
"F0019",0,52484,0,64886,2
"F0020",0,41054,0,79853,2
"F0021",0,38938,0,68257,2
"F0023",0,728,0,1743,2
"F0026",0,34267,0,56137,2
"F0027",0,0,0,16517,1
"F0003",0,50868,0,80360,2
"F0030",0,28206,0,65019,2
"F0031",0,0,0,894,1
"F0034",0,0,0,19166,1
"F0035",0,23995,0,89271,2
"F0004",0,0,0,3059,1
"F0039",0,28247,0,111109,2
"F0041",0,52398,0,0,1
"F0042",0,35973,0,98539,2
"F0044",0,0,0,87023,1
"F0045",0,13351,0,10350,2
"F0046",0,35105,0,40000,2
"F0005",0,0,0,16524,1
"F0049",0,0,0,1326,1
"F0050",0,0,0,110788,1
"F0006",0,16280,0,105375,2
"F0059",0,0,0,17313,1
"F0061",0,7197,0,0,1
"F0068",0,0,0,35215,1
"F0071",0,0,0,9886,1
"F0072",0,0,0,1189660,1
"F0074",0,0,0,2684,1
"F0008",0,0,0,43732,1
"F0076",0,0,0,64120,1
"F0078",0,5742,0,126254,2
"F0109",0,0,0,25645,1
"F0110",0,0,0,23356,1
"F0114",0,0,0,10248,1
"F0118",0,22149,0,17514,2
"F0123",0,9790,0,6902,2
"F0125",0,21123,0,16891,2
"F0127",0,18753,0,116087,2
"F0129",0,5097,0,32374,2
"F0132",0,25267,0,2882,2
"F0134",0,119250,0,45220,2
"F0136",0,29782,0,54112,2
"F0138",0,0,0,71273,1
"F0140",0,4650,0,6998,2
"F0142",0,0,0,27906,1
"F0146",0,16165,0,10234,2
"F0148",0,1758,0,1030,2
"F0151",0,12457,0,69615,2
"F0153",0,0,0,1446120,1
"F0155",0,0,0,7330,1
"F0157",0,8317,0,10950,2
"F0163",0,0,0,5390,1
"F0166",0,11429,0,0,1
"F0168",0,19718,0,1304,2
"F0169",0,6312,0,0,1
"F0177",0,110490,0,30270,2
"F0179",0,16456,0,6755,2
"F0182",0,12022,0,5286,2
"F0184",0,7263,0,0,1
"F0186",0,12665,0,0,1
"F0291",0,28997,0,0,1
"F0299",0,43285,0,0,1
"F0300",0,0,0,167175,1
"F0302",0,13064,0,0,1
"F0313",0,0,0,27261,1
"F0317",0,0,11058,0,1
"F0318",0,0,0,130815,1
"F0323",0,9750,0,0,1
"F0332",0,18091,0,215304,2
"F0333",0,0,0,4542,1
"F0334",0,61540,0,334345,2
"F0336",0,0,0,893,1
"F0339",0,0,0,2791650,1
"F0340",0,0,0,65316,1
"F0341",0,0,0,2193190,1
"F0344",0,34240,0,2193130,2
"F0345",0,0,0,477125,1
"F0346",0,0,0,4340,1
"F0351",0,10200,0,436385,2
"F0353",0,0,0,32795,1
"F0356",0,37010,0,2215410,2
"F0368",0,79870,0,349890,2
"F0369",0,1456,0,50753,2
"F0374",0,0,0,2448920,1
"F0376",0,0,0,134280,1
"F0388",0,0,0,859250,1
"F0391",0,0,0,22087,1
"F0396",0,0,0,8272,1
"F0397",0,18634,0,0,1
"F0398",0,1912,0,33103,2
"F0405",0,35166,0,5616,2
"F0411",0,48138,0,0,1
"F0414",0,18118,0,0,1
"F0415",0,8518,0,0,1
"F0416",0,29600,0,0,1
"F0419",0,13615,0,0,1
"F0420",0,22387,0,0,1
"F0422",0,49200,0,0,1
"F0424",0,6884,0,0,1
"F0430",0,26749,0,10288,2
"F0432",0,0,0,12564,1
"F0435",0,0,0,514530,1
"F0439",0,0,0,52432,1
"F0444",0,13144,0,0,1
"F0212",0,5348,0,0,1
"F0446",0,14803,0,0,1
"F0458",0,3959,0,0,1
"F0216",0,54133,0,32362,2
"F0219",0,17705,0,0,1
"F0221",0,42905,0,153825,2
"F0230",45050,362810,0,85240,3
"F0232",0,18653,0,10342,2
"F0235",0,60033,0,54071,2
"F0236",0,69390,0,220365,2
"F0238",0,26147,0,30715,2
"F0240",0,11584,0,42440,2
"F0248",0,51064,0,61594,2
"F0259",0,11566,0,39435,2
"F0267",0,0,0,17566,1
"F0273",0,0,0,2606,1
"F0278",0,6578,0,4539,2
"F0489",0,78014,0,12280,2
"F0494",0,39871,0,18417,2
"F0496",0,1687,0,18508,2
"F0497",0,54588,0,147334,2
"F0500",0,44159,0,30248,2
"F0501",0,0,0,14644,1
"F0506",0,28185,0,35045,2
"F0507",0,22073,0,29155,2
"F0510",0,20660,0,1619860,2
"F0513",0,0,0,18736,1
"F0478",0,10743,0,6126,2
"F0514",0,53094,0,27762,2
"F0515",0,32782,0,40665,2
"F0516",0,110030,0,77950,2
"F0517",0,205570,0,41490,2
"F0519",0,17889,0,0,1
"F0522",0,32880,0,939620,2
"F0479",0,43344,0,129273,2
"F0525",0,38400,0,165945,2
"F0538",0,15261,0,0,1
"F0541",0,0,0,43269,1
"F0545",0,3303,0,14586,2
"F0546",0,52240,0,69020,2
"F0482",0,0,0,24096,1
"F0560",0,0,0,15673,1
"F0563",0,0,0,28161,1
"F0483",0,36599,0,20531,2
"F0566",0,5328,0,28055,2
"F0567",0,1444,0,8557,2
"F0568",0,2312,0,2566,2
"F0569",0,0,0,31708,1
"F0580",0,8841,0,45148,2
"F0770",0,64815,0,10010,2
"F0581",0,197440,0,82775,2
"F0777",0,8626,0,22919,2
"F0781",0,0,0,2264,1
"F0582",0,0,0,4826,1
"F0786",0,26890,0,0,1
"F0790",0,1037300,0,56380,2
"F0794",0,2824220,0,902140,2
"F0800",0,0,0,934340,1
"F0809",0,10420,0,873120,2
"F0811",0,7057,0,164172,2
"F0812",0,4946,4020,0,2
"F0813",0,1195,0,29873,2
"F0817",0,0,0,106591,1
"F0818",0,16132,0,0,1
"F0586",0,0,0,1142600,1
"F0826",0,246160,58660,414620,3
"F0827",0,76580,0,981220,2
"F0829",0,252670,23010,70240,3
"F0830",0,22879,0,0,1
"F0832",0,0,0,1252,1
"F0833",0,10249,0,0,1
"F0836",0,63460,0,136495,2
"F0837",0,0,0,1259,1
"F0839",0,14667,0,37995,2
"F0840",0,0,0,1447960,1
"F0841",0,206175,0,0,1
"F0845",0,0,0,220470,1
"F0848",0,0,0,364665,1
"F0850",0,196585,0,48080,2
"F0851",0,118070,0,0,1
"F0854",0,22049,0,57407,2
"F0856",0,0,0,68702,1
"F0858",0,1618,0,0,1
"F0670",0,0,0,164622,1
"F0671",0,15729,0,0,1
"F0672",0,340860,0,0,1
"F0673",0,91170,0,0,1
"F0674",0,0,0,300490,1
"F0675",0,44133,0,0,1
"F0676",0,67852,0,0,1
"F0681",0,0,0,49584,1
"F0683",0,0,0,34860,1
"F0689",0,0,0,82379,1
"F0698",0,0,0,340735,1
"F0699",0,125845,0,0,1
"F0701",0,4096360,0,0,1
"F0716",0,76290,0,408140,2
"F0726",0,0,0,26727,1
"F0729",0,0,0,41422,1
"F0733",0,0,0,84193,1
"F0735",0,0,0,20223,1
"F0737",0,0,0,22502,1
"F0740",0,12393,0,0,1
"F0741",0,0,0,571020,1
"F0755",0,257320,0,0,1
"F0602",0,83122,0,20318,2
"F0605",0,14523,0,9758,2
"F0607",0,16063,0,47158,2
"F0608",0,31828,0,23356,2
"F0609",0,30210,0,155202,2
"F0574",0,5300,0,376190,2
"F0612",0,21861,0,60392,2
"F0613",0,15282,0,114506,2
"F0616",0,33530,0,530955,2
"F0575",0,23980,0,1725400,2
"F0623",0,9311,0,24213,2
"F0624",0,0,4149,4991,2
"F0625",0,6463,0,0,1
"F0629",0,0,0,29117,1
"F0576",0,9180,0,102934,2
"F0630",0,9628,13259,7258,3
"F0634",0,48560,0,164130,2
"F0637",0,14611,0,9553,2
"F0641",0,0,0,70588,1
"F0643",0,5871,0,7566,2
"F0644",0,66320,0,139345,2
"F0646",0,14484,0,162864,2
"F0648",0,6943,0,16937,2
"F0651",0,0,0,150790,1
"F0653",0,2523,0,0,1
"F0656",0,11923,0,0,1
"F0658",0,16097,0,17642,2
"F0660",0,15875,0,53920,2
"F0661",0,8063,0,1831,2
"F0666",0,101370,0,62495,2
"F0868",0,17256,0,7396,2
"F0871",0,109745,0,100395,2
"F0875",0,53862,0,75607,2
"F0877",0,19200,0,21751,2
"F0860",0,106590,0,506070,2
"F0878",0,63280,0,215255,2
"F0880",0,56000,9835,144215,3
"F0883",0,29574,0,20743,2
"F0885",0,45356,0,37217,2
"F0887",0,15463,0,17992,2
"F0901",0,0,0,40402,1
"F0902",0,7163,0,0,1
"F0903",0,2601,0,0,1
"F0904",0,0,0,17665,1
"F0907",0,4818,0,0,1
"F0863",0,26830,0,1114740,2
"F0909",0,0,0,15191,1
"F0922",0,31595,0,153225,2
"F0923",0,12553,0,0,1
"F0928",0,10225,0,7683,2
"F0930",0,0,0,18368,1
"F0931",0,0,0,18124,1
"F0866",0,160020,0,207240,2
"F0944",0,18884,0,4533,2
"F0945",0,0,0,19389,1
"F0946",0,21635,0,42557,2
"F0947",0,20865,0,0,1
"F0948",0,0,0,16583,1
"F0950",0,0,0,13381,1
"F0951",0,3650,0,2148,2
"F0952",0,25772,0,30396,2
"F0953",0,0,0,25375,1
"F1150",0,41562,0,0,1
"F1151",0,26111,0,0,1
"F1152",0,76561,0,61210,2
"F1153",0,0,0,47538,1
"F1156",0,0,0,29065,1
"F1157",0,0,0,1092,1
"F1158",0,15519,0,1561,2
"F1159",0,33118,0,0,1
"F1162",0,164685,0,0,1
"F1164",0,0,0,31524,1
"F1165",0,59029,0,46619,2
"F1166",0,43407,0,0,1
"F1167",0,0,0,35651,1
"F1168",0,0,0,36564,1
"F1169",0,30557,0,0,1
"F1170",0,24459,0,8584,2
"F1173",0,51075,0,0,1
"F1182",0,0,0,31951,1
"F1186",0,1370470,0,85860,2
"F1193",0,668790,0,0,1
"F1218",0,105700,0,2670680,2
"F1219",0,1109730,0,56240,2
"F1222",0,10872,0,0,1
