"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0012",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0013",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
"F0014",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3
"F0015",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0017",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0019",1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,5
"F0020",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4
"F0021",1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,6
"F0003",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
"F0004",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0005",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0006",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"F0008",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3
"F0117",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3
"F0118",1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,5
"F0120",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,3
"F0122",1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,6
"F0123",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
"F0124",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0125",1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4
"F0126",1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,5
"F0127",1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,4
"F0128",0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,4
"F0129",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"F0131",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"F0132",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
"F0133",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
"F0134",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
"F0135",1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,5
"F0136",1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,5
"F0138",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3
"F0139",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3
