"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0023",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
"F0026",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0027",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0030",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
"F0031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0034",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
"F0035",1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,5
"F0039",1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,5
"F0041",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
"F0042",1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4
"F0044",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
"F0103",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3
"F0105",0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,5
"F0107",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"F0108",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0109",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
"F0110",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
"F0111",1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,4
"F0112",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3
"F0114",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0115",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
"F0291",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0292",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0295",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0299",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0300",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
"F0301",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0302",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0310",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0313",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0315",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0362",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0365",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0371",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
"F0374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0376",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0423",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3
"F0424",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0427",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"F0429",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
"F0430",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0432",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0435",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
"F0436",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0438",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,4
"F0439",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
"F0441",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
"F0443",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0444",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0445",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0446",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0449",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0454",1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4
"F0458",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"F0526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0527",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
"F0528",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"F0529",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"F0530",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
