"","Mucoromycota","Basidiomycota","Ascomycota","diversity"
"F0012",0,0,1,1
"F0013",0,1,1,2
"F0014",0,1,1,2
"F0015",0,1,0,1
"F0017",0,1,0,1
"F0019",0,1,1,2
"F0020",0,1,1,2
"F0021",0,1,1,2
"F0003",0,1,1,2
"F0004",0,0,1,1
"F0005",0,0,1,1
"F0006",0,1,1,2
"F0008",0,0,1,1
"F0117",0,0,1,1
"F0118",0,1,1,2
"F0120",0,1,1,2
"F0122",0,1,1,2
"F0123",0,1,1,2
"F0124",0,1,0,1
"F0125",0,1,1,2
"F0126",0,1,1,2
"F0127",0,1,1,2
"F0128",0,1,1,2
"F0129",0,1,1,2
"F0131",0,1,1,2
"F0132",0,1,1,2
"F0133",0,1,1,2
"F0134",0,1,1,2
"F0135",0,1,1,2
"F0136",0,1,1,2
"F0138",0,0,1,1
"F0139",0,1,1,2
"F0140",0,1,1,2
"F0141",0,0,1,1
"F0142",0,0,1,1
"F0145",0,1,0,1
"F0146",0,1,1,2
"F0147",0,1,1,2
"F0148",0,1,1,2
"F0151",0,1,1,2
"F0153",0,0,1,1
"F0154",0,0,1,1
"F0155",0,0,1,1
"F0157",0,1,1,2
"F0159",0,1,1,2
"F0161",0,1,1,2
"F0162",0,0,1,1
"F0163",0,0,1,1
"F0166",0,1,0,1
"F0167",0,1,1,2
"F0168",0,1,1,2
"F0169",0,1,0,1
"F0170",0,1,1,2
"F0177",0,1,1,2
"F0178",0,1,1,2
"F0179",0,1,1,2
"F0182",0,1,1,2
"F0183",0,1,1,2
"F0184",0,1,0,1
"F0185",0,1,1,2
"F0186",0,1,0,1
"F0316",0,0,1,1
"F0318",0,0,1,1
"F0320",0,1,0,1
"F0321",0,1,1,2
"F0323",0,1,0,1
"F0324",0,1,1,2
"F0332",0,1,1,2
"F0333",0,0,1,1
"F0334",0,1,1,2
"F0336",0,0,1,1
"F0339",0,0,1,1
"F0340",0,0,1,1
"F0341",0,0,1,1
"F0344",0,1,1,2
"F0345",0,0,1,1
"F0346",0,0,1,1
"F0348",0,0,1,1
"F0351",0,1,1,2
"F0352",0,0,1,1
"F0353",0,0,1,1
"F0356",0,1,1,2
"F0357",1,0,1,2
"F0359",0,1,1,2
"F0360",0,1,1,2
"F0368",0,1,1,2
"F0369",0,1,1,2
"F0377",0,0,1,1
"F0212",0,1,0,1
"F0213",0,1,1,2
"F0215",0,1,0,1
"F0216",0,1,1,2
"F0218",0,0,1,1
"F0219",0,1,0,1
"F0220",0,1,0,1
"F0221",0,1,1,2
"F0222",0,1,1,2
"F0228",0,1,0,1
"F0230",1,1,1,3
"F0232",0,1,1,2
"F0233",0,0,1,1
"F0235",0,1,1,2
"F0236",0,1,1,2
"F0237",0,0,1,1
"F0238",0,1,1,2
"F0240",0,1,1,2
"F0243",0,1,1,2
"F0248",0,1,1,2
"F0249",0,1,1,2
"F0258",0,1,1,2
"F0259",0,1,1,2
"F0264",0,0,1,1
"F0266",0,0,1,1
"F0267",0,0,1,1
"F0269",0,0,1,1
"F0273",0,0,1,1
"F0278",0,1,1,2
"F0279",0,1,1,2
"F0489",0,1,1,2
"F0494",0,1,1,2
"F0496",0,1,1,2
"F0497",0,1,1,2
"F0500",0,1,1,2
"F0501",0,0,1,1
"F0506",0,1,1,2
"F0507",0,1,1,2
"F0510",0,1,1,2
"F0513",0,0,1,1
"F0478",0,1,1,2
"F0514",0,1,1,2
"F0515",0,1,1,2
"F0516",0,1,1,2
"F0517",0,1,1,2
"F0519",0,1,0,1
"F0522",0,1,1,2
"F0479",0,1,1,2
"F0525",0,1,1,2
"F0482",0,0,1,1
"F0483",0,1,1,2
"F0580",0,1,1,2
"F0581",0,1,1,2
"F0582",0,0,1,1
"F0586",0,0,1,1
"F0826",0,1,1,2
"F0827",0,1,1,2
"F0829",0,1,1,2
"F0830",0,1,0,1
"F0832",0,0,1,1
"F0833",0,1,0,1
"F0836",0,1,1,2
"F0837",0,0,1,1
"F0839",0,1,1,2
"F0840",0,0,1,1
"F0841",0,1,0,1
"F0845",0,0,1,1
"F0848",0,0,1,1
"F0850",0,1,1,2
"F0851",0,1,0,1
"F0854",0,1,1,2
"F0856",0,0,1,1
"F0858",0,1,0,1
"F0574",0,1,1,2
"F0575",0,1,1,2
"F0576",0,1,1,2
"F0634",0,1,1,2
"F0635",0,0,1,1
"F0637",0,1,1,2
"F0638",0,1,1,2
"F0640",0,0,1,1
"F0641",0,0,1,1
"F0642",0,1,1,2
"F0643",0,1,1,2
"F0644",0,1,1,2
"F0645",0,1,1,2
"F0646",0,1,1,2
"F0647",0,1,1,2
"F0648",0,1,1,2
"F0650",0,1,1,2
"F0651",0,0,1,1
"F0652",0,0,1,1
"F0653",0,1,0,1
"F0656",0,1,0,1
"F0658",0,1,1,2
"F0660",0,1,1,2
"F0661",0,1,1,2
"F0662",0,1,1,2
"F0665",0,1,1,2
"F0666",0,1,1,2
"F0868",0,1,1,2
"F0870",0,1,1,2
"F0871",0,1,1,2
"F0872",0,1,1,2
"F0874",0,1,1,2
"F0875",0,1,1,2
"F0876",0,1,1,2
"F0877",0,1,1,2
"F0860",0,1,1,2
"F0878",0,1,1,2
"F0879",0,1,1,2
"F0880",0,1,1,2
"F0881",0,1,1,2
"F0883",0,1,1,2
"F0884",0,1,0,1
"F0885",0,1,1,2
"F0886",0,1,1,2
"F0887",0,1,1,2
"F0861",0,0,1,1
"F0862",0,1,1,2
"F0863",0,1,1,2
"F0865",0,1,1,2
"F0866",0,1,1,2
"F0867",0,1,1,2
"F1219",0,1,1,2
"F1076",0,1,1,2
"F1077",0,0,1,1
"F1078",0,1,1,2
"F1079",0,1,1,2
"F1081",0,0,1,1
"F1082",0,1,1,2
"F1083",0,0,1,1
"F1551",0,0,1,1
"F1552",0,0,1,1
"F1553",0,1,1,2
"F1554",0,1,1,2
"F1555",0,1,1,2
"F1556",0,1,1,2
"F1557",0,1,1,2
"F1558",0,0,1,1
"F1560",0,1,1,2
"F1561",0,1,1,2
"F1563",0,1,1,2
"F1564",1,1,1,3
"F1565",0,1,1,2
"F1566",0,1,1,2
"F1573",0,1,1,2
"F1574",0,1,1,2
"F1575",0,1,1,2
"F1576",0,1,1,2
"F1577",0,0,1,1
"F1578",0,1,1,2
"F1579",0,1,1,2
"F1580",0,1,1,2
"F1581",0,1,1,2
"F1582",0,1,1,2
"F1583",0,1,1,2
"F1585",0,1,0,1
"F1586",0,1,1,2
"F1587",0,1,1,2
"F1588",0,1,1,2
"F1589",0,1,1,2
"F1605",0,1,1,2
"F1606",0,1,0,1
"F1607",0,1,1,2
"F1608",0,1,1,2
"F1609",0,1,1,2
"F1610",0,1,1,2
"F1612",0,1,1,2
"F1613",0,1,1,2
"F1615",0,0,1,1
"F1616",0,1,1,2
"F1617",0,1,1,2
"F1618",0,1,1,2
"F1619",0,0,1,1
"F1620",0,1,0,1
"F1622",0,1,1,2
"F1623",0,1,0,1
"F1624",0,1,1,2
"F1625",0,0,1,1
"F1626",0,1,1,2
"F1371",0,0,1,1
"F1380",0,0,1,1
"F1383",0,1,1,2
"F1384",0,1,1,2
"F1387",0,1,1,2
"F1393",0,1,0,1
"F1394",0,1,1,2
"F1397",0,0,1,1
"F1404",0,0,1,1
"F1413",0,0,1,1
"F1414",0,1,1,2
"F1415",0,1,1,2
"F1488",0,0,1,1
"F1495",0,0,1,1
"F1499",0,0,1,1
"F1292",0,0,1,1
"F1293",0,1,0,1
"F1306",0,1,1,2
"F1307",0,1,1,2
"F1309",0,0,1,1
"F1312",0,1,1,2
"F1313",0,1,1,2
"F1314",0,1,1,2
"F1316",0,0,1,1
"F1318",0,1,1,2
"F1319",0,0,1,1
"F1321",0,1,0,1
"F1322",0,1,0,1
"F1327",0,1,0,1
"F1336",0,1,1,2
"F1726",0,0,1,1
"F1727",0,1,1,2
"F1730",0,1,0,1
"F1734",0,1,0,1
"F1735",0,0,1,1
"F1848",0,1,1,2
"F1858",0,1,1,2
"F1861",0,1,1,2
"F1863",0,1,1,2
"F1868",0,1,0,1
"F1871",0,1,1,2
"F1872",0,1,0,1
"F1873",0,1,1,2
"F1874",0,1,1,2
"F1724",0,0,1,1
