"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0012",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0013",0.378297635323308,0,0,0,0,0,0,0,0.240906712576164,0,0,0,0,0,0.380795652100528,3
"F0014",0,0,0,0,0,0,0.103059494173251,0,0.102897138940001,0,0,0,0,0,0.794043366886748,3
"F0015",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0017",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0019",0.307207974780608,0,0,0,0,0,0.0544943341569396,0,0,0,0.155900144841101,0,0.139959103689188,0,0.342438442532163,5
"F0020",0.339550232823575,0,0.185225007650508,0,0,0,0.231202494479228,0,0,0,0,0,0,0,0.244022265046689,4
"F0021",0.190083492700219,0,0,0.0128177620224824,0,0,0.33753439992537,0,0.160343299594197,0,0.00785484397593171,0,0,0,0.2913662017818,6
"F0023",0,0,0,0.294617563739377,0,0,0,0,0,0.705382436260623,0,0,0,0,0,2
"F0026",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0027",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0003",0.108277196939678,0,0,0.279353491632883,0,0,0,0,0,0.612369311427439,0,0,0,0,0,3
"F0030",0,0,0,0.302558326629123,0,0,0,0,0,0.697441673370877,0,0,0,0,0,2
"F0031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0034",0,0,0,0,0,0,0.340864030053219,0,0,0,0,0,0,0,0.659135969946781,2
"F0035",0.070082813907086,0,0.194621510426783,0,0,0,0,0,0,0,0,0.559585400738086,0,0.14176363604259,0.0339466388854555,5
"F0004",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0039",0.0163631189527604,0,0,0,0,0,0,0,0,0.0275722506798204,0.198238790868273,0,0,0.105332637703156,0.652493201795991,5
"F0041",0,0,0,0,0,0.16072361137223,0,0,0.83927638862777,0,0,0,0,0,0,2
"F0042",0.0706182348043297,0,0,0.114696086594505,0,0,0,0,0,0,0,0,0,0.0821190674437968,0.732566611157369,4
"F0044",0,0,0,0,0,0,0.79668593360376,0,0,0,0.20331406639624,0,0,0,0,2
"F0045",0.563309564997257,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436690435002743,2
"F0046",0.242167631981892,0,0,0,0,0,0,0,0.225244657479529,0,0,0,0,0,0.532587710538579,3
"F0005",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0049",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0050",0,0,0,0,0,0,0,0,0,0.939415821208073,0,0,0,0,0.0605841787919269,2
"F0006",0.13382105133369,0,0,0,0,0,0.866178948666311,0,0,0,0,0,0,0,0,2
"F0059",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"F0061",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0068",0,0,0,0,0,0,0,0,0,0,0.32378247905722,0,0,0,0.67621752094278,2
"F0071",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0072",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0074",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0008",0,0,0,0,0,0,0,0,0,0.411277782859233,0.0366322143967804,0,0,0,0.552090002743986,3
"F0076",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"F0078",0.0435013182217643,0,0,0,0,0,0,0,0,0.956498681778236,0,0,0,0,0,2
