"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0012",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0013",0.378297635323308,0,0,0,0,0,0,0,0.240906712576164,0,0,0,0,0,0.380795652100528,3
"F0014",0,0,0,0,0,0,0.103059494173251,0,0.102897138940001,0,0,0,0,0,0.794043366886748,3
"F0015",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0017",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0019",0.307207974780608,0,0,0,0,0,0.0544943341569396,0,0,0,0.155900144841101,0,0.139959103689188,0,0.342438442532163,5
"F0020",0.339550232823575,0,0.185225007650508,0,0,0,0.231202494479228,0,0,0,0,0,0,0,0.244022265046689,4
"F0021",0.190083492700219,0,0,0.0128177620224824,0,0,0.33753439992537,0,0.160343299594197,0,0.00785484397593171,0,0,0,0.2913662017818,6
"F0003",0.108277196939678,0,0,0.279353491632883,0,0,0,0,0,0.612369311427439,0,0,0,0,0,3
"F0004",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0005",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0006",0.13382105133369,0,0,0,0,0,0.866178948666311,0,0,0,0,0,0,0,0,2
"F0008",0,0,0,0,0,0,0,0,0,0.411277782859233,0.0366322143967804,0,0,0,0.552090002743986,3
"F0117",0,0,0,0,0,0,0.523001844908647,0,0,0,0.0748675831696721,0,0,0,0.402130571921681,3
"F0118",0.246174016085521,0,0,0,0,0,0.0322214658497844,0,0.312255754733631,0.1547538007715,0,0,0,0,0.254594962559564,5
"F0120",0,0,0,0.281412639405204,0,0,0.331366171003717,0,0,0.387221189591078,0,0,0,0,0,3
"F0122",0.18311908968449,0,0,0.0599679142213106,0,0,0.38912468100373,0,0,0,0.0618700458271565,0,0,0.14038543549337,0.165532833769944,6
"F0123",0,0,0,0.586508507069255,0,0,0.413491492930745,0,0,0,0,0,0,0,0,2
"F0124",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0125",0.55566370284632,0,0,0,0,0,0.173488714684064,0,0,0,0.0712895249118746,0,0,0,0.199558057557742,4
"F0126",0.392541907257141,0,0,0,0,0,0.103426347518633,0,0.274158675247374,0.0322793986721949,0,0,0,0,0.197593671304657,5
"F0127",0.0792420646692376,0,0,0.0598338771877781,0,0,0.0101972708395135,0,0,0.850726787303471,0,0,0,0,0,4
"F0128",0,0,0,0,0,0,0.478814653317651,0,0,0.423047132734731,0,0,0,0.0240397028027195,0.074098511144898,4
"F0129",0.136025192815778,0,0,0,0,0,0.863974807184222,0,0,0,0,0,0,0,0,2
"F0131",0.0988987444830098,0,0,0,0,0,0.90110125551699,0,0,0,0,0,0,0,0,2
"F0132",0.664073324096771,0,0,0.233542932253366,0,0,0.102383743649863,0,0,0,0,0,0,0,0,3
"F0133",0.354968318162058,0,0,0,0,0,0.0905138912674052,0,0,0,0,0,0,0,0.554517790570537,3
"F0134",0.725056241259804,0,0,0,0,0,0.0520763665106098,0,0,0,0,0,0,0,0.222867392229586,3
"F0135",0.455882675799688,0,0,0,0,0,0.0204175722847922,0,0,0.235285077608729,0.135129201519243,0,0,0,0.153285472787547,5
"F0136",0.354995589672682,0,0,0,0,0,0.0734975087610556,0,0,0.118852361313086,0.0295253534221756,0,0,0,0.423129186831001,5
"F0138",0,0,0,0,0,0,0.724987021733335,0,0,0.168254458209981,0,0,0,0,0.106758520056683,3
