"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0023",0,0,0,0.294617563739377,0,0,0,0,0,0.705382436260623,0,0,0,0,0,2
"F0026",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0027",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0030",0,0,0,0.302558326629123,0,0,0,0,0,0.697441673370877,0,0,0,0,0,2
"F0031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0034",0,0,0,0,0,0,0.340864030053219,0,0,0,0,0,0,0,0.659135969946781,2
"F0035",0.070082813907086,0,0.194621510426783,0,0,0,0,0,0,0,0,0.559585400738086,0,0.14176363604259,0.0339466388854555,5
"F0039",0.0163631189527604,0,0,0,0,0,0,0,0,0.0275722506798204,0.198238790868273,0,0,0.105332637703156,0.652493201795991,5
"F0041",0,0,0,0,0,0.16072361137223,0,0,0.83927638862777,0,0,0,0,0,0,2
"F0042",0.0706182348043297,0,0,0.114696086594505,0,0,0,0,0,0,0,0,0,0.0821190674437968,0.732566611157369,4
"F0044",0,0,0,0,0,0,0.79668593360376,0,0,0,0.20331406639624,0,0,0,0,2
"F0103",0.197169459962756,0,0,0,0,0,0.21147113594041,0,0.591359404096834,0,0,0,0,0,0,3
"F0105",0,0,0,0,0,0.10825799144715,0.0441506707543301,0,0.290718790884771,0,0,0,0,0.201441096639394,0.355431450274355,5
"F0107",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"F0108",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0109",0,0,0,0,0,0,0,0,0,0,0.232403977383506,0,0,0,0.767596022616494,2
"F0110",0,0,0,0,0,0,0.637994519609522,0,0,0,0,0,0,0,0.362005480390478,2
"F0111",0.0503946070371588,0,0,0,0,0.053485695494903,0.0170996382768826,0,0,0,0,0,0,0,0.879020059191056,4
"F0112",0,0,0,0,0,0,0,0,0,0.0358574291440023,0,0,0,0.233001717721157,0.731140853134841,3
"F0114",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0115",0,0,0,0,0,0,0.0755894888541379,0,0,0,0.924410511145862,0,0,0,0,2
"F0291",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0292",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0295",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0299",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0300",0,0,0,0,0,0,0.344668760281143,0,0,0,0,0,0,0,0.655331239718858,2
"F0301",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0302",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0310",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0313",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0315",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0362",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0365",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0371",0,0,0,0,0,0,0,0,0,0.389686506133576,0,0,0,0,0.610313493866424,2
"F0374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0376",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0423",0.498889163169588,0,0,0,0,0,0,0,0,0.223204147124167,0,0,0,0.277906689706245,0,3
"F0424",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0427",0.978310440793608,0,0,0,0,0,0,0,0,0,0.021689559206392,0,0,0,0,2
"F0429",0,0,0,0,0.529831425119383,0,0,0,0,0.470168574880617,0,0,0,0,0,2
"F0430",0.722223722223722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277776277776278,2
"F0432",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0435",0,0,0,0,0,0,0,0,0,0,0.786766563660039,0,0,0,0.213233436339961,2
"F0436",0.902678718762032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0973212812379678,2
"F0438",0.616345995724387,0,0,0,0.0632671061876785,0.0561959007938288,0,0,0,0.264190997294105,0,0,0,0,0,4
"F0439",0,0,0,0,0,0,0,0,0,0.685096887397009,0,0,0,0,0.314903112602991,2
"F0441",0,0,0,0,0,0,0,0,0,0.591362557243491,0.408637442756509,0,0,0,0,2
"F0443",0.747242493918491,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252757506081509,2
"F0444",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0445",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0446",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0449",0.178128570823987,0,0,0,0,0,0,0,0,0,0,0,0,0,0.821871429176013,2
"F0454",0.170046801872075,0,0,0,0,0.0552870895323618,0,0,0,0,0.316768768311708,0,0,0,0.457897340283855,4
"F0458",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"F0526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0527",0.12394652381722,0,0,0,0,0,0,0,0,0.194116696298691,0,0,0,0,0.681936779884089,3
"F0528",0.84445564516129,0,0,0,0,0,0,0,0,0,0.15554435483871,0,0,0,0,2
"F0529",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"F0530",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0531",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0532",0.149943030763388,0,0,0,0,0,0.128028864413217,0,0,0.722028104823395,0,0,0,0,0,3
"F0534",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0535",0.229319575166221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77068042483378,2
"F0538",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0541",0,0,0,0,0,0,0,0,0,0.442302803392729,0,0,0,0,0.557697196607271,2
"F0545",0.184638604729163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815361395270837,2
"F0546",0.276059706415966,0,0,0,0,0,0,0,0,0,0,0,0,0.154750123701138,0.569190169882896,3
"F0548",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0549",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0550",0.130506225115338,0,0,0.186816659293434,0,0,0,0,0,0.21193831763888,0,0,0,0,0.470738797952348,4
"F0552",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0554",0.446752008715784,0,0,0,0,0,0,0,0,0,0,0,0,0.553247991284216,0,2
"F0555",0,0,0,0,0,0,0,0,0,0.84268764164778,0.15731235835222,0,0,0,0,2
"F0557",0.697043832823649,0,0,0,0,0,0.302956167176351,0,0,0,0,0,0,0,0,2
"F0560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0566",0.159602192732828,0,0,0,0,0,0,0,0,0.167570320222868,0,0,0,0,0.672827487044304,3
