"","Chaetothyriales","Malasseziales","Pucciniales","Helotiales","Verrucariales","Corticiales","Hymenochaetales","Sporidiobolales","Onygenales","Pneumocystidales","Dothideales","Ustilaginales","Xylariales","Eurotiales","Trichosporonales","Mucorales","Microascales","Saccharomycetales","Glomerellales","Georgefischeriales","Pleosporales","Entylomatales","Pezizales","Botryosphaeriales","Sordariales","Hypocreales","Tremellales","Polyporales","Gloeophyllales","Russulales","Agaricales","diversity"
"F0012",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0013",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0014",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0019",0,0.593521094302974,0,0,0,0,0,0,0,0,0,0,0,0.105282217576665,0,0,0,0,0,0,0,0,0,0,0,0.30119668812036,0,0,0,0,0,3
"F0020",0,0.594916531416647,0,0,0,0,0,0,0,0,0,0,0,0.405083468583353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0021",0,0.34668390785041,0,0,0,0,0,0.0233776840099364,0,0,0,0,0,0.615612345594991,0,0,0,0,0,0,0,0,0,0,0,0.0143260625446626,0,0,0,0,0,4
"F0003",0,0.108277196939678,0,0,0,0,0,0.279353491632883,0,0,0,0,0,0,0,0,0,0.612369311427439,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0004",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0005",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0006",0,0.13382105133369,0,0,0,0,0,0,0,0,0,0,0,0.866178948666311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918215233816622,0,0,0,0,0,0,0,0.0817847661833776,0,0,0,0,0,2
"F0117",0,0,0,0,0,0,0,0,0,0,0,0,0,0.8747760302608,0,0,0,0,0,0,0,0,0,0,0,0.1252239697392,0,0,0,0,0,2
"F0118",0,0.357944130801378,0,0,0,0,0,0,0,0,0,0,0,0.0468509421511841,0,0,0,0.225016496810617,0,0,0.370188430236821,0,0,0,0,0,0,0,0,0,0,4
"F0120",0,0,0,0,0,0,0,0.281412639405204,0,0,0,0,0,0.331366171003717,0,0,0,0.387221189591078,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0122",0,0.237017566916371,0,0,0,0,0,0.0776186095413326,0,0,0,0,0,0.503657948920138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0824287028518859,0,0.0992771717702721,0,5
"F0123",0,0,0,0,0,0,0,0.586508507069255,0,0,0,0,0,0.413491492930745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0124",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0125",0,0.694196135138688,0,0,0,0,0,0,0,0,0,0,0,0.216741159458394,0,0,0,0,0,0,0,0,0,0,0,0.0890627054029184,0,0,0,0,0,3
"F0126",0,0.392541907257141,0,0,0,0,0,0,0,0,0.197593671304657,0,0,0.103426347518633,0,0,0,0.0322793986721949,0,0,0,0,0,0,0,0,0.274158675247374,0,0,0,0,5
"F0127",0,0.0792420646692376,0,0,0,0,0,0.0598338771877781,0,0,0,0,0,0.0101972708395135,0,0,0,0.850726787303471,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"F0128",0,0,0,0,0,0,0,0,0,0,0,0,0,0.517133473788574,0,0,0,0.456902961953154,0,0,0,0,0,0,0,0,0,0.0259635642582724,0,0,0,3
"F0129",0,0.136025192815778,0,0,0,0,0,0,0,0,0,0,0,0.863974807184222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0131",0,0.0988987444830098,0,0,0,0,0,0,0,0,0,0,0,0.90110125551699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0132",0,0.664073324096771,0,0,0,0,0,0.233542932253366,0,0,0,0,0,0.102383743649863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0133",0,0.796818168376852,0,0,0,0,0,0,0,0,0,0,0,0.203181831623148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0134",0,0.770622637241914,0,0,0,0,0,0,0,0,0,0,0,0.0553491227503312,0,0,0,0,0,0,0.174028240007755,0,0,0,0,0,0,0,0,0,0,3
"F0135",0,0.455882675799688,0,0,0,0,0,0,0,0,0.153285472787547,0,0,0.0204175722847922,0,0,0,0.235285077608729,0,0,0,0,0,0,0,0.135129201519243,0,0,0,0,0,5
