"","Chaetothyriales","Malasseziales","Pucciniales","Helotiales","Verrucariales","Corticiales","Hymenochaetales","Sporidiobolales","Onygenales","Pneumocystidales","Dothideales","Ustilaginales","Xylariales","Eurotiales","Trichosporonales","Mucorales","Microascales","Saccharomycetales","Glomerellales","Georgefischeriales","Pleosporales","Entylomatales","Pezizales","Botryosphaeriales","Sordariales","Hypocreales","Tremellales","Polyporales","Gloeophyllales","Russulales","Agaricales","diversity"
"F0023",0,0,0,0,0,0,0,0.294617563739377,0,0,0,0,0,0,0,0,0,0.705382436260623,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0030",0,0,0,0,0,0,0,0.302558326629123,0,0,0,0,0,0,0,0,0,0.697441673370877,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0034",0,0,0,0,0,0,0,0,0,0,0,0,0,0.340864030053219,0,0,0,0,0,0,0.659135969946781,0,0,0,0,0,0,0,0,0,0,2
"F0035",0,0.0908477059180333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725385398903602,0,0,0,0,0,0,0,0.183766895178365,3
"F0039",0,0.0177051704229568,0,0,0,0,0,0,0,0,0.050925886327674,0,0.159158362913228,0,0,0,0,0.0298336398238036,0.0553393490997733,0,0.595877346790403,0,0,0,0,0,0,0.0911602446221614,0,0,0,7
"F0041",0,0,0,0,0,0,0,0,0,0,0,0.398157731318568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601842268681432,0,0,0,0,2
"F0042",0,0.264059155477719,0,0,0,0,0,0.428877213465655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102048758791316,0.20501487226531,4
"F0044",0,0,0,0,0,0,0,0,0,0,0,0,0,0.79668593360376,0,0,0,0,0,0,0,0,0,0,0,0.20331406639624,0,0,0,0,0,2
"F0103",0,0.197169459962756,0,0,0,0,0,0,0,0,0,0,0,0.21147113594041,0,0,0,0,0,0,0,0,0,0,0,0,0.591359404096834,0,0,0,0,3
"F0105",0,0,0,0,0,0,0,0,0,0,0.355431450274355,0.10825799144715,0,0.0441506707543301,0,0,0,0,0,0,0,0,0,0,0,0,0.290718790884771,0.116029759231415,0,0.0854113374079788,0,6
"F0107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"F0108",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767596022616494,0,0,0,0,0.232403977383506,0,0,0,0,0,2
"F0110",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0111",0,0.248339005023497,0,0,0,0,0,0,0,0,0,0.263571544320207,0,0.0842651110030789,0,0,0,0,0,0,0.403824339653217,0,0,0,0,0,0,0,0,0,0,4
"F0112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133368827365899,0,0,0,0,0,0,0,0,0,0,0,0.866631172634101,0,2
