"","Wickerhamomyces_anomalus","Malassezia_sympodialis","Wallemia_ichthyophaga","Candida_tropicalis","Pyrenophora_tritici-repentis","Malassezia_restricta","Sporisorium_graminicola","Debaryomyces_hansenii","Stereum_hirsutum","Pneumocystis_jirovecii","Aureobasidium_pullulans","Cyphellophora_europaea","Candida_glabrata","Pseudozyma_hubeiensis","Hyphopichia_burtonii","Cyberlindnera_jadinii","Torulaspora_delbrueckii","Saccharomyces_cerevisiae","Trichosporon_asahii","Alternaria_alternata","Coniosporium_apollinis","Ramularia_collo-cygni","Aureobasidium_namibiae","Malassezia_globosa","Penicillium_expansum","Rhodotorula_graminis","Agaricus_bisporus","Schizophyllum_commune","Candida_orthopsilosis","Bipolaris_zeicola","Tilletiopsis_washingtonensis","Byssochlamys_spectabilis","Fusarium_oxysporum","Candida_albicans","diversity"
"F0019",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0020",0,0,0,0,0,0.636165822547364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363834177452636,0,0,0,0,0,0,0,0,0,0,2
"F0021",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0003",0,0,0,0,0,0.396899441340782,0,0,0,0,0,0,0,0,0,0,0,0.603100558659218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"F0006",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0008",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0118",0,0,0,0,0,0.720005899269965,0,0,0,0,0,0,0,0,0,0,0,0.279994100730035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0122",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0125",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0126",0,0,0,0,0,0.891566265060241,0,0,0,0,0,0,0,0,0,0.108433734939759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0127",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0132",0,0,0,0,0,0.812710640346654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187289359653346,0,0,0,0,0,0,0,0,0,0,2
"F0133",0,0,0,0,0,0.61402614257903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38597385742097,0,0,0,0,0,0,0,0,0,0,2
"F0134",0,0,0,0,0,0.917388309387916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826116906120842,0,0,0,0,0,0,0,0,0,0,2
"F0135",0,0,0,0,0,0.505821583135558,0,0,0,0,0.194946251570571,0,0,0,0,0.299232165293871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0136",0,0,0,0,0,0.552051955230068,0,0.275556169683571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0916678181566948,0.080724056929667,0,0,0,0,0,0,0,0,0,4
"F0140",0,0,0,0,0,0.441050934269183,0,0,0,0,0,0,0,0,0,0,0.558949065730817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0145",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0146",0,0,0,0,0,0.195422208475101,0,0,0,0,0,0,0,0.263470460872255,0,0,0,0,0,0,0,0,0,0.541107330652645,0,0,0,0,0,0,0,0,0,0,3
"F0147",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0159",0,0,0,0,0,0,0,0,0,0,0.300917907862833,0,0,0,0,0.27918254243159,0,0.198822306892968,0,0.221077242812608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"F0161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0170",0,0,0,0,0,0.245048118539641,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75495188146036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0177",0,0,0,0,0,0.691133004926108,0,0,0,0,0,0,0,0,0.308866995073892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0178",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0182",0,0,0,0,0,0,0,0,0,0,0,0,0,0.413968957871397,0,0,0,0.586031042128603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0183",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0185",0,0,0,0,0,0.163713179204319,0,0,0,0,0,0,0,0,0,0,0,0.176387747916911,0,0.195164886750381,0,0,0,0.464734186128389,0,0,0,0,0,0,0,0,0,0,4
"F0320",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0321",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0351",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0368",0,0,0,0,0,0.224940805051302,0.279368587213891,0,0,0,0,0,0,0,0,0,0,0,0,0.495690607734807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0212",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0216",0,0,0,0,0,0.369869092522742,0,0.630130907477258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0219",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0221",0,0,0,0,0,0,0,0,0,0,0.84472049689441,0,0,0,0,0,0,0.15527950310559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0228",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0230",0,0,0,0,0,0.271593572145966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728406427854034,0,0,0,0,0,0,0,0,0,0,2
"F0235",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0238",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0243",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0248",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0249",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0258",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
