"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0012",0,0,0,0,0,0,133620,0,0,0,0,0,0,0,0,1
"F0013",22413,0,0,0,0,0,0,0,14273,0,0,0,0,0,22561,3
"F0014",0,0,0,0,0,0,5713,0,5704,0,0,0,0,0,44017,3
"F0015",0,0,0,0,0,0,0,0,701,0,0,0,0,0,0,1
"F0017",0,0,0,0,0,0,0,0,14098,0,0,0,0,0,0,1
"F0019",36057,0,0,0,0,0,6396,0,0,0,18298,0,16427,0,40192,5
"F0020",41054,0,22395,0,0,0,27954,0,0,0,0,0,0,0,29504,4
"F0021",20376,0,0,1374,0,0,36182,0,17188,0,842,0,0,0,31233,6
"F0003",14209,0,0,36659,0,0,0,0,0,80360,0,0,0,0,0,3
"F0004",0,0,0,0,0,0,3059,0,0,0,0,0,0,0,0,1
"F0005",0,0,0,0,0,0,16524,0,0,0,0,0,0,0,0,1
"F0006",16280,0,0,0,0,0,105375,0,0,0,0,0,0,0,0,2
"F0008",0,0,0,0,0,0,0,0,0,17986,1602,0,0,0,24144,3
"F0117",0,0,0,0,0,0,26364,0,0,0,3774,0,0,0,20271,3
"F0118",9764,0,0,0,0,0,1278,0,12385,6138,0,0,0,0,10098,5
"F0120",0,0,0,6056,0,0,7131,0,0,8333,0,0,0,0,0,3
"F0122",27052,0,0,8859,0,0,57485,0,0,0,9140,0,0,20739,24454,6
"F0123",0,0,0,9790,0,0,6902,0,0,0,0,0,0,0,0,2
"F0124",1634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0125",21123,0,0,0,0,0,6595,0,0,0,2710,0,0,0,7586,4
"F0126",15432,0,0,0,0,0,4066,0,10778,1269,0,0,0,0,7768,5
"F0127",10685,0,0,8068,0,0,1375,0,0,114712,0,0,0,0,0,4
"F0128",0,0,0,0,0,0,33382,0,0,29494,0,0,0,1676,5166,4
"F0129",5097,0,0,0,0,0,32374,0,0,0,0,0,0,0,0,2
"F0131",4616,0,0,0,0,0,42058,0,0,0,0,0,0,0,0,2
"F0132",18693,0,0,6574,0,0,2882,0,0,0,0,0,0,0,0,3
"F0133",26946,0,0,0,0,0,6871,0,0,0,0,0,0,0,42094,3
"F0134",119250,0,0,0,0,0,8565,0,0,0,0,0,0,0,36655,3
"F0135",20765,0,0,0,0,0,930,0,0,10717,6155,0,0,0,6982,5
"F0136",29782,0,0,0,0,0,6166,0,0,9971,2477,0,0,0,35498,5
"F0138",0,0,0,0,0,0,51672,0,0,11992,0,0,0,0,7609,3
"F0139",0,0,0,9232,0,0,18966,0,0,0,13354,0,0,0,0,3
"F0140",4650,0,0,0,0,0,1105,0,0,5893,0,0,0,0,0,3
"F0141",0,0,0,0,0,0,0,0,0,11241,0,0,0,0,0,1
"F0142",0,0,0,0,0,0,0,0,0,3426,24480,0,0,0,0,2
"F0145",4080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0146",11906,0,0,0,0,4259,5156,0,0,0,5078,0,0,0,0,4
"F0147",4990,0,0,0,0,0,57820,0,0,10265,0,0,0,0,23255,4
"F0148",1758,0,0,0,0,0,1030,0,0,0,0,0,0,0,0,2
"F0151",0,0,0,0,0,0,0,0,9491,12011,0,0,0,2966,57604,4
"F0153",0,0,0,0,0,0,1446120,0,0,0,0,0,0,0,0,1
"F0154",0,0,0,0,0,0,1600240,0,0,0,0,0,0,0,0,1
"F0155",0,0,0,0,0,0,0,0,0,7330,0,0,0,0,0,1
"F0157",8317,0,0,0,0,0,1051,0,0,0,0,0,0,0,9899,3
"F0159",0,0,0,0,0,0,0,0,27770,50335,0,0,0,0,58405,3
"F0161",2939,0,0,0,0,0,2492,0,0,0,0,0,0,0,34165,3
"F0162",0,0,0,0,0,0,1037,0,0,0,0,0,0,0,0,1
