"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0023",0,0,0,728,0,0,0,0,0,1743,0,0,0,0,0,2
"F0026",0,0,0,0,0,0,0,0,0,56137,0,0,0,0,0,1
"F0027",0,0,0,0,0,0,0,0,0,16517,0,0,0,0,0,1
"F0030",0,0,0,28206,0,0,0,0,0,65019,0,0,0,0,0,2
"F0031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,1
"F0034",0,0,0,0,0,0,6533,0,0,0,0,0,0,0,12633,2
"F0035",7938,0,22044,0,0,0,0,0,0,0,0,63382,0,16057,3845,5
"F0039",2070,0,0,0,0,0,0,0,0,3488,25078,0,0,13325,82543,5
"F0041",0,0,0,0,0,7694,0,0,40177,0,0,0,0,0,0,2
"F0042",9499,0,0,15428,0,0,0,0,0,0,0,0,0,11046,98539,4
"F0044",0,0,0,0,0,0,69330,0,0,0,17693,0,0,0,0,2
"F0103",2647,0,0,0,0,0,2839,0,7939,0,0,0,0,0,0,3
"F0105",0,0,0,0,0,5544,2261,0,14888,0,0,0,0,10316,18202,5
"F0107",0,0,0,0,0,0,0,0,0,0,0,0,0,4758,0,1
"F0108",0,0,0,0,0,0,1314,0,0,0,0,0,0,0,0,1
"F0109",0,0,0,0,0,0,0,0,0,0,5960,0,0,0,19685,2
"F0110",0,0,0,0,0,0,14901,0,0,0,0,0,0,0,8455,2
"F0111",15325,0,0,0,0,16265,5200,0,0,0,0,0,0,0,267310,4
"F0112",0,0,0,0,0,0,0,0,0,1002,0,0,0,6511,20431,3
"F0114",0,0,0,0,0,0,10248,0,0,0,0,0,0,0,0,1
"F0115",0,0,0,0,0,0,123260,0,0,0,1507390,0,0,0,0,2
"F0291",28997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0292",17786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0295",18222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0299",43285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0300",0,0,0,0,0,0,57620,0,0,0,0,0,0,0,109555,2
"F0301",17251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0302",13064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,27432,1
"F0310",23754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0313",0,0,0,0,0,0,0,0,0,27261,0,0,0,0,0,1
"F0315",0,0,0,0,0,0,0,0,0,2723,0,0,0,0,0,1
"F0362",0,0,0,0,0,0,0,0,0,1517,0,0,0,0,0,1
"F0365",27013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0371",0,0,0,0,0,0,0,0,0,8577,0,0,0,0,13433,2
