"","Chaetothyriales","Malasseziales","Pucciniales","Helotiales","Verrucariales","Corticiales","Hymenochaetales","Sporidiobolales","Onygenales","Pneumocystidales","Dothideales","Ustilaginales","Xylariales","Eurotiales","Trichosporonales","Mucorales","Microascales","Saccharomycetales","Glomerellales","Georgefischeriales","Pleosporales","Entylomatales","Pezizales","Botryosphaeriales","Sordariales","Hypocreales","Tremellales","Polyporales","Gloeophyllales","Russulales","Agaricales","diversity"
"F0012",0,0,0,0,0,0,0,0,0,0,0,0,0,133620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0013",0,22413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0014",0,0,0,0,0,0,0,0,0,0,0,0,0,5713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0019",0,36057,0,0,0,0,0,0,0,0,0,0,0,6396,0,0,0,0,0,0,0,0,0,0,0,18298,0,0,0,0,0,3
"F0020",0,41054,0,0,0,0,0,0,0,0,0,0,0,27954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0021",0,20376,0,0,0,0,0,1374,0,0,0,0,0,36182,0,0,0,0,0,0,0,0,0,0,0,842,0,0,0,0,0,4
"F0003",0,14209,0,0,0,0,0,36659,0,0,0,0,0,0,0,0,0,80360,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0004",0,0,0,0,0,0,0,0,0,0,0,0,0,3059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0005",0,0,0,0,0,0,0,0,0,0,0,0,0,16524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0006",0,16280,0,0,0,0,0,0,0,0,0,0,0,105375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17986,0,0,0,0,0,0,0,1602,0,0,0,0,0,2
"F0117",0,0,0,0,0,0,0,0,0,0,0,0,0,26364,0,0,0,0,0,0,0,0,0,0,0,3774,0,0,0,0,0,2
"F0118",0,9764,0,0,0,0,0,0,0,0,0,0,0,1278,0,0,0,6138,0,0,10098,0,0,0,0,0,0,0,0,0,0,4
"F0120",0,0,0,0,0,0,0,6056,0,0,0,0,0,7131,0,0,0,8333,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0122",0,27052,0,0,0,0,0,8859,0,0,0,0,0,57485,0,0,0,0,0,0,0,0,0,0,0,0,0,9408,0,11331,0,5
"F0123",0,0,0,0,0,0,0,9790,0,0,0,0,0,6902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0124",0,1634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0125",0,21123,0,0,0,0,0,0,0,0,0,0,0,6595,0,0,0,0,0,0,0,0,0,0,0,2710,0,0,0,0,0,3
"F0126",0,15432,0,0,0,0,0,0,0,0,7768,0,0,4066,0,0,0,1269,0,0,0,0,0,0,0,0,10778,0,0,0,0,5
"F0127",0,10685,0,0,0,0,0,8068,0,0,0,0,0,1375,0,0,0,114712,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"F0128",0,0,0,0,0,0,0,0,0,0,0,0,0,33382,0,0,0,29494,0,0,0,0,0,0,0,0,0,1676,0,0,0,3
"F0129",0,5097,0,0,0,0,0,0,0,0,0,0,0,32374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0131",0,4616,0,0,0,0,0,0,0,0,0,0,0,42058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0132",0,18693,0,0,0,0,0,6574,0,0,0,0,0,2882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0133",0,26946,0,0,0,0,0,0,0,0,0,0,0,6871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0134",0,119250,0,0,0,0,0,0,0,0,0,0,0,8565,0,0,0,0,0,0,26930,0,0,0,0,0,0,0,0,0,0,3
"F0135",0,20765,0,0,0,0,0,0,0,0,6982,0,0,930,0,0,0,10717,0,0,0,0,0,0,0,6155,0,0,0,0,0,5
"F0136",0,29782,0,0,0,0,0,0,0,0,0,0,0,6166,0,0,0,9971,2477,0,24112,0,0,0,0,0,0,0,0,0,0,5
"F0138",0,0,0,0,0,0,0,0,0,0,0,0,0,51672,0,0,0,11992,0,0,7609,0,0,0,0,0,0,0,0,0,0,3
"F0139",0,0,0,0,0,0,0,9232,0,0,0,0,0,18966,0,0,0,0,0,0,0,0,0,0,0,13354,0,0,0,0,0,3
"F0140",1105,4650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5893,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11241,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3426,0,0,0,0,0,0,18177,6303,0,0,0,0,0,3
"F0145",0,4080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0146",0,11906,0,0,0,0,0,0,0,0,0,4259,0,5156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0147",0,4990,0,0,0,0,0,0,0,0,23255,0,0,57820,0,0,0,10265,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"F0148",0,1758,0,0,0,0,0,0,0,0,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12011,0,0,0,0,0,3982,0,0,9491,0,0,0,2966,4
"F0153",0,0,0,0,0,0,0,0,0,0,0,0,0,1446120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0154",0,0,0,0,0,0,0,0,0,0,0,0,0,1600240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7330,0,0,0,0,0,0,0,0,0,0,0,0,0,1
