"","Chaetothyriales","Malasseziales","Pucciniales","Helotiales","Verrucariales","Corticiales","Hymenochaetales","Sporidiobolales","Onygenales","Pneumocystidales","Dothideales","Ustilaginales","Xylariales","Eurotiales","Trichosporonales","Mucorales","Microascales","Saccharomycetales","Glomerellales","Georgefischeriales","Pleosporales","Entylomatales","Pezizales","Botryosphaeriales","Sordariales","Hypocreales","Tremellales","Polyporales","Gloeophyllales","Russulales","Agaricales","diversity"
"F0012",0,0,0,0,0,0,0,0,0,0,0,0,0,133620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0013",0,22413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0014",0,0,0,0,0,0,0,0,0,0,0,0,0,5713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0019",0,36057,0,0,0,0,0,0,0,0,0,0,0,6396,0,0,0,0,0,0,0,0,0,0,0,18298,0,0,0,0,0,3
"F0020",0,41054,0,0,0,0,0,0,0,0,0,0,0,27954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0021",0,20376,0,0,0,0,0,1374,0,0,0,0,0,36182,0,0,0,0,0,0,0,0,0,0,0,842,0,0,0,0,0,4
"F0023",0,0,0,0,0,0,0,728,0,0,0,0,0,0,0,0,0,1743,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56137,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16517,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0003",0,14209,0,0,0,0,0,36659,0,0,0,0,0,0,0,0,0,80360,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0030",0,0,0,0,0,0,0,28206,0,0,0,0,0,0,0,0,0,65019,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,0,0,0,0,0,0,0,0,0,0,1
"F0034",0,0,0,0,0,0,0,0,0,0,0,0,0,6533,0,0,0,0,0,0,12633,0,0,0,0,0,0,0,0,0,0,2
"F0035",0,7938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63382,0,0,0,0,0,0,0,16057,3
"F0004",0,0,0,0,0,0,0,0,0,0,0,0,0,3059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0039",0,2070,0,0,0,0,0,0,0,0,5954,0,18608,0,0,0,0,3488,6470,0,69667,0,0,0,0,0,0,10658,0,0,0,7
"F0041",0,0,0,0,0,0,0,0,0,0,0,7694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11630,0,0,0,0,2
"F0042",0,9499,0,0,0,0,0,15428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3671,7375,4
"F0044",0,0,0,0,0,0,0,0,0,0,0,0,0,69330,0,0,0,0,0,0,0,0,0,0,0,17693,0,0,0,0,0,2
"F0045",0,13351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10350,0,0,0,0,0,0,0,0,0,0,2
"F0046",0,18188,0,0,0,0,0,0,0,0,0,0,0,0,16917,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,3
"F0005",0,0,0,0,0,0,0,0,0,0,0,0,0,16524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1326,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104076,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0006",0,16280,0,0,0,0,0,0,0,0,0,0,0,105375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17313,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0061",0,7197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0068",0,0,0,0,0,0,0,0,0,0,23813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11402,0,0,0,0,0,2
"F0071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9886,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189660,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2684,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17986,0,0,0,0,0,0,0,1602,0,0,0,0,0,2
"F0078",0,5742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126254,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19685,0,0,0,0,5960,0,0,0,0,0,2
"F0110",0,0,0,0,0,0,0,0,0,0,0,0,0,14901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0114",0,0,0,0,0,0,0,0,0,0,0,0,0,10248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0118",0,9764,0,0,0,0,0,0,0,0,0,0,0,1278,0,0,0,6138,0,0,10098,0,0,0,0,0,0,0,0,0,0,4
"F0123",0,0,0,0,0,0,0,9790,0,0,0,0,0,6902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0125",0,21123,0,0,0,0,0,0,0,0,0,0,0,6595,0,0,0,0,0,0,0,0,0,0,0,2710,0,0,0,0,0,3
"F0127",0,10685,0,0,0,0,0,8068,0,0,0,0,0,1375,0,0,0,114712,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"F0129",0,5097,0,0,0,0,0,0,0,0,0,0,0,32374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0132",0,18693,0,0,0,0,0,6574,0,0,0,0,0,2882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
