"","Mucoromycota","Basidiomycota","Ascomycota","diversity"
"F0012",0,0,133620,1
"F0013",0,36686,22561,2
"F0014",0,5704,49730,2
"F0015",0,701,0,1
"F0017",0,14098,0,1
"F0019",0,52484,64886,2
"F0020",0,41054,79853,2
"F0021",0,38938,68257,2
"F0003",0,50868,80360,2
"F0004",0,0,3059,1
"F0005",0,0,16524,1
"F0006",0,16280,105375,2
"F0008",0,0,43732,1
"F0117",0,0,50409,1
"F0118",0,22149,17514,2
"F0120",0,6056,15464,2
"F0122",0,56650,91079,2
"F0123",0,9790,6902,2
"F0124",0,1634,0,1
"F0125",0,21123,16891,2
"F0126",0,26210,13103,2
"F0127",0,18753,116087,2
"F0128",0,1676,68042,2
"F0129",0,5097,32374,2
"F0131",0,4616,42058,2
"F0132",0,25267,2882,2
"F0133",0,26946,48965,2
"F0134",0,119250,45220,2
"F0135",0,20765,24784,2
"F0136",0,29782,54112,2
"F0138",0,0,71273,1
"F0139",0,9232,32320,2
"F0140",0,4650,6998,2
"F0141",0,0,11241,1
"F0142",0,0,27906,1
"F0145",0,4080,0,1
"F0146",0,16165,10234,2
"F0147",0,4990,91340,2
"F0148",0,1758,1030,2
"F0151",0,12457,69615,2
"F0153",0,0,1446120,1
"F0154",0,0,1600240,1
"F0155",0,0,7330,1
"F0157",0,8317,10950,2
"F0159",0,27770,108740,2
"F0161",0,2939,36657,2
"F0162",0,0,1037,1
"F0163",0,0,5390,1
"F0166",0,11429,0,1
"F0167",0,6203,97841,2
"F0168",0,19718,1304,2
"F0169",0,6312,0,1
"F0170",0,9625,29653,2
"F0177",0,110490,30270,2
"F0178",0,507570,28970,2
"F0179",0,16456,6755,2
"F0182",0,12022,5286,2
"F0183",0,8445,33340,2
"F0184",0,7263,0,1
"F0185",0,36295,15830,2
"F0186",0,12665,0,1
"F0316",0,0,10456,1
"F0318",0,0,130815,1
"F0320",0,3857,0,1
"F0321",0,7730,3620,2
"F0323",0,9750,0,1
"F0324",0,16447,4535,2
"F0332",0,18091,215304,2
"F0333",0,0,4542,1
"F0334",0,61540,334345,2
"F0336",0,0,893,1
"F0339",0,0,2791650,1
"F0340",0,0,65316,1
"F0341",0,0,2193190,1
"F0344",0,34240,2193130,2
"F0345",0,0,477125,1
"F0346",0,0,4340,1
"F0348",0,0,693315,1
"F0351",0,10200,436385,2
"F0352",0,0,2408640,1
"F0353",0,0,32795,1
"F0356",0,37010,2215410,2
"F0357",26545,0,496920,2
"F0359",0,66190,541105,2
"F0360",0,14520,4230720,2
"F0368",0,79870,349890,2
"F0369",0,1456,50753,2
"F0377",0,0,478290,1
"F0212",0,5348,0,1
"F0213",0,20122,17487,2
"F0215",0,13965,0,1
"F0216",0,54133,32362,2
"F0218",0,0,4003,1
"F0219",0,17705,0,1
"F0220",0,5376,0,1
"F0221",0,42905,153825,2
"F0222",0,15232,36075,2
"F0228",0,3198,0,1
"F0230",45050,362810,85240,3
"F0232",0,18653,10342,2
"F0233",0,0,4602,1
"F0235",0,60033,54071,2
"F0236",0,69390,220365,2
"F0237",0,0,1020,1
"F0238",0,26147,30715,2
"F0240",0,11584,42440,2
"F0243",0,11500,31891,2
"F0248",0,51064,61594,2
"F0249",0,19541,10003,2
"F0258",0,17125,1342,2
"F0259",0,11566,39435,2
"F0264",0,0,2011,1
"F0266",0,0,16353,1
"F0267",0,0,17566,1
"F0269",0,0,8272,1
"F0273",0,0,2606,1
"F0278",0,6578,4539,2
"F0279",0,7096,81867,2
"F0489",0,78014,12280,2
"F0494",0,39871,18417,2
"F0496",0,1687,18508,2
"F0497",0,54588,147334,2
"F0500",0,44159,30248,2
"F0501",0,0,14644,1
"F0506",0,28185,35045,2
"F0507",0,22073,29155,2
"F0510",0,20660,1619860,2
"F0513",0,0,18736,1
"F0478",0,10743,6126,2
"F0514",0,53094,27762,2
"F0515",0,32782,40665,2
"F0516",0,110030,77950,2
"F0517",0,205570,41490,2
"F0519",0,17889,0,1
"F0522",0,32880,939620,2
"F0479",0,43344,129273,2
"F0525",0,38400,165945,2
"F0482",0,0,24096,1
"F0483",0,36599,20531,2
"F0580",0,8841,45148,2
"F0581",0,197440,82775,2
"F0582",0,0,4826,1
"F0586",0,0,1142600,1
"F0826",0,246160,414620,2
"F0827",0,76580,981220,2
"F0829",0,252670,70240,2
"F0830",0,22879,0,1
"F0832",0,0,1252,1
"F0833",0,10249,0,1
"F0836",0,63460,136495,2
"F0837",0,0,1259,1
"F0839",0,14667,37995,2
"F0840",0,0,1447960,1
"F0841",0,206175,0,1
"F0845",0,0,220470,1
"F0848",0,0,364665,1
"F0850",0,196585,48080,2
"F0851",0,118070,0,1
"F0854",0,22049,57407,2
"F0856",0,0,68702,1
"F0858",0,1618,0,1
"F0574",0,5300,376190,2
"F0575",0,23980,1725400,2
"F0576",0,9180,102934,2
"F0634",0,48560,164130,2
"F0635",0,0,13462,1
"F0637",0,14611,9553,2
"F0638",0,25649,10017,2
"F0640",0,0,7293,1
"F0641",0,0,70588,1
"F0642",0,37780,92090,2
"F0643",0,5871,7566,2
"F0644",0,66320,139345,2
"F0645",0,48355,29955,2
"F0646",0,14484,162864,2
"F0647",0,29216,35843,2
"F0648",0,6943,16937,2
"F0650",0,17889,98289,2
"F0651",0,0,150790,1
"F0652",0,0,1037,1
"F0653",0,2523,0,1
"F0656",0,11923,0,1
"F0658",0,16097,17642,2
"F0660",0,15875,53920,2
"F0661",0,8063,1831,2
"F0662",0,29746,23288,2
"F0665",0,31170,639700,2
"F0666",0,101370,62495,2
"F0868",0,17256,7396,2
"F0870",0,113270,167855,2
"F0871",0,109745,100395,2
"F0872",0,149025,194625,2
"F0874",0,88535,155345,2
"F0875",0,53862,75607,2
"F0876",0,87110,444760,2
"F0877",0,19200,21751,2
"F0860",0,106590,506070,2
"F0878",0,63280,215255,2
"F0879",0,36123,74303,2
"F0880",0,56000,144215,2
"F0881",0,19185,8999,2
"F0883",0,29574,20743,2
"F0884",0,11754,0,1
"F0885",0,45356,37217,2
"F0886",0,176460,179300,2
"F0887",0,15463,17992,2
"F0861",0,0,666690,1
"F0862",0,65230,801050,2
"F0863",0,26830,1114740,2
"F0865",0,136470,138475,2
"F0866",0,160020,207240,2
"F0867",0,4390,35083,2
"F1219",0,1109730,56240,2
"F1076",0,138920,17820,2
"F1077",0,0,29752,1
"F1078",0,13263,29275,2
"F1079",0,33178,150517,2
"F1081",0,0,905480,1
"F1082",0,22447,30868,2
"F1083",0,0,885020,1
"F1551",0,0,462920,1
"F1552",0,0,148250,1
"F1553",0,9250,40411,2
"F1554",0,22490,129130,2
"F1555",0,39795,62925,2
"F1556",0,8799,8721,2
"F1557",0,193100,69120,2
"F1558",0,0,66900,1
"F1560",0,9926,10180,2
"F1561",0,11438,15602,2
"F1563",0,63047,122546,2
"F1564",8475,30335,39205,3
"F1565",0,31580,111390,2
"F1566",0,11211,26458,2
"F1573",0,102795,208605,2
"F1574",0,37205,177185,2
"F1575",0,34060,46930,2
"F1576",0,16897,37154,2
"F1577",0,0,8406,1
"F1578",0,33726,14570,2
"F1579",0,46470,43930,2
"F1580",0,135760,50215,2
"F1581",0,132915,183500,2
"F1582",0,1603,24671,2
"F1583",0,14226,15797,2
"F1585",0,54740,0,1
"F1586",0,15544,25384,2
"F1587",0,68590,50065,2
"F1588",0,16193,64077,2
"F1589",0,15087,31799,2
"F1605",0,7118,41378,2
"F1606",0,6688,0,1
"F1607",0,8713,16290,2
"F1608",0,15500,11788,2
"F1609",0,62080,66545,2
"F1610",0,15887,1947,2
"F1612",0,17559,81721,2
"F1613",0,89200,11905,2
"F1615",0,0,194140,1
"F1616",0,32750,83980,2
"F1617",0,22185,59750,2
"F1618",0,90580,33170,2
"F1619",0,0,2836,1
"F1620",0,21414,0,1
"F1622",0,5055,12801,2
"F1623",0,98180,0,1
"F1624",0,30187,24385,2
"F1625",0,0,250480,1
"F1626",0,24489,18570,2
"F1371",0,0,67888,1
"F1380",0,0,212723,1
"F1383",0,2359,112593,2
"F1384",0,48900,426950,2
"F1387",0,59375,176885,2
"F1393",0,4064,0,1
"F1394",0,17058,7842,2
"F1397",0,0,48548,1
"F1404",0,0,7335,1
"F1413",0,0,11658,1
"F1414",0,10347,3702,2
"F1415",0,27650,70215,2
"F1488",0,0,3865,1
"F1495",0,0,3167,1
"F1499",0,0,474870,1
"F1292",0,0,2858,1
"F1293",0,241300,0,1
"F1306",0,9607,66228,2
"F1307",0,14211,2163,2
"F1309",0,0,87200,1
"F1312",0,67900,42315,2
"F1313",0,50916,40957,2
"F1314",0,4314,7919,2
"F1316",0,0,3422,1
"F1318",0,15878,409136,2
"F1319",0,0,2061,1
"F1321",0,3385,0,1
"F1322",0,16523,0,1
"F1327",0,9601,0,1
"F1336",0,14583,20469,2
"F1726",0,0,3849,1
"F1727",0,15881,29853,2
"F1730",0,5145,0,1
"F1734",0,12176,0,1
"F1735",0,0,20128,1
"F1848",0,60864,22924,2
"F1858",0,15631,682663,2
"F1861",0,4593,73897,2
"F1863",0,48353,67714,2
"F1868",0,4551,0,1
"F1871",0,11968,10093,2
"F1872",0,20785,0,1
"F1873",0,7931,94340,2
"F1874",0,18514,2928,2
"F1724",0,0,74012,1
