"","Mucoromycota","Basidiomycota","Ascomycota","diversity"
"F0023",0,728,1743,2
"F0026",0,34267,56137,2
"F0027",0,0,16517,1
"F0030",0,28206,65019,2
"F0031",0,0,894,1
"F0034",0,0,19166,1
"F0035",0,23995,89271,2
"F0039",0,28247,111109,2
"F0041",0,52398,0,1
"F0042",0,35973,98539,2
"F0044",0,0,87023,1
"F0103",0,10586,2839,2
"F0105",0,30748,20463,2
"F0107",0,4758,0,1
"F0108",0,0,1314,1
"F0109",0,0,25645,1
"F0110",0,0,23356,1
"F0111",0,31590,272510,2
"F0112",0,13608,21433,2
"F0114",0,0,10248,1
"F0115",0,0,1630650,1
"F0291",0,28997,0,1
"F0292",0,17786,0,1
"F0295",0,18222,0,1
"F0299",0,43285,0,1
"F0300",0,0,167175,1
"F0301",0,17251,0,1
"F0302",0,13064,0,1
"F0307",0,0,27432,1
"F0310",0,23754,0,1
"F0313",0,0,27261,1
"F0315",0,0,2723,1
"F0362",0,0,1517,1
"F0365",0,27013,0,1
"F0371",0,0,22010,1
"F0374",0,0,2448920,1
"F0376",0,0,134280,1
"F0423",0,15734,4521,2
"F0424",0,6884,0,1
"F0427",0,54487,1208,2
"F0429",0,0,17381,1
"F0430",0,26749,10288,2
"F0432",0,0,12564,1
"F0435",0,0,514530,1
"F0436",0,274960,26540,2
"F0438",0,267390,147270,2
"F0439",0,0,52432,1
"F0441",0,0,77083,1
"F0443",0,112120,37925,2
"F0444",0,13144,0,1
"F0445",0,33331,0,1
"F0446",0,14803,0,1
"F0449",0,14150,38840,2
"F0454",0,59220,203590,2
"F0458",0,3959,0,1
"F0526",0,0,14943,1
"F0527",0,5368,37941,2
"F0528",0,8377,1543,2
"F0529",0,0,6680,1
"F0530",0,11829,0,1
"F0531",0,15257,0,1
"F0532",0,3948,22382,2
"F0533",0,12905,0,1
"F0534",0,21558,0,1
"F0535",0,10623,35701,2
"F0538",0,15261,0,1
"F0541",0,0,43269,1
"F0545",0,3303,14586,2
"F0546",0,52240,69020,2
"F0548",0,0,25992,1
"F0549",0,12064,0,1
"F0550",0,50210,108020,2
"F0552",0,8567,0,1
"F0554",0,29372,0,1
"F0555",0,0,7501,1
"F0557",0,6838,2972,2
"F0560",0,0,15673,1
"F0563",0,0,28161,1
"F0566",0,5328,28055,2
"F0567",0,1444,8557,2
"F0568",0,2312,2566,2
"F0569",0,0,31708,1
"F0767",0,4820,0,1
"F0770",0,64815,10010,2
"F0777",0,8626,22919,2
"F0781",0,0,2264,1
"F0786",0,26890,0,1
"F0789",0,24346,0,1
"F0790",0,1037300,56380,2
"F0794",0,2824220,902140,2
"F0795",0,37755,95640,2
"F0687",0,0,124743,1
"F0688",0,0,39472,1
"F0689",0,0,82379,1
"F0697",0,109880,3023720,2
"F0698",0,0,340735,1
"F0699",0,125845,0,1
"F0701",0,4096360,0,1
"F0703",0,0,30825,1
"F0705",0,0,29039,1
"F0708",0,1214700,2308320,2
"F0711",0,0,17315,1
"F0716",0,76290,408140,2
"F0721",0,20710,732040,2
"F0726",0,0,26727,1
"F0727",0,0,140744,1
"F0728",0,76530,579185,2
"F0729",0,0,41422,1
"F0730",0,0,88761,1
"F0733",0,0,84193,1
"F0735",0,0,20223,1
"F0736",0,0,2650,1
"F0737",0,0,22502,1
"F0738",0,0,70639,1
"F0739",0,107660,91120,2
"F0740",0,12393,0,1
"F0741",0,0,571020,1
"F0748",0,47040,192950,2
"F0749",0,63296,155754,2
"F0750",0,0,118668,1
"F0753",0,0,23061,1
"F0755",0,257320,0,1
"F0760",0,2085,0,1
"F0602",0,83122,20318,2
"F0604",0,3706,14338,2
"F0605",0,14523,9758,2
"F0607",0,16063,47158,2
"F0608",0,31828,23356,2
"F0609",0,30210,155202,2
"F0612",0,21861,60392,2
"F0613",0,15282,114506,2
"F0615",0,0,28617,1
"F0616",0,33530,530955,2
"F0619",0,61656,0,1
"F0621",0,23301,8564,2
"F0622",0,14606,34554,2
"F0623",0,9311,24213,2
"F0624",0,0,4991,1
"F0625",0,6463,0,1
"F0629",0,0,29117,1
"F0630",0,9628,7258,2
"F0889",0,0,36721,1
"F0890",0,1360,96184,2
"F0892",0,0,30454,1
"F0894",0,2649,24530,2
"F0895",0,3712,0,1
"F0896",0,0,13342,1
"F0897",0,7547,0,1
"F0898",0,0,27492,1
"F0901",0,0,40402,1
"F0902",0,7163,0,1
"F0903",0,2601,0,1
"F0904",0,0,17665,1
"F0907",0,4818,0,1
"F0909",0,0,15191,1
"F0911",0,11631,8186,2
"F0912",0,0,18581,1
"F0913",0,0,2258,1
"F0915",0,10184,45337,2
"F0919",0,16729,0,1
"F0920",0,0,6917,1
"F0922",0,31595,153225,2
"F0923",0,12553,0,1
"F0928",0,10225,7683,2
"F0930",0,0,18368,1
"F0931",0,0,18124,1
"F0933",0,4370,39863,2
"F0934",0,2108,5321,2
"F0935",0,40640,210620,2
"F0936",0,5643,0,1
"F0937",0,0,14384,1
"F0938",0,8040,0,1
"F0939",0,15615,20554,2
"F0940",0,3622,27189,2
"F0941",0,5268,29399,2
"F0942",0,25262,8801,2
"F0944",0,18884,4533,2
"F0945",0,0,19389,1
"F0946",0,21635,42557,2
"F0947",0,20865,0,1
"F0948",0,0,16583,1
"F0950",0,0,13381,1
"F0951",0,3650,2148,2
"F0952",0,25772,30396,2
"F0953",0,0,25375,1
"F1176",0,0,18292,1
"F1182",0,0,31951,1
"F1183",0,42496,6242,2
"F1186",0,1370470,85860,2
"F1193",0,668790,0,1
"F1194",0,0,45723,1
"F1197",0,10452,0,1
"F1199",0,0,9356,1
"F1201",0,0,1595,1
"F1203",0,0,57297,1
"F1208",0,0,108957,1
"F1210",0,52196,70697,2
"F1212",0,0,10166,1
"F1215",0,33790,0,1
"F1085",0,0,33367,1
"F1088",0,0,139622,1
"F1089",0,0,67900,1
"F1092",0,0,64257,1
"F1093",0,0,21292,1
"F1094",0,26515,0,1
"F1120",0,33153,4473,2
"F1122",0,91891,0,1
"F1123",0,38800,0,1
"F1127",0,126194,0,1
"F1129",0,12607,47111,2
"F1136",0,27244,0,1
"F1137",0,0,16010,1
"F1138",0,68565,94624,2
"F1140",0,0,76918,1
"F1142",0,32562,0,1
"F1143",0,14189,0,1
"F1144",0,4398,0,1
"F1145",0,108095,0,1
"F1342",0,66235,133844,2
"F1361",0,0,18245,1
"F1427",0,0,6145,1
"F1437",0,0,1229110,1
"F1441",0,23150,0,1
"F1442",0,0,6374,1
"F1451",0,39220,71925,2
"F1470",0,2825,15067,2
"F1479",0,0,10071,1
"F1483",0,0,20539,1
"F1484",0,11027,1425,2
"F1494",0,0,5617,1
"F1523",0,23899,80117,2
"F1526",0,4532,22093,2
"F1527",0,26513,16974,2
"F1329",0,29520,46737,2
"F1338",0,12791,0,1
"F1340",0,14371,0,1
"F1638",0,80542,153123,2
"F1640",0,14633,142405,2
"F1641",0,12300,79962,2
"F1642",0,26333,39270,2
"F1644",0,2372,21882,2
"F1819",0,10468,83528,2
"F1820",0,0,10669,1
"F1821",0,0,30343,1
"F1822",0,81654,131698,2
"F1824",0,0,24321,1
"F1628",0,46144,62884,2
"F1646",0,29744,121493,2
"F1826",0,38637,0,1
"F1827",0,100478,0,1
"F1829",0,9241,0,1
"F1830",0,47646,32917,2
"F1647",0,4946,11521,2
"F1654",0,65353,68709,2
"F1630",0,6128,194430,2
"F1631",0,42680,0,1
"F1632",0,24376,101494,2
