"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13722.58cfa832e4b0c9d6adf6d2f2",0,10,0,0,0,0,9,0,5,0,0,0,4519,0,0,2,20,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d330",0,3,0,0,0,0,8,0,3,0,0,0,3242,0,0,2,10,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2c8",0,2,0,0,0,0,6,0,4,0,0,0,2538,0,0,4,17,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d16c",2,7,1,0,0,0,6,0,10,0,0,0,8071,0,1,3,10,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d526",0,1,0,0,0,0,3,0,4,0,0,0,2157,0,0,0,11,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d151",0,2,0,0,0,0,10,0,5,0,0,0,1622,0,0,0,19,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d28e",1,5,0,0,0,0,6,0,8,0,0,0,8430,0,2,2,15,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d36a",0,6,1,0,0,0,9,0,13,0,0,0,7537,0,0,1,26,0,0,0,1
"13722.58cfa832e4b0c9d6adf6d4ff",2,4,1,0,0,0,12,0,10,0,0,0,4258,0,2,0,25,0,0,0,1
"13722.58cfa832e4b0c9d6adf6d3b0",1,7,0,0,0,0,10,0,8,0,0,0,6396,0,1,1,18,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d166",1,1,2,0,0,0,2,0,12,0,2,2,6912,0,0,2,4,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d1e0",1,2,0,0,0,0,21,0,3,0,0,0,4909,0,0,0,25,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2b0",2,7,0,0,0,0,19,0,8,0,1,0,8905,0,2,2,12,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2b4",0,2,0,0,0,0,2,0,3,0,0,0,1831,0,0,0,5,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2ba",4,2,0,0,0,0,0,0,3,0,0,0,4375,0,0,1,1,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2c0",4,14,1,0,0,0,22,0,10,0,0,0,7586,0,0,0,8,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2ca",0,9,0,0,0,0,12,0,10,0,0,0,6847,0,1,2,9,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2d2",0,0,0,0,0,0,6,0,3,0,0,0,3921,0,0,2,3,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2dc",1,5,0,0,0,0,16,0,9,0,0,0,6646,0,0,1,37,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2de",0,16,2,0,0,0,5,0,5,0,0,0,3757,0,0,0,6,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2ec",2,10,1,0,0,0,10,0,17,0,0,0,16010,1,2,1,8,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2f0",0,2,0,0,0,0,4,0,6,0,0,0,3542,0,0,2,7,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2f4",0,2,0,0,0,0,2,0,8,0,0,0,2892,0,0,2,4,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2f7",2,11,1,0,0,0,16,0,11,0,0,0,10230,0,1,2,9,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d307",2,4,1,0,0,0,3,0,9,0,0,0,8214,0,2,0,6,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d30f",0,0,0,0,0,0,0,0,3,0,0,0,2736,0,0,0,0,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d31b",2,6,1,0,0,0,8,0,13,0,0,0,8926,0,1,4,13,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d326",2,3,0,0,0,0,24,0,8,0,0,0,6157,0,0,2,29,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d328",0,2,0,0,0,0,3,0,8,0,2,0,3705,0,1,0,4,0,0,0,1
"13722.58cfa832e4b0c9d6adf6d32c",0,6,1,0,0,0,9,0,11,0,0,0,5935,0,1,2,19,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d33c",0,4,0,0,0,0,4,0,4,0,0,0,6692,0,0,2,14,0,0,0,0
