"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13722.58cfa830e4b0c9d6adf6bf00",5,397,0,0,1,0,88787,0,3,0,0,0,2780,0,0,1,8,0,0,0,0
"13722.58cfa830e4b0c9d6adf6befe",23,1282,1,0,2,0,284073,0,10,0,3,0,6127,1,1,1,13,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c294",10,660,0,0,1,0,142075,0,6,0,0,0,2774,1,0,0,12,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c480",63,243,2,0,0,0,51523,0,3,0,0,0,2070,0,0,1,11,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c8d0",0,4,0,0,0,0,16,0,4,0,0,0,4864,0,0,0,15,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c7b4",22,1036,1,0,1,0,239620,1,9,0,1,0,9186,0,3,2,17,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c77c",4,317,1,0,1,0,71182,0,8,0,0,0,7235,0,0,1,14,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b909",1,10,0,0,0,0,28,0,1,0,0,0,3046,0,0,0,8,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6ba1a",16,819,1,0,1,0,184554,1,4,0,0,0,2471,2,0,1,12,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bcc0",0,3,0,0,0,0,8,0,4,0,0,0,1736,0,0,2,12,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf02",17,1037,0,0,1,0,234280,0,4,0,0,0,2351,1,0,2,12,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bef0",11,713,0,0,0,0,158731,0,4,0,1,0,2416,1,0,2,15,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c04e",23,1322,1,0,1,0,291705,0,5,0,1,0,3958,1,0,0,14,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c056",3,26,2,0,0,0,18,0,6,1,0,0,7873,0,1,1,7,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c274",0,3,0,0,0,0,6,0,5,0,0,0,5714,0,0,2,9,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c414",18,682,0,0,1,0,153421,0,4,0,0,0,3391,1,0,1,11,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c41c",21,1059,0,0,1,0,238011,0,16,0,2,0,4511,52,1,2,17,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c44e",28,1445,3,0,1,1,317623,0,13,0,2,0,5044,1,1,1,14,0,0,1,0
"13722.58cfa831e4b0c9d6adf6c42e",12,608,1,0,1,0,140380,0,8,0,1,0,5961,0,2,1,22,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c442",18,1078,0,0,1,0,241689,0,5,0,0,0,1903,0,0,0,9,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c483",7,338,2,0,1,0,76940,0,13,0,0,0,7297,0,1,0,23,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c736",0,1,0,0,0,0,16,0,3,0,0,0,3572,0,0,2,15,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c2d1",973,1316,13,14,2,0,227387,0,210,14,3,1,8324,2,21,6,21,2,0,1,5
"13722.58cfa831e4b0c9d6adf6c862",1,1,0,0,0,0,7,0,4,0,0,0,2770,0,0,2,15,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b92c",7,477,0,0,1,0,103953,0,2,0,0,0,2524,0,0,1,11,0,0,0,0
"13722.58cfa830e4b0c9d6adf6baa0",23,1151,1,0,2,0,260124,0,9,0,2,0,3598,2,0,1,20,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bbbe",67,899,0,0,1,0,181855,0,25,0,1,0,2921,1,0,0,15,0,0,12,0
"13722.58cfa830e4b0c9d6adf6bcba",11,432,0,0,1,0,94952,0,6,0,0,0,3270,1,0,2,13,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bcbd",18,1031,2,0,1,0,239478,1,10,0,3,0,4573,1,0,2,16,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bdf1",16,733,0,0,1,0,160844,0,12,0,2,0,6768,1,0,0,16,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bdf8",20,1067,1,0,1,0,239635,0,6,0,2,0,3544,1,0,0,19,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf0a",13,505,1,0,0,0,114984,0,8,0,2,0,6192,1,0,3,15,0,0,1,0
"13722.58cfa830e4b0c9d6adf6bf06",21,1034,3,0,1,0,234507,0,10,0,1,0,7444,3,1,1,16,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c196",8,396,0,0,1,0,83792,0,8,0,0,0,3076,0,0,1,24,0,0,1,0
"13722.58cfa831e4b0c9d6adf6c56f",18,798,0,0,1,0,179065,0,6,0,0,0,1753,1,0,0,12,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c4a8",17,943,0,0,1,0,210473,0,16,0,8,0,4603,1,1,4,18,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c416",25,1140,2,0,1,0,253379,0,13,0,0,0,7493,1,1,1,26,0,0,0,0
