"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13722.58cfa830e4b0c9d6adf6c1cf",0,8,0,0,0,0,11,0,13,0,0,0,6823,0,0,3,22,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c904",6,6,0,0,0,0,8,0,9,0,0,0,9370,0,0,1,17,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c97f",2,5,0,0,0,0,4,0,12,0,0,2,7011,0,1,0,12,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c99d",1,6,2,0,0,0,6,0,11,0,0,0,9494,0,1,1,19,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c9a3",3,45,1,0,0,0,6,0,9,0,0,0,7480,0,66,2,16,0,0,0,1
"13722.58cfa831e4b0c9d6adf6c9a9",2,9,1,0,0,0,5,0,11,0,0,0,5964,0,1,1,20,0,0,1,0
"13722.58cfa831e4b0c9d6adf6c9ee",0,2,0,0,0,0,8,0,7,0,0,0,3575,0,0,1,20,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c9fb",2,8,1,0,0,0,7,0,11,0,0,0,5861,0,2,0,18,0,0,0,0
"13722.58cfa831e4b0c9d6adf6ca27",1,10,0,0,0,0,8,0,13,0,0,0,4697,0,1,2,29,0,0,1,0
"13722.58cfa831e4b0c9d6adf6ca5c",0,1,0,0,0,0,4,0,6,0,0,0,2844,0,0,0,12,0,0,0,0
"13722.58cfa831e4b0c9d6adf6ca6e",1,0,0,0,0,0,1,0,1,0,0,0,2871,0,0,3,5,0,0,0,0
"13722.58cfa831e4b0c9d6adf6ca82",0,1,0,0,0,0,1,0,2,0,0,0,2562,0,0,1,7,0,0,0,0
"13722.58cfa831e4b0c9d6adf6cde2",4,15,1,1,1,0,5,0,17,0,0,0,6325,0,1,3,25,0,0,0,0
"13722.58cfa832e4b0c9d6adf6ce2e",2,12,4,1,0,0,8,0,13,0,0,2,14871,0,2,4,20,0,0,0,0
"13722.58cfa832e4b0c9d6adf6ce73",0,2,0,0,0,0,2,0,5,0,0,0,3016,0,0,5,16,0,0,0,0
"13722.58cfa832e4b0c9d6adf6cf77",2,4,2,0,0,0,5,0,8,0,0,0,9168,0,1,3,12,0,0,0,0
"13722.58cfa832e4b0c9d6adf6cfff",1,4,0,0,0,0,6,0,9,0,0,0,6491,0,2,0,15,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d052",3,4,0,1,0,0,9,0,10,0,0,0,7032,0,2,1,21,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c212",2,8,2,0,0,0,9,0,10,1,0,0,7057,1,1,3,14,0,0,1,0
"13722.58cfa831e4b0c9d6adf6c964",1,5,0,0,0,0,5,0,9,0,0,0,5604,0,0,0,13,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c9ad",1,8,1,0,1,0,10,0,11,0,0,0,6663,0,2,3,20,0,0,0,0
