"","Saccotheciaceae","Eremomycetaceae","Mycosphaerellaceae","Teratosphaeriaceae","Fungi_Ascomycota_Dothideomycetes_other_other","Didymellaceae","Leptosphaeriaceae","Phaeosphaeriaceae","Pleosporaceae","Sympoventuriaceae","Cyphellophoraceae","Herpotrichiellaceae","Aspergillaceae","Thermoascaceae","Trichocomaceae","Ajellomycetaceae","Arthrodermataceae","Onygenaceae","Fungi_Ascomycota_Eurotiomycetes_Onygenales_other","Helotiaceae","Fungi_Ascomycota_Leotiomycetes_Helotiales_other","Sclerotiniaceae","Orbiliaceae","Fungi_Ascomycota_other_other_other","Pneumocystidaceae","Ascoideaceae","Debaryomycetaceae","Dipodascaceae","Metschnikowiaceae","Fungi_Ascomycota_Saccharomycetes_Saccharomycetales_other","Phaffomycetaceae","Pichiaceae","Saccharomycetaceae","Trichomonascaceae","Schizosaccharomycetaceae","Glomerellaceae","Plectosphaerellaceae","Clavicipitaceae","Cordycipitaceae","Hypocreaceae","Nectriaceae","Ophiocordycipitaceae","Pyriculariaceae","Microascaceae","Ophiostomataceae","Chaetomiaceae","Sordariaceae","Togniniaceae","Sporocadaceae","Xylonaceae","Agaricaceae","Psathyrellaceae","Schizophyllaceae","Coniophoraceae","Serpulaceae","Punctulariaceae","Gloeophyllaceae","Polyporaceae","Bondarzewiaceae","Stereaceae","Fungi_Basidiomycota_Exobasidiomycetes_Entylomatales_other","Tilletiariaceae","Fungi_Basidiomycota_Exobasidiomycetes_Microstromatales_other","Malasseziaceae","Sporidiobolaceae","Pucciniaceae","Cryptococcaceae","Cuniculitremaceae","Tremellaceae","Trichosporonaceae","Ustilaginaceae","Wallemiaceae","Nosematidae","Fungi_Microsporidia_other_other_other","Unikaryonidae","Glomeraceae","Phycomycetaceae","Rhizopodaceae"
"13722.58cfa830e4b0c9d6adf6bf00",0,0,1,0,0,0,0,4,0,0,0,1,3,0,393,0,0,0,0,0,0,0,0,1,0,0,80,1,15,1,14,11,88655,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2780,0,0,1,0,0,0,8,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6befe",0,0,1,2,0,0,0,18,2,0,0,3,2,0,1277,0,0,0,0,0,0,1,0,2,0,0,237,10,48,3,33,23,283690,29,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,6127,1,1,1,0,0,0,13,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c294",0,0,0,1,0,0,0,9,0,0,0,1,5,0,654,0,0,0,0,0,0,0,0,1,0,0,110,6,22,2,22,15,141882,16,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2774,1,0,0,0,0,0,12,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c480",58,0,0,0,0,0,1,4,0,0,0,1,4,0,238,0,0,0,0,0,0,2,0,0,0,0,55,1,9,1,12,6,51433,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2070,0,0,1,0,0,0,11,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c8d0",0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4864,0,0,0,0,0,0,15,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c7b4",0,0,0,1,0,0,1,15,5,0,0,2,6,0,1028,0,0,0,0,0,0,1,0,1,0,0,197,6,43,2,33,21,239290,28,1,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9186,0,3,1,1,0,0,17,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c77c",0,0,0,0,0,0,0,4,0,0,0,1,5,0,310,0,0,0,1,0,0,1,0,1,0,0,75,0,10,1,17,5,71066,8,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7235,0,0,1,0,0,0,14,0,0,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b909",0,0,0,0,0,0,1,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3046,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6ba1a",0,0,1,1,0,0,1,11,2,0,0,1,3,0,814,0,0,1,0,0,0,1,0,1,0,0,163,7,36,3,30,19,184274,22,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2471,2,0,1,0,0,0,12,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bcc0",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1736,0,0,2,0,0,0,12,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf02",0,0,1,2,0,0,1,13,0,0,0,2,2,0,1032,0,0,1,0,0,0,0,0,1,0,0,202,12,40,3,36,24,233938,25,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2351,1,0,2,0,0,0,12,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bef0",0,0,0,1,0,0,1,9,0,0,0,0,3,0,710,0,0,0,0,0,0,0,0,0,0,0,125,2,29,2,25,15,158515,18,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2416,1,0,2,0,0,0,15,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c04e",0,0,1,2,0,0,0,18,2,0,0,2,3,0,1317,0,0,0,0,0,0,1,0,1,0,0,245,18,58,3,43,29,291277,32,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3958,1,0,0,0,0,0,14,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c056",0,0,1,0,0,1,1,0,0,0,0,4,19,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,15,0,0,1,0,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7873,0,1,1,0,0,0,7,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c274",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5714,0,0,2,0,0,0,9,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c414",0,0,0,1,0,0,0,9,8,0,0,1,2,0,679,0,0,0,0,0,0,0,0,1,0,0,123,6,25,1,23,13,153213,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391,1,0,1,0,0,0,11,0,0,0,0,0,0,0
