"","Aureobasidium","Eremomyces","Ramularia","Sphaerulina","Baudoinia","Bonordeniella","Macroventuria","Leptosphaeria","Parastagonospora","Alternaria","Bipolaris","Pyrenophora","Verruconis","Cyphellophora","Capronia","Cladophialophora","Exophiala","Fonsecaea","Rhinocladiella","Aspergillus","Penicillium","Byssochlamys","Rasamsonia","Talaromyces","Blastomyces","Histoplasma","Arthroderma","Microsporum","Nannizzia","Trichophyton","Uncinocarpus","Coccidioides","Paracoccidioides","Glarea","Phialocephala","Botrytis","Sclerotinia","Arthrobotrys","Saitoella","Pneumocystis","Ascoidea","Babjeviella","Candida","Debaryomyces","Hyphopichia","Lodderomyces","Meyerozyma","Scheffersomyces","Spathaspora","Suhomyces","Yamadazyma","Yarrowia","Clavispora","Metschnikowia","Diutina","Cyberlindnera","Komagataella","Wickerhamomyces","Ogataea","Pichia","Eremothecium","Kazachstania","Kluyveromyces","Lachancea","Nakaseomyces","Naumovozyma","Saccharomyces","Tetrapisispora","Torulaspora","Vanderwaltozyma","Sugiyamaella","Schizosaccharomyces","Colletotrichum","Verticillium","Metarhizium","Cordyceps","Trichoderma","Fusarium","Purpureocillium","Pyricularia","Scedosporium","Sporothrix","Chaetomium","Podospora","Thermothelomyces","Neurospora","Sordaria","Phaeoacremonium","Pestalotiopsis","Xylona","Agaricus","Coprinopsis","Schizophyllum","Coniophora","Serpula","Punctularia","Gloeophyllum","Trametes","Heterobasidion","Stereum","Tilletiopsis","Tilletiaria","Pseudomicrostroma","Malassezia","Rhodotorula","Puccinia","Cryptococcus","Kwoniella","Kockovaella","Tremella","Cutaneotrichosporon","Trichosporon","Anthracocystis","Kalmanozyma","Moesziomyces","Pseudozyma","Sporisorium","Ustilago","Wallemia","Vittaforma","Mitosporidium","Encephalitozoon","Rhizophagus","Phycomyces","Rhizopus"
"13722.58cfa830e4b0c9d6adf6bf00",0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,3,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,48,0,10,3,3,2,1,0,1,15,0,1,1,0,13,6,5,13,74,88,65,58,194,88006,10,97,50,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2780,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6befe",0,0,0,1,2,0,0,0,18,2,0,0,0,0,0,1,2,0,0,2,0,0,0,1277,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,36,132,0,33,11,11,11,1,2,10,47,1,3,1,0,32,16,7,40,234,295,245,206,594,281535,36,345,160,29,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,6127,1,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c294",0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,0,5,0,0,0,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,56,0,15,5,5,6,0,1,6,22,0,2,1,0,21,10,5,20,118,145,110,110,310,140821,14,162,72,16,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2774,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c480",58,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,4,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18,25,0,6,2,2,2,0,0,1,9,0,1,2,0,10,4,2,7,44,56,43,33,108,51043,8,60,31,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2070,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c8d0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4864,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c7b4",0,0,0,0,1,0,0,1,15,4,1,0,0,0,0,0,2,0,0,6,0,0,0,1028,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,32,106,1,27,8,9,10,2,1,6,43,0,2,1,0,32,13,8,31,201,258,202,173,511,237434,36,304,140,28,1,0,0,0,0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9186,0,3,1,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c77c",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,4,1,0,0,310,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,14,36,0,10,4,4,4,2,1,0,10,0,1,0,0,17,3,2,9,65,87,62,60,163,70469,11,94,46,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7235,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b909",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3046,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6ba1a",0,0,0,1,1,0,0,1,11,2,0,0,0,0,0,0,1,0,0,3,0,0,0,814,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,28,89,0,20,6,8,9,2,1,7,36,0,3,1,0,29,14,5,28,157,186,162,130,401,182852,28,223,107,22,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2471,2,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bcc0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1736,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf02",0,0,0,1,2,0,0,1,13,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1032,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,31,110,0,29,9,11,8,3,1,12,39,1,3,2,0,34,16,8,35,193,255,198,166,499,232143,31,285,133,25,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2351,1,0,2,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bef0",0,0,0,0,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,70,0,16,7,5,6,1,1,2,29,0,2,1,0,24,10,5,23,136,154,121,120,346,157316,19,189,91,18,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2416,1,0,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c04e",0,0,0,1,2,0,0,0,18,2,0,0,0,0,0,0,2,0,0,3,0,0,0,1317,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,40,133,1,35,11,10,12,1,1,18,57,1,3,1,1,41,19,10,42,244,312,238,203,618,289068,34,349,169,32,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3958,1,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c056",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,2,0,19,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7873,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5714,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c414",0,0,0,0,1,0,0,0,9,8,0,0,0,0,0,0,1,0,0,2,0,0,0,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,67,0,16,7,7,5,1,0,6,25,0,1,1,0,22,8,5,22,124,151,117,108,327,152093,21,170,80,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391,1,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c41c",0,0,0,0,2,0,0,1,16,2,0,0,0,0,0,1,1,1,0,7,0,0,0,1047,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39,102,0,30,12,11,10,2,1,13,47,1,3,1,0,35,17,7,32,189,252,215,172,492,235850,31,284,137,26,0,0,0,0,0,0,12,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4511,52,1,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c44e",0,0,0,1,2,0,0,1,20,4,0,0,0,0,0,0,2,0,0,4,0,0,0,1439,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,47,152,1,40,11,14,14,3,1,15,61,1,4,1,0,39,20,10,41,244,322,261,226,654,314820,38,366,176,40,0,0,0,0,0,1,9,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5044,1,1,1,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,1,0,0
"13722.58cfa831e4b0c9d6adf6c42e",0,0,0,0,1,0,0,1,10,0,0,0,0,0,0,0,1,0,0,6,0,0,0,601,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,26,61,0,20,6,7,7,1,0,4,28,1,3,1,0,27,10,4,21,121,144,132,104,306,139053,17,175,82,19,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5961,0,2,1,0,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c442",0,0,0,0,2,0,0,1,15,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,33,111,1,28,8,9,8,2,2,10,41,0,2,1,0,31,16,8,35,198,252,198,162,508,239550,30,284,136,24,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1903,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c483",0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,1,1,0,0,5,1,0,0,330,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,11,41,0,11,3,3,4,1,0,4,18,0,1,0,0,18,5,2,10,62,77,62,53,164,76235,12,89,45,9,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7297,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c736",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3572,0,0,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c2d1",0,2,0,5,2,0,0,8,21,909,14,7,5,0,0,5,6,5,0,253,3,5,4,1010,5,5,0,0,0,2,0,4,9,0,0,5,8,14,2,0,1,0,41,114,2,36,10,9,10,1,1,5,52,1,5,1,0,31,15,14,32,184,247,204,164,463,225277,32,274,130,31,0,8,2,9,0,18,123,0,9,0,0,3,2,10,15,10,0,1,14,0,0,0,0,0,1,0,0,0,2,1,0,0,8324,2,21,2,0,1,3,0,0,1,0,17,0,2,1,2,0,0,0,1,2,3
"13722.58cfa831e4b0c9d6adf6c862",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2770,0,0,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b92c",0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,2,0,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,50,0,10,3,4,5,0,0,2,17,0,1,96,0,17,6,3,14,88,105,86,74,222,102929,13,121,54,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6baa0",0,0,0,0,1,0,0,1,17,4,0,0,0,0,0,0,1,0,0,8,0,0,0,1141,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,44,126,2,28,9,10,13,1,2,10,48,1,4,3,0,43,20,12,42,225,260,220,189,576,257712,34,311,148,30,0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3598,2,0,1,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bbbe",0,0,0,0,1,0,0,53,9,4,0,0,0,0,0,0,2,0,0,68,0,0,0,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,84,1,20,6,7,8,1,1,4,36,0,6,36,0,22,10,6,25,149,169,155,132,389,180213,22,205,95,20,0,0,0,7,0,0,4,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2921,1,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,12,0,0
"13722.58cfa830e4b0c9d6adf6bcba",0,0,0,0,1,0,0,2,6,2,0,0,0,0,0,0,0,0,0,3,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,47,0,11,4,4,5,1,0,4,17,1,1,0,0,14,7,4,15,77,94,71,72,198,94112,11,107,51,9,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3270,1,0,2,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bcbd",0,0,0,0,1,1,0,1,15,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1027,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,30,112,0,27,10,10,8,2,1,6,43,0,3,1,1,33,13,7,33,189,242,201,165,493,237389,26,276,128,27,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4573,1,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bdf1",0,0,0,0,2,0,0,2,12,0,0,0,0,0,0,0,1,0,0,22,0,0,0,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,71,1,22,7,7,6,1,0,5,25,0,2,1,0,28,9,6,25,132,164,134,122,333,159387,22,196,92,18,0,1,0,0,0,0,8,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6768,1,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bdf8",0,0,0,0,1,0,0,2,15,2,0,0,0,0,0,0,1,0,0,6,0,0,0,1060,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,36,109,0,28,9,9,8,1,1,11,49,1,4,1,1,36,17,8,36,195,243,206,166,516,237462,27,288,141,25,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3544,1,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf0a",0,0,0,0,1,0,0,3,7,2,0,0,0,0,0,1,1,0,0,8,0,0,0,494,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,16,54,0,15,5,5,4,1,0,3,20,0,2,0,0,18,6,3,14,91,114,95,78,222,113980,14,148,64,12,0,0,0,0,0,0,4,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6192,1,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0
"13722.58cfa830e4b0c9d6adf6bf06",0,0,0,0,2,0,0,1,14,4,0,0,0,0,0,0,1,0,0,3,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,32,121,0,28,10,10,8,2,1,8,37,1,2,1,1,33,14,7,32,193,249,204,180,495,232361,28,289,131,28,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7444,3,1,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c196",0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,4,0,0,31,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,42,0,12,4,3,3,1,0,4,17,1,1,0,0,19,6,2,12,70,85,75,59,182,83010,10,101,49,10,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3076,0,0,1,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,1,0,0
"13722.58cfa831e4b0c9d6adf6c56f",0,0,0,0,2,0,0,2,12,2,0,0,0,0,0,0,1,0,0,3,0,0,0,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,86,0,23,8,9,8,2,1,5,31,0,2,3,0,21,12,6,22,147,174,142,129,381,177478,23,206,101,20,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1753,1,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c4a8",0,0,0,0,2,0,0,2,13,0,0,0,0,0,0,0,2,0,0,7,0,0,1,932,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,31,96,0,23,7,10,9,2,1,13,39,1,4,1,0,33,14,7,30,169,231,167,148,448,208570,25,254,118,22,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4603,1,1,4,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c416",0,0,0,0,1,0,0,3,16,4,1,0,0,0,0,0,2,0,0,11,0,0,0,1126,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,35,119,1,32,11,12,9,1,0,6,44,1,3,23,1,35,15,9,34,204,268,207,191,530,251079,32,295,152,29,0,0,0,0,0,0,9,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7493,1,1,1,0,0,0,0,0,0,0,24,0,2,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c7f4",0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,0,7,1,2,2,0,0,0,9,1,0,2,0,12,4,2,7,43,54,47,39,115,56473,7,68,33,7,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1715,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6cc42",0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,46,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,47,0,13,4,4,4,1,0,1,16,0,1,0,0,20,7,4,14,70,99,80,59,178,91327,13,112,51,12,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3453,1,0,3,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c824",0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,5,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,29,0,7,2,2,3,1,0,1,8,0,0,2,0,15,3,1,8,47,63,47,43,124,56819,6,66,31,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2902,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c80b",0,0,0,1,2,0,0,2,15,5,0,0,0,0,0,0,6,0,0,197,0,1,0,1011,1,1,0,0,0,1,0,2,1,0,0,1,1,1,1,0,0,1,37,101,1,32,11,13,9,2,1,8,39,0,3,6,0,30,14,8,31,186,248,198,170,482,223690,27,283,140,24,0,2,0,0,0,1,62,0,2,0,0,0,0,1,1,4,0,0,0,1,0,0,0,1,0,0,0,0,15,0,0,0,7367,1,3,2,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0
"13722.58cfa830e4b0c9d6adf6ba60",0,0,0,1,1,0,0,3,15,4,0,0,0,0,0,0,1,0,0,10,0,0,0,1057,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,37,110,0,30,10,10,10,1,1,8,38,1,3,4,0,43,16,6,36,194,245,207,173,497,239506,27,275,133,27,1,0,0,0,0,0,12,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10221,2,2,4,0,0,0,0,0,1,0,37,0,1,0,0,0,0,0,1,1,0
"13722.58cfa830e4b0c9d6adf6bb7b",0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6114,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bcb7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5142,0,2,2,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bee0",0,0,0,1,0,0,0,1,0,10,3,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8616,0,1,3,0,1,0,0,0,0,0,35,0,0,0,0,0,0,0,0,1,0
