"","Dothideales","Eremomycetales","Mycosphaerellales","Fungi_Ascomycota_Dothideomycetes_other","Pleosporales","Venturiales","Chaetothyriales","Eurotiales","Onygenales","Helotiales","Orbiliales","Fungi_Ascomycota_other_other","Pneumocystidales","Saccharomycetales","Schizosaccharomycetales","Glomerellales","Hypocreales","Magnaporthales","Microascales","Ophiostomatales","Sordariales","Togniniales","Xylariales","Xylonales","Agaricales","Boletales","Corticiales","Gloeophyllales","Polyporales","Russulales","Entylomatales","Georgefischeriales","Microstromatales","Malasseziales","Sporidiobolales","Pucciniales","Tremellales","Trichosporonales","Ustilaginales","Wallemiales","Fungi_Microsporidia_other_other","Glomerales","Mucorales"
"13722.58cfa830e4b0c9d6adf6bf00",0,0,1,0,4,0,1,396,0,0,0,1,0,88787,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2780,0,0,1,0,8,0,0,0,0
"13722.58cfa830e4b0c9d6adf6befe",0,0,3,0,20,0,3,1279,0,1,0,2,0,284073,0,0,9,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,6127,1,1,1,0,13,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c294",0,0,1,0,9,0,1,659,0,0,0,1,0,142075,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2774,1,0,0,0,12,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c480",58,0,0,0,5,0,1,242,0,2,0,0,0,51523,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2070,0,0,1,0,11,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c8d0",0,0,0,0,0,0,1,3,0,0,0,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4864,0,0,0,0,15,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c7b4",0,0,1,0,21,0,2,1034,0,1,0,1,0,239620,1,0,7,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,9186,0,3,2,0,17,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c77c",0,0,0,0,4,0,1,315,1,1,0,1,0,71182,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7235,0,0,1,0,14,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b909",0,0,0,0,1,0,0,10,0,0,0,0,0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3046,0,0,0,0,8,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6ba1a",0,0,2,0,14,0,1,817,1,1,0,1,0,184554,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2471,2,0,1,0,12,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bcc0",0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1736,0,0,2,0,12,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf02",0,0,3,0,14,0,2,1034,1,0,0,1,0,234280,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2351,1,0,2,0,12,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bef0",0,0,1,0,10,0,0,713,0,0,0,0,0,158731,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2416,1,0,2,0,15,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c04e",0,0,3,0,20,0,2,1320,0,1,0,1,0,291705,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3958,1,0,0,0,14,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c056",0,0,1,0,2,0,4,20,2,2,0,0,0,18,0,1,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,7873,0,1,1,0,7,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c274",0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5714,0,0,2,0,9,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c414",0,0,1,0,17,0,1,681,0,0,0,1,0,153421,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391,1,0,1,0,11,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c41c",0,0,2,0,19,0,3,1054,2,0,0,1,0,238011,0,0,12,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,4511,52,1,2,0,17,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c44e",0,0,3,0,25,0,2,1443,0,3,0,1,1,317623,0,0,10,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,5044,1,1,1,0,14,0,0,1,0
"13722.58cfa831e4b0c9d6adf6c42e",0,0,1,0,11,0,1,607,0,1,0,1,0,140380,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5961,0,2,1,0,22,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c442",0,0,2,0,16,0,2,1076,0,0,0,1,0,241689,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1903,0,0,0,0,9,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c483",0,0,2,0,5,0,2,336,0,2,0,1,0,76940,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7297,0,1,0,0,23,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c736",0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3572,0,0,2,0,15,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c2d1",0,2,7,0,959,5,16,1275,25,13,14,2,0,227387,0,10,150,9,0,0,40,0,1,14,0,0,1,0,0,2,1,0,0,8324,2,21,6,0,21,2,0,1,5
"13722.58cfa831e4b0c9d6adf6c862",0,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2770,0,0,2,0,15,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b92c",0,0,0,0,7,0,1,476,0,0,0,1,0,103953,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524,0,0,1,0,11,0,0,0,0
"13722.58cfa830e4b0c9d6adf6baa0",0,0,1,0,22,0,1,1149,1,1,0,2,0,260124,0,1,6,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3598,2,0,1,0,20,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bbbe",0,0,1,0,66,0,2,897,0,0,0,1,0,181855,0,0,11,13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2921,1,0,0,0,15,0,0,12,0
"13722.58cfa830e4b0c9d6adf6bcba",0,0,1,0,10,0,0,432,0,0,0,1,0,94952,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3270,1,0,2,0,13,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bcbd",0,0,1,1,16,0,1,1030,0,2,0,1,0,239478,1,0,8,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,4573,1,0,2,0,16,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bdf1",0,0,2,0,14,0,1,732,0,0,0,1,0,160844,0,1,8,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,6768,1,0,0,0,16,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bdf8",0,0,1,0,19,0,1,1066,0,1,0,1,0,239635,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3544,1,0,0,0,19,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf0a",0,0,1,0,12,0,2,502,1,1,0,0,0,114984,0,0,4,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,6192,1,0,3,0,15,0,0,1,0
"13722.58cfa830e4b0c9d6adf6bf06",0,0,2,0,19,0,1,1033,0,3,0,1,0,234507,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7444,3,1,1,0,16,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c196",0,0,1,0,7,0,4,392,0,0,0,1,0,83792,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3076,0,0,1,0,24,0,0,1,0
"13722.58cfa831e4b0c9d6adf6c56f",0,0,2,0,16,0,1,797,0,0,0,1,0,179065,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1753,1,0,0,0,12,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c4a8",0,0,2,0,15,0,2,940,1,0,0,1,0,210473,0,0,11,1,1,0,3,0,0,0,8,0,0,0,0,0,0,0,0,4603,1,1,4,0,18,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c416",0,0,1,0,24,0,2,1137,1,2,0,1,0,253379,0,0,9,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7493,1,1,1,0,26,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c7f4",0,0,0,0,5,0,0,251,0,0,0,0,0,56974,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1715,0,0,0,0,15,0,0,0,0
"13722.58cfa831e4b0c9d6adf6cc42",0,0,1,0,7,0,0,454,0,0,0,0,0,92152,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3453,1,0,3,0,19,0,0,0,0
