"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13722.58cfa832e4b0c9d6adf6d2f2",24,4541,0,0
"13722.58cfa832e4b0c9d6adf6d330",14,3254,0,0
"13722.58cfa832e4b0c9d6adf6d2c8",12,2559,0,0
"13722.58cfa832e4b0c9d6adf6d16c",26,8085,0,0
"13722.58cfa832e4b0c9d6adf6d526",8,2168,0,0
"13722.58cfa832e4b0c9d6adf6d151",17,1641,0,0
"13722.58cfa832e4b0c9d6adf6d28e",20,8449,0,0
"13722.58cfa832e4b0c9d6adf6d36a",29,7564,0,1
"13722.58cfa832e4b0c9d6adf6d4ff",29,4285,0,1
"13722.58cfa832e4b0c9d6adf6d3b0",26,6416,0,0
"13722.58cfa832e4b0c9d6adf6d166",18,6922,0,0
"13722.58cfa832e4b0c9d6adf6d1e0",27,4934,0,0
"13722.58cfa832e4b0c9d6adf6d2b0",36,8922,0,0
"13722.58cfa832e4b0c9d6adf6d2b4",7,1836,0,0
"13722.58cfa832e4b0c9d6adf6d2ba",9,4377,0,0
"13722.58cfa832e4b0c9d6adf6d2c0",51,7594,0,0
"13722.58cfa832e4b0c9d6adf6d2ca",31,6859,0,0
"13722.58cfa832e4b0c9d6adf6d2d2",9,3926,0,0
"13722.58cfa832e4b0c9d6adf6d2dc",31,6684,0,0
"13722.58cfa832e4b0c9d6adf6d2de",28,3763,0,0
"13722.58cfa832e4b0c9d6adf6d2ec",40,16022,0,0
"13722.58cfa832e4b0c9d6adf6d2f0",12,3551,0,0
"13722.58cfa832e4b0c9d6adf6d2f4",12,2898,0,0
"13722.58cfa832e4b0c9d6adf6d2f7",41,10242,0,0
"13722.58cfa832e4b0c9d6adf6d307",19,8222,0,0
"13722.58cfa832e4b0c9d6adf6d30f",3,2736,0,0
"13722.58cfa832e4b0c9d6adf6d31b",30,8944,0,0
"13722.58cfa832e4b0c9d6adf6d326",37,6188,0,0
"13722.58cfa832e4b0c9d6adf6d328",13,3712,0,1
"13722.58cfa832e4b0c9d6adf6d32c",27,5957,0,0
"13722.58cfa832e4b0c9d6adf6d33c",12,6708,0,0
