"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13722.58cfa830e4b0c9d6adf6c1cf",32,6848,0,0
"13722.58cfa831e4b0c9d6adf6c904",29,9388,0,0
"13722.58cfa831e4b0c9d6adf6c97f",23,7026,0,0
"13722.58cfa831e4b0c9d6adf6c99d",26,9515,0,0
"13722.58cfa831e4b0c9d6adf6c9a3",64,7564,0,1
"13722.58cfa831e4b0c9d6adf6c9a9",28,5986,0,1
"13722.58cfa831e4b0c9d6adf6c9ee",17,3596,0,0
"13722.58cfa831e4b0c9d6adf6c9fb",29,5881,0,0
"13722.58cfa831e4b0c9d6adf6ca27",32,4729,0,1
"13722.58cfa831e4b0c9d6adf6ca5c",11,2856,0,0
"13722.58cfa831e4b0c9d6adf6ca6e",3,2879,0,0
"13722.58cfa831e4b0c9d6adf6ca82",4,2570,0,0
"13722.58cfa831e4b0c9d6adf6cde2",44,6354,0,0
"13722.58cfa832e4b0c9d6adf6ce2e",40,14899,0,0
"13722.58cfa832e4b0c9d6adf6ce73",9,3037,0,0
"13722.58cfa832e4b0c9d6adf6cf77",21,9184,0,0
"13722.58cfa832e4b0c9d6adf6cfff",20,6508,0,0
"13722.58cfa832e4b0c9d6adf6d052",27,7056,0,0
"13722.58cfa830e4b0c9d6adf6c212",32,7076,0,1
"13722.58cfa831e4b0c9d6adf6c964",20,5617,0,0
"13722.58cfa831e4b0c9d6adf6c9ad",32,6688,0,0
"13722.58cfa831e4b0c9d6adf6c992",4,2582,0,0
"13722.58cfa830e4b0c9d6adf6bdba",33,5235,0,0
"13722.58cfa830e4b0c9d6adf6c1c8",24,6394,0,0
"13722.58cfa830e4b0c9d6adf6c1d6",86,11538,0,1
"13722.58cfa830e4b0c9d6adf6c23e",10,2051,0,0
"13722.58cfa831e4b0c9d6adf6c3e3",32,4242,0,0
"13722.58cfa831e4b0c9d6adf6c3b6",103,14634,0,2
"13722.58cfa831e4b0c9d6adf6c3a6",37,7553,0,0
"13722.58cfa831e4b0c9d6adf6c3be",30,3140,0,0
"13722.58cfa831e4b0c9d6adf6c422",125,6407,0,0
"13722.58cfa831e4b0c9d6adf6c450",9,4322,0,0
"13722.58cfa831e4b0c9d6adf6c89e",59,16974,0,1
"13722.58cfa831e4b0c9d6adf6c8b2",25,4411,0,0
"13722.58cfa831e4b0c9d6adf6c89a",234,14797,0,1
"13722.58cfa831e4b0c9d6adf6c8b8",69,13200,0,1
"13722.58cfa831e4b0c9d6adf6c934",59,13263,0,2
"13722.58cfa831e4b0c9d6adf6c9a2",29,6577,0,0
"13722.58cfa831e4b0c9d6adf6c903",60,14943,0,2
"13722.58cfa831e4b0c9d6adf6c977",90,35576,0,0
"13722.58cfa831e4b0c9d6adf6c9a4",65,15842,0,2
"13722.58cfa831e4b0c9d6adf6c9bf",64,16801,0,2
"13722.58cfa831e4b0c9d6adf6c9ca",35,4581,0,0
"13722.58cfa831e4b0c9d6adf6c9db",29,4518,0,0
"13722.58cfa831e4b0c9d6adf6ca2b",48,18487,0,1
"13722.58cfa831e4b0c9d6adf6c9f6",26,7278,0,1
"13722.58cfa831e4b0c9d6adf6ca23",86,12926,0,4
"13722.58cfa831e4b0c9d6adf6ca58",54,16242,0,1
"13722.58cfa831e4b0c9d6adf6ca17",21,1891,0,0
"13722.58cfa831e4b0c9d6adf6cc3c",21,5783,0,0
"13722.58cfa831e4b0c9d6adf6cbe9",45,11720,0,2
"13722.58cfa831e4b0c9d6adf6cc38",36,3868,0,0
"13722.58cfa831e4b0c9d6adf6cde4",31,3890,0,0
"13722.58cfa831e4b0c9d6adf6cb2c",26,5943,0,0
"13722.58cfa831e4b0c9d6adf6cc1c",31,5520,0,0
"13722.58cfa832e4b0c9d6adf6ce00",76,12754,0,1
"13722.58cfa832e4b0c9d6adf6ce3a",19,7001,0,0
"13722.58cfa832e4b0c9d6adf6ce68",26,7471,0,0
"13722.58cfa832e4b0c9d6adf6ce70",22,9464,0,0
"13722.58cfa832e4b0c9d6adf6ce7e",24,6509,0,1
"13722.58cfa832e4b0c9d6adf6ce6c",88,19565,0,1
"13722.58cfa832e4b0c9d6adf6ce87",22,3394,0,1
"13722.58cfa831e4b0c9d6adf6cc59",60,12240,0,1
"13722.58cfa832e4b0c9d6adf6ce7c",80,22370,0,1
"13722.58cfa832e4b0c9d6adf6ce6e",16,3023,0,0
"13722.58cfa832e4b0c9d6adf6ce62",72,16268,0,1
"13722.58cfa832e4b0c9d6adf6cf76",75,19567,0,2
"13722.58cfa832e4b0c9d6adf6d011",37,9620,0,0
"13722.58cfa832e4b0c9d6adf6d112",25,3189,0,1
"13722.58cfa832e4b0c9d6adf6d0d8",27,3556,0,0
"13722.58cfa832e4b0c9d6adf6d11e",54,15071,0,2
"13722.58cfa832e4b0c9d6adf6d1bf",24,3459,0,0
"13722.58cfa832e4b0c9d6adf6d130",74,12962,0,2
"13722.58cfa832e4b0c9d6adf6d062",68,10990,0,1
"13722.58cfa832e4b0c9d6adf6d517",112,18877,0,2
"13722.58cfa832e4b0c9d6adf6d58e",60,15295,0,1
