"","Talaromyces_marneffei","Kluyveromyces_lactis","Yarrowia_lipolytica","Candida_glabrata","Aspergillus_fumigatus","Aspergillus_clavatus","Aspergillus_niger","Schizosaccharomyces_pombe","Talaromyces_stipitatus","Uncinocarpus_reesii","Clavispora_lusitaniae","Blastomyces_gilchristii","Schizosaccharomyces_cryophilus","Aspergillus_flavus","Candida_tropicalis","Debaryomyces_hansenii","Candida_dubliniensis","Komagataella_phaffii","Cryptococcus_neoformans","Encephalitozoon_cuniculi","Lachancea_thermotolerans","Schizophyllum_commune","Chaetomium_globosum","Botrytis_cinerea","Saccharomyces_cerevisiae","Encephalitozoon_intestinalis","Parastagonospora_nodorum","Sclerotinia_sclerotiorum","Colletotrichum_graminicola","Aspergillus_nidulans","Coccidioides_immitis","Meyerozyma_guilliermondii","Fusarium_verticillioides","Histoplasma_capsulatum","Aspergillus_terreus","Aspergillus_fischeri","Lodderomyces_elongisporus","Puccinia_graminis","Fusarium_oxysporum","Pyrenophora_tritici-repentis","Vanderwaltozyma_polyspora","Schizosaccharomyces_octosporus","Verticillium_dahliae","Paracoccidioides_lutzii","Paracoccidioides_brasiliensis","Nannizzia_gypsea","Trichophyton_benhamiae","Microsporum_canis","Coccidioides_posadasii","Nectria_haematococca","Trichophyton_rubrum","Trichophyton_verrucosum","Trichoderma_reesei","Trichoderma_atroviride","Malassezia_globosa","Sordaria_macrospora","Coprinopsis_cinerea","Neurospora_crassa","Candida_albicans","Aspergillus_oryzae","Cryptococcus_gattii_VGI","Metarhizium_robertsii","Scheffersomyces_stipitis","Neurospora_tetrasperma","Serpula_lacrymans","Chaetomium_thermophilum","Yamadazyma_tenuis","Spathaspora_passalidarum","Arthrobotrys_oligospora","Cordyceps_militaris","Thermothelomyces_thermophilus","Podospora_anserina","Naumovozyma_dairenensis","Leptosphaeria_maculans","Exophiala_dermatitidis","Vittaforma_corneae","Eremothecium_cymbalariae","Naumovozyma_castellii","Fusarium_graminearum","Torulaspora_delbrueckii","Wallemia_mellicola","Stereum_hirsutum","Punctularia_strigosozonata","Trametes_versicolor","Coniophora_puteana","Tremella_mesenterica","Coniosporium_apollinis","Trichosporon_asahii","Agaricus_bisporus","Fusarium_pseudograminearum","Kazachstania_africana","Wickerhamomyces_ciferrii","Penicillium_digitatum","Candida_orthopsilosis","Tetrapisispora_blattae","Sphaerulina_musiva","Heterobasidion_irregulare","Rhodotorula_toruloides","Ustilago_maydis","Baudoinia_panamericana","Gloeophyllum_trabeum","Pneumocystis_murina","Malassezia_sympodialis","Cyphellophora_europaea","Cladophialophora_carrionii","Phaeoacremonium_minimum","Wallemia_ichthyophaga","Pseudozyma_hubeiensis","Glarea_lozoyensis","Anthracocystis_flocculosa","Rhizophagus_irregularis","Kalmanozyma_brasiliensis","Kwoniella_pini","Pestalotiopsis_fici","Bipolaris_zeicola","Bipolaris_oryzae","Bipolaris_victoriae","Cladophialophora_yegresii","Cladophialophora_psammophila","Capronia_coronata","Tilletiaria_anomala","Aureobasidium_subglaciale","Aureobasidium_namibiae","Aureobasidium_pullulans","Scedosporium_apiospermum","Moesziomyces_antarcticus","Mitosporidium_daphniae","Penicillium_expansum","Metarhizium_brunneum","Fonsecaea_pedrosoi","Cladophialophora_bantiana","Cladophialophora_immunda","Exophiala_xenobiotica","Exophiala_oligosperma","Rhinocladiella_mackenziei","Exophiala_spinifera","Exophiala_mesophila","Verruconis_gallopava","Lachancea_lanzarotensis","Sporothrix_schenckii","Rasamsonia_emersonii","Cutaneotrichosporon_oleaginosum","Aspergillus_nomiae","Malassezia_pachydermatis","Rhodotorula_graminis","Kluyveromyces_marxianus","Debaryomyces_fabryi","Pneumocystis_jirovecii","Pneumocystis_carinii","Trichoderma_gamsii","Phialocephala_scopiformis","Xylona_heveae","Phycomyces_blakesleeanus","Sugiyamaella_lignohabitans","Alternaria_alternata","Fonsecaea_monophora","Fonsecaea_nubica","Fonsecaea_erecta","Purpureocillium_lilacinum","Pichia_membranifaciens","Wickerhamomyces_anomalus","Saitoella_complicata","Babjeviella_inositovora","Ascoidea_rubescens","Hyphopichia_burtonii","Cyberlindnera_jadinii","Suhomyces_tanzawaensis","Metschnikowia_bicuspidata","Ogataea_polymorpha","Colletotrichum_higginsianum","Cryptococcus_wingfieldii","Cryptococcus_amylolentus","Aspergillus_bombycis","Aspergillus_glaucus","Aspergillus_aculeatus","Talaromyces_atroroseus","Kockovaella_imperatae","Aspergillus_thermomutatus","Rhizopus_microsporus","Candida_auris","Aspergillus_candidus","Aspergillus_novofumigatus","Aspergillus_campestris","Aspergillus_steynii","Candida_haemuloni","Candida_duobushaemulonis","Candida_pseudohaemulonis","Trichoderma_harzianum","Trichoderma_asperellum","Trichoderma_citrinoviride","Pichia_kudriavzevii","Tilletiopsis_washingtonensis","Pseudomicrostroma_glucosiphilum","Aspergillus_neoniger","Aspergillus_brunneoviolaceus","Aspergillus_uvarum","Aspergillus_piperis","Aspergillus_aculeatinus","Aspergillus_japonicus","Aspergillus_ibericus","Aspergillus_homomorphus","Aspergillus_vadensis","Malassezia_restricta","Aspergillus_welwitschiae","Aspergillus_mulundensis","Aspergillus_tanneri","Byssochlamys_spectabilis","Alternaria_arborescens","Pyricularia_pennisetigena","Sporisorium_graminicola","Diutina_rugosa","Aspergillus_alliaceus","Aspergillus_pseudotamarii","Aspergillus_caelatus","Aspergillus_pseudonomius","Eremomyces_bilateralis","Macroventuria_anomochaeta","Aspergillus_lentulus","Arthroderma_uncinatum","Fusarium_venenatum","Fusarium_proliferatum","Ramularia_collo-cygni","Fusarium_fujikuroi","Encephalitozoon_hellem"
"13722.58cfa830e4b0c9d6adf6bf00",3,49,1,58,0,0,1,0,390,0,7,0,0,2,5,0,2,0,0,0,36,0,0,0,88006,0,4,0,0,0,0,3,0,0,0,0,10,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,2762,0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,0,0,84,0,0,0,13,110,0,97,0,0,0,0,0,0,0,0,0,0,74,7,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,29,0,0,0,0,0,0,39,48,0,0,0,0,0,0,10,0,0,0,0,0,1,6,1,0,0,0,1,1,0,6,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0
"13722.58cfa830e4b0c9d6adf6befe",12,168,10,206,0,0,1,0,1265,0,22,0,0,1,14,1,5,0,0,0,132,0,0,0,281535,0,18,1,0,0,0,11,2,0,0,0,33,1,1,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,6105,1,0,0,6,0,0,0,11,0,1,0,2,11,0,0,0,0,266,0,0,0,40,328,0,345,0,0,0,2,0,0,0,0,0,0,234,15,0,11,36,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,113,0,0,0,0,0,1,127,131,0,0,0,0,0,0,29,1,0,0,0,0,2,17,2,0,0,0,1,1,1,16,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,4,5,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0
"13722.58cfa830e4b0c9d6adf6c294",6,79,6,110,2,0,2,0,648,0,11,0,0,1,10,0,4,0,0,0,59,0,0,0,140821,0,9,0,0,0,0,5,0,0,0,0,15,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,2756,0,0,0,3,0,0,0,5,0,0,0,1,6,0,0,0,0,134,0,0,0,20,176,0,162,0,0,0,0,0,0,0,0,0,0,118,12,0,5,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,51,0,0,0,0,0,1,66,56,0,0,0,0,0,0,16,0,0,0,0,0,1,9,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0
"13722.58cfa831e4b0c9d6adf6c480",3,34,1,33,0,0,1,0,235,0,4,0,0,3,4,1,1,0,0,0,24,0,0,2,51043,0,4,0,0,0,0,2,0,0,0,0,6,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2063,0,0,0,11,0,0,0,2,0,0,0,0,2,0,0,0,0,49,1,0,0,7,59,0,60,0,0,0,0,0,0,0,0,0,0,44,7,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,0,11,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,22,24,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
"13722.58cfa831e4b0c9d6adf6c8d0",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"13722.58cfa831e4b0c9d6adf6c7b4",10,143,6,173,0,0,1,0,1018,0,19,0,0,2,13,0,6,0,0,0,109,0,1,1,237434,0,15,0,0,0,0,8,0,0,0,0,27,3,2,0,140,1,0,0,0,0,0,0,0,0,0,0,0,0,9172,1,0,0,5,1,1,0,9,0,0,0,1,10,0,0,0,0,224,1,0,0,31,287,0,304,0,1,0,0,0,0,0,0,0,0,201,17,0,8,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,0,0,0,0,0,93,0,0,0,0,0,0,115,106,0,0,0,0,0,0,28,2,0,0,0,0,2,15,1,1,0,1,1,2,0,13,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,2,6,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,5,0,0,0
"13722.58cfa831e4b0c9d6adf6c77c",3,50,0,60,0,0,1,0,307,0,4,0,0,3,5,0,2,0,0,0,34,0,0,1,70469,0,4,0,0,0,1,4,0,0,0,0,10,0,1,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,7231,1,0,0,3,0,0,0,4,0,0,0,1,4,0,0,0,0,73,0,0,0,9,90,0,94,0,0,0,0,0,0,0,0,0,0,65,12,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,37,36,0,0,0,0,0,0,8,0,0,1,0,0,1,5,1,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0
"13722.58cfa82fe4b0c9d6adf6b909",0,20,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"13722.58cfa82fe4b0c9d6adf6ba1a",8,103,7,130,0,0,0,1,806,1,16,0,0,3,11,0,5,0,0,0,87,0,0,0,182852,0,11,1,0,0,0,6,0,0,0,0,20,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,2463,0,0,0,6,0,0,0,8,0,0,0,1,9,0,0,0,0,175,1,0,0,28,226,0,223,0,0,0,0,0,0,0,0,0,0,157,14,0,6,28,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,75,0,0,0,0,0,2,83,89,0,0,0,0,0,0,22,1,0,0,0,0,0,15,1,0,0,0,1,2,0,14,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,1,5,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0
"13722.58cfa830e4b0c9d6adf6bcc0",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1730,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
