"","Dothideales","Eremomycetales","Mycosphaerellales","Fungi_Ascomycota_Dothideomycetes_other","Pleosporales","Venturiales","Chaetothyriales","Eurotiales","Onygenales","Helotiales","Orbiliales","Fungi_Ascomycota_other_other","Pneumocystidales","Saccharomycetales","Schizosaccharomycetales","Glomerellales","Hypocreales","Magnaporthales","Microascales","Ophiostomatales","Sordariales","Togniniales","Xylariales","Xylonales","Agaricales","Boletales","Corticiales","Gloeophyllales","Polyporales","Russulales","Entylomatales","Georgefischeriales","Microstromatales","Malasseziales","Sporidiobolales","Pucciniales","Tremellales","Trichosporonales","Ustilaginales","Wallemiales","Fungi_Microsporidia_other_other","Glomerales","Mucorales"
"13722.58cfa82de4b0c9d6adf6a710",0,0,0,0,2,0,0,6,20,0,0,0,0,457,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5145,0,1,3,0,0,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a71c",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,0,0,0,0,0,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a755",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ad28",0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557,0,0,0,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ad45",0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6643,0,1,4,0,3,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a734",0,0,0,0,6,0,0,13,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6812,1,1,1,0,0,0,0,0,3
"13722.58cfa82de4b0c9d6adf6a766",0,0,0,0,0,0,1,1,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8802,0,0,0,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ac8e",0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1474,0,0,1,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6b032",0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6796,0,1,1,0,0,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a70e",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1736,0,0,0,0,0,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a75c",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306,0,0,0,0,0,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a760",0,0,0,0,41,0,0,9,2,0,0,0,0,79257,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911,0,0,3,0,1,0,0,1,0
"13722.58cfa82de4b0c9d6adf6a750",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1417,0,0,1,0,0,0,0,0,0
