"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13722.58cfa82de4b0c9d6adf6a710",486,5149,0,0
"13722.58cfa82de4b0c9d6adf6a71c",4,1011,0,0
"13722.58cfa82de4b0c9d6adf6a755",2,576,0,0
"13722.58cfa82ee4b0c9d6adf6ad28",6,1557,0,0
"13722.58cfa82ee4b0c9d6adf6ad45",17,6651,0,0
"13722.58cfa82de4b0c9d6adf6a734",23,6815,0,3
"13722.58cfa82de4b0c9d6adf6a766",12,8808,0,0
"13722.58cfa82ee4b0c9d6adf6ac8e",47,1475,0,0
"13722.58cfa82ee4b0c9d6adf6b032",5,6798,0,0
"13722.58cfa82de4b0c9d6adf6a70e",2,1736,0,0
"13722.58cfa82de4b0c9d6adf6a75c",2,1306,0,0
"13722.58cfa82de4b0c9d6adf6a760",79311,1915,0,1
"13722.58cfa82de4b0c9d6adf6a750",10,1418,0,0
"13722.58cfa82de4b0c9d6adf6a758",2,1827,0,0
"13722.58cfa82ee4b0c9d6adf6ac91",0,3591,0,0
"13722.58cfa82ee4b0c9d6adf6acb4",6,8705,0,0
"13722.58cfa82ee4b0c9d6adf6ad30",1,2402,0,0
"13722.58cfa82ee4b0c9d6adf6ad57",4,3470,0,0
"13722.58cfa82ee4b0c9d6adf6ad4a",3,2046,0,0
"13722.58cfa82ee4b0c9d6adf6ad5d",5,4054,0,0
"13722.58cfa82ee4b0c9d6adf6ad5b",1,6273,0,0
"13722.58cfa82ee4b0c9d6adf6ad61",3,6422,0,1
"13722.58cfa82ee4b0c9d6adf6ad87",7,5080,0,0
"13722.58cfa82ee4b0c9d6adf6adb4",8,10551,0,0
"13722.58cfa82ee4b0c9d6adf6ae36",6,1174,0,0
"13722.58cfa82ee4b0c9d6adf6ae5d",7,2515,0,0
"13722.58cfa82ee4b0c9d6adf6adec",1,1899,0,0
"13722.58cfa82ee4b0c9d6adf6af74",9,6239,0,1
"13722.58cfa82ee4b0c9d6adf6b070",3,3576,0,0
"13722.58cfa82de4b0c9d6adf6a726",61,10242,0,0
"13722.58cfa82de4b0c9d6adf6a73c",12,13616,0,0
"13722.58cfa82de4b0c9d6adf6a738",12,11662,0,1
"13722.58cfa82de4b0c9d6adf6a74c",0,1083,0,0
"13722.58cfa82de4b0c9d6adf6a763",0,2087,0,0
"13722.58cfa82de4b0c9d6adf6a794",11,11305,0,1
"13722.58cfa82ee4b0c9d6adf6ac75",9,6923,0,0
"13722.58cfa82ee4b0c9d6adf6ac8b",26,15299,0,0
"13722.58cfa82ee4b0c9d6adf6ac73",11,13460,0,1
"13722.58cfa82ee4b0c9d6adf6acaa",0,3705,0,0
"13722.58cfa82ee4b0c9d6adf6ad24",8,2738,0,0
"13722.58cfa82ee4b0c9d6adf6ad2e",4,2513,0,0
"13722.58cfa82ee4b0c9d6adf6ad33",19,13272,0,0
"13722.58cfa82ee4b0c9d6adf6ad41",6,1752,0,0
"13722.58cfa82ee4b0c9d6adf6ad47",2,2682,0,0
"13722.58cfa82ee4b0c9d6adf6ad43",21,15485,0,1
"13722.58cfa82ee4b0c9d6adf6ad9a",56,2520,0,0
"13722.58cfa82ee4b0c9d6adf6adda",4,3257,0,0
"13722.58cfa82ee4b0c9d6adf6ae46",2,2370,0,0
"13722.58cfa82ee4b0c9d6adf6ae1a",50,3057,0,0
"13722.58cfa82ee4b0c9d6adf6ae3b",10,1885,0,0
"13722.58cfa82ee4b0c9d6adf6af4a",7,4884,0,0
"13722.58cfa82ee4b0c9d6adf6af4c",17,18826,0,0
"13722.58cfa82ee4b0c9d6adf6af68",20,15135,0,1
"13722.58cfa82ee4b0c9d6adf6b084",0,2977,0,0
"13722.58cfa82de4b0c9d6adf6a718",2,1946,0,0
"13722.58cfa82de4b0c9d6adf6a72e",3110,10818,0,0
"13722.58cfa82de4b0c9d6adf6a74a",0,1265,0,0
"13722.58cfa82de4b0c9d6adf6a754",0,1152,0,0
"13722.58cfa82de4b0c9d6adf6a759",1,1916,0,0
"13722.58cfa82de4b0c9d6adf6a75e",0,1607,0,0
"13722.58cfa82de4b0c9d6adf6a76a",51452,1298,0,1
"13722.58cfa82de4b0c9d6adf6a74e",2,5384,0,0
"13722.58cfa82de4b0c9d6adf6a774",2,12112,0,0
"13722.58cfa82de4b0c9d6adf6a77a",128,10363,0,0
"13722.58cfa82ee4b0c9d6adf6a820",64,8650,0,0
"13722.58cfa82ee4b0c9d6adf6ac95",10,7997,0,0
"13722.58cfa82ee4b0c9d6adf6ac88",0,1475,0,0
"13722.58cfa82ee4b0c9d6adf6ad36",5,1134,0,0
"13722.58cfa82ee4b0c9d6adf6adc4",9,6165,0,0
"13722.58cfa82ee4b0c9d6adf6ade6",7,8504,0,0
"13722.58cfa82ee4b0c9d6adf6af44",0,2177,0,0
"13722.58cfa82ee4b0c9d6adf6af66",8,9569,0,0
"13722.58cfa82ee4b0c9d6adf6b0c4",0,2195,0,0
"13722.58cfa82de4b0c9d6adf6a752",4,3231,0,0
"13722.58cfa82de4b0c9d6adf6a720",132507,18431,0,1
"13722.58cfa82ee4b0c9d6adf6ac7e",4,7214,0,0
"13722.58cfa82ee4b0c9d6adf6ac9c",5,4841,0,0
"13722.58cfa82ee4b0c9d6adf6ae16",5,3205,0,0
"13722.58cfa82ee4b0c9d6adf6ade4",26,14650,0,1
"13722.58cfa82ee4b0c9d6adf6af3e",6,6002,0,0
