"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13767.58cfa83ce4b0c9d6adf73032",82,575,8,0,1,0,409,1,131,1,29,1,179,2,1,2,3,13,0,82,1
"13767.58cfa830e4b0c9d6adf6c0c5",36,251,5,0,0,0,192,1,55,0,14,0,83,2,0,0,0,7,0,40,0
"13767.58cfa83ce4b0c9d6adf72f55",47,87,4,0,1,0,28,0,23,0,18,1,124,15,1,10,1,2,1,3,1
"13767.58cfa830e4b0c9d6adf6c092",17,17,1,0,0,0,6,0,8,0,4,0,44,6,0,2,0,1,0,0,1
"13767.58cfa830e4b0c9d6adf6c0b4",155,700,142,1,1,2,189,0,126,0,12,2,329,7,2,4,5,13,0,84,0
"13767.58cfa83ce4b0c9d6adf72fbb",148,713,135,1,0,2,169,1,124,0,13,2,312,7,2,6,3,13,0,85,0
"13767.58cfa832e4b0c9d6adf6d070",49,103,0,0,0,0,37,0,41,0,14,0,807,0,0,2,0,0,0,4,0
"13767.58cfa83ce4b0c9d6adf73006",17,32,0,0,0,0,7,0,11,0,6,0,253,0,0,2,0,0,0,1,0
"13767.58cfa830e4b0c9d6adf6c0ad",8,84,0,0,0,0,17,0,20,0,0,0,94,0,0,5,0,0,0,13,0
"13767.58cfa83ce4b0c9d6adf731dc",8,78,0,0,0,0,16,0,16,0,0,0,87,0,0,5,0,0,0,12,0
"13767.58cfa830e4b0c9d6adf6c08c",23,41,0,0,0,0,307,0,66,0,0,0,73,2,2,0,1,0,0,0,0
"13767.58cfa830e4b0c9d6adf6c0da",13,94,0,0,0,0,8,0,26,0,0,0,13,0,0,0,0,0,0,8,0
"13767.58cfa83ce4b0c9d6adf731d1",13,93,0,0,0,0,9,0,30,0,0,0,15,0,0,0,0,0,0,9,0
"13767.58cfa83ce4b0c9d6adf72f57",23,41,0,0,0,0,307,0,66,0,0,0,73,2,2,0,1,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72fda",6,61,0,0,0,0,5,0,21,1,0,0,51,0,1,0,0,0,0,7,0
"13767.58cfa830e4b0c9d6adf6c084",2,76,0,0,0,0,998,0,14,0,0,0,10,2,0,0,0,0,0,4,0
"13767.58cfa830e4b0c9d6adf6c0b0",7,67,0,0,0,0,4,0,15,1,0,0,44,0,0,0,0,0,0,8,0
"13767.58cfa83ce4b0c9d6adf72e76",3,73,0,0,0,0,955,0,10,0,0,0,15,2,0,0,1,0,0,3,0
"13767.58cfa83ce4b0c9d6adf73174",0,32,0,0,0,0,5,0,5,0,0,0,2,0,0,0,0,0,0,2,0
"13767.58cfa832e4b0c9d6adf6cea6",2,196,0,0,0,0,16,0,34,0,0,0,16,0,0,0,0,0,0,10,0
"13767.58cfa83ce4b0c9d6adf731ce",109,194,5,0,0,0,63,0,59,0,3,0,68,1,0,0,0,14,0,23,0
"13767.58cfa831e4b0c9d6adf6c49c",243,589,11,0,0,0,159,0,188,1,7,0,188,3,0,0,2,30,0,61,0
"13767.58cfa830e4b0c9d6adf6c0bb",21,69,0,0,0,0,27,0,32,0,0,0,77,0,0,0,1,0,0,5,0
"13767.58cfa83ce4b0c9d6adf73194",21,69,0,0,0,0,27,0,32,0,0,0,77,0,0,0,1,0,0,5,0
"13767.58cfa83ce4b0c9d6adf73046",1267,250,17,2,2,3,126,2,725,0,23,6,386,85,4,13,9,15,0,9,1
"13767.58cfa833e4b0c9d6adf6da34",23,40,2,4,0,0,6,0,12,0,1,0,26,0,0,0,0,0,0,4,0
"13767.58cfa832e4b0c9d6adf6d3a2",3,3,0,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0
"13767.58cfa831e4b0c9d6adf6c478",1262,240,19,2,1,2,125,2,755,0,22,6,365,87,3,11,9,14,0,9,1
"13767.58cfa830e4b0c9d6adf6c069",10,263,0,0,0,0,371,0,49,0,2,0,62,17,0,2,3,0,0,10,0
"13767.58cfa831e4b0c9d6adf6c591",608,72,5,0,0,0,18,0,32,0,9,1,101,0,1,2,1,4,0,8,0
"13767.58cfa83ce4b0c9d6adf7300e",21,23,0,0,0,0,15,0,7,0,3,1,71,0,0,0,2,0,2,2,0
"13767.58cfa83ce4b0c9d6adf72e2e",2,44,1,0,0,0,10,0,12,0,2,0,30,0,0,2,0,0,0,5,0
"13767.58cfa83ce4b0c9d6adf73130",609,71,5,0,0,1,19,0,35,0,7,1,106,0,1,2,1,4,0,8,0
"13767.58cfa83ce4b0c9d6adf72e6d",2,93,0,0,0,0,117,0,14,0,1,0,14,8,0,0,0,0,0,4,0
"13767.58cfa830e4b0c9d6adf6c0d0",3,4,0,0,0,0,2,0,1,0,0,0,9,0,0,0,0,0,0,0,0
"13767.58cfa830e4b0c9d6adf6c2e9",9,364,0,0,0,0,40,0,93,0,0,0,78,0,1,1,0,5,0,19,0
"13767.58cfa830e4b0c9d6adf6c0a9",0,4,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0
