"","Saccotheciaceae","Eremomycetaceae","Mycosphaerellaceae","Teratosphaeriaceae","Fungi_Ascomycota_Dothideomycetes_other_other","Didymellaceae","Leptosphaeriaceae","Phaeosphaeriaceae","Pleosporaceae","Sympoventuriaceae","Cyphellophoraceae","Herpotrichiellaceae","Aspergillaceae","Thermoascaceae","Trichocomaceae","Ajellomycetaceae","Arthrodermataceae","Onygenaceae","Fungi_Ascomycota_Eurotiomycetes_Onygenales_other","Helotiaceae","Fungi_Ascomycota_Leotiomycetes_Helotiales_other","Sclerotiniaceae","Orbiliaceae","Fungi_Ascomycota_other_other_other","Pneumocystidaceae","Ascoideaceae","Debaryomycetaceae","Dipodascaceae","Metschnikowiaceae","Fungi_Ascomycota_Saccharomycetes_Saccharomycetales_other","Phaffomycetaceae","Pichiaceae","Saccharomycetaceae","Trichomonascaceae","Schizosaccharomycetaceae","Glomerellaceae","Plectosphaerellaceae","Clavicipitaceae","Cordycipitaceae","Hypocreaceae","Nectriaceae","Ophiocordycipitaceae","Pyriculariaceae","Microascaceae","Ophiostomataceae","Chaetomiaceae","Sordariaceae","Togniniaceae","Sporocadaceae","Xylonaceae","Agaricaceae","Psathyrellaceae","Schizophyllaceae","Coniophoraceae","Serpulaceae","Punctulariaceae","Gloeophyllaceae","Polyporaceae","Bondarzewiaceae","Stereaceae","Fungi_Basidiomycota_Exobasidiomycetes_Entylomatales_other","Tilletiariaceae","Fungi_Basidiomycota_Exobasidiomycetes_Microstromatales_other","Malasseziaceae","Sporidiobolaceae","Pucciniaceae","Cryptococcaceae","Cuniculitremaceae","Tremellaceae","Trichosporonaceae","Ustilaginaceae","Wallemiaceae","Nosematidae","Fungi_Microsporidia_other_other_other","Unikaryonidae","Glomeraceae","Phycomycetaceae","Rhizopodaceae"
"13767.58cfa83ce4b0c9d6adf73032",4,0,19,1,0,3,5,32,11,7,0,10,456,3,54,22,12,4,14,2,1,5,0,1,0,0,223,0,16,8,16,10,130,6,1,3,1,11,2,17,13,0,40,0,1,9,31,0,3,1,8,2,0,2,4,3,3,1,3,3,0,0,1,179,2,1,0,1,1,0,3,13,0,0,0,82,1,0
"13767.58cfa830e4b0c9d6adf6c0c5",4,0,7,1,0,2,2,14,4,2,0,2,206,1,26,8,3,1,4,1,1,3,0,0,0,0,104,0,6,3,8,3,65,3,1,1,0,6,1,6,7,0,14,0,1,4,14,0,1,0,2,1,0,1,2,2,2,0,2,2,0,0,0,83,2,0,0,0,0,0,0,7,0,0,0,40,0,0
"13767.58cfa83ce4b0c9d6adf72f55",2,0,25,1,0,1,3,13,2,0,0,6,64,2,2,8,2,0,3,1,1,2,0,1,0,0,2,0,3,1,7,2,12,1,0,1,0,4,0,0,4,0,5,0,0,2,7,0,0,0,2,0,0,1,2,2,2,4,3,2,0,0,1,124,15,1,4,4,1,1,1,2,0,1,0,3,1,0
"13767.58cfa830e4b0c9d6adf6c092",0,0,7,1,0,0,2,7,0,0,0,2,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,0,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,44,6,0,1,1,0,0,0,1,0,0,0,0,1,0
"13767.58cfa830e4b0c9d6adf6c0b4",44,0,62,6,0,2,4,13,16,8,0,12,606,9,8,26,26,2,11,1,0,141,1,1,2,0,79,20,25,5,13,2,45,0,0,4,0,8,1,25,10,0,42,2,0,6,25,0,3,0,1,2,0,0,1,1,0,2,5,0,0,0,2,329,7,2,2,1,0,1,5,13,0,0,0,84,0,0
"13767.58cfa83ce4b0c9d6adf72fbb",37,0,59,5,0,2,5,14,18,8,0,8,616,10,8,31,26,3,11,1,0,134,1,0,2,0,63,16,28,4,9,2,47,0,1,4,0,8,2,21,12,0,42,3,0,4,25,1,2,0,2,2,0,1,1,0,0,3,4,0,0,0,2,312,7,2,3,2,0,1,3,13,0,0,0,85,0,0
"13767.58cfa832e4b0c9d6adf6d070",0,0,17,0,0,0,1,12,18,1,0,6,84,1,2,6,3,0,1,0,0,0,0,0,0,0,12,2,0,0,17,0,6,0,0,2,0,5,4,3,9,1,4,0,1,1,11,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,807,0,0,0,0,0,2,0,0,0,0,0,4,0,0
"13767.58cfa83ce4b0c9d6adf73006",0,0,6,0,0,0,1,6,4,0,0,2,27,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,3,2,1,3,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,2,0,0,0,0,0,1,0,0
"13767.58cfa830e4b0c9d6adf6c0ad",0,0,1,0,0,0,0,6,0,1,0,1,77,0,1,3,2,0,0,0,0,0,0,0,0,0,5,0,0,0,5,1,5,1,0,2,0,1,0,3,4,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,3,1,1,0,0,0,0,0,0,13,0,0
"13767.58cfa83ce4b0c9d6adf731dc",0,0,1,0,0,0,0,6,0,1,0,1,70,0,2,3,2,0,0,0,0,0,0,0,0,0,5,0,0,0,5,1,4,1,0,1,0,1,0,2,3,0,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,3,1,1,0,0,0,0,0,0,12,0,0
"13767.58cfa830e4b0c9d6adf6c08c",2,0,17,1,0,1,0,2,0,0,0,2,37,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,4,294,0,0,1,0,1,1,1,54,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,2,2,0,0,0,0,1,0,0,0,0,0,0,0
"13767.58cfa830e4b0c9d6adf6c0da",0,0,2,0,0,0,1,9,1,0,0,12,78,0,0,3,1,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,1,0,0,3,0,1,0,3,4,1,7,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"13767.58cfa83ce4b0c9d6adf731d1",0,0,2,0,0,0,1,9,0,1,0,8,80,0,0,4,1,0,0,0,0,0,0,0,0,0,5,0,1,1,1,0,1,0,0,3,0,1,0,2,4,3,7,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"13767.58cfa83ce4b0c9d6adf72f57",2,0,17,1,0,1,0,2,0,0,0,2,37,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,4,294,0,0,1,0,1,1,1,54,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,2,2,0,0,0,0,1,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72fda",0,0,0,0,0,0,0,2,3,1,0,2,52,1,0,4,1,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,5,0,4,2,0,6,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,1,0,0,0,0,0,0,0,0,0,7,0,0
"13767.58cfa830e4b0c9d6adf6c084",0,0,0,0,0,0,0,2,0,0,0,0,65,1,5,1,3,0,1,0,0,0,0,0,0,0,983,0,3,1,2,2,7,0,0,0,0,0,0,3,3,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,4,0,0
"13767.58cfa830e4b0c9d6adf6c0b0",0,0,0,0,0,0,0,3,3,1,0,0,59,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,0,2,0,0,7,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"13767.58cfa83ce4b0c9d6adf72e76",0,0,1,0,0,0,0,2,0,0,0,0,63,0,7,1,1,0,1,0,0,0,0,0,0,0,943,2,3,3,1,1,2,0,0,0,0,0,0,1,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,1,0,0,0,0,3,0,0
"13767.58cfa83ce4b0c9d6adf73174",0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"13767.58cfa832e4b0c9d6adf6cea6",0,0,0,0,0,0,1,0,0,1,0,2,178,1,5,5,3,0,2,0,0,0,0,0,0,0,4,0,2,4,6,0,0,0,0,0,0,0,0,6,3,0,22,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"13767.58cfa83ce4b0c9d6adf731ce",1,0,102,1,0,0,0,1,2,2,0,5,164,2,18,1,4,0,0,0,0,5,0,0,0,0,40,0,3,6,3,0,11,0,0,1,0,2,1,11,17,0,21,0,0,1,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,68,1,0,0,0,0,0,0,14,0,0,0,23,0,0
"13767.58cfa831e4b0c9d6adf6c49c",3,0,221,3,0,1,1,2,7,5,0,8,501,5,48,9,12,0,6,0,0,11,0,0,0,1,85,0,11,14,13,0,35,0,0,2,0,4,2,25,54,0,71,1,0,4,18,0,7,1,7,0,0,0,0,0,0,0,0,0,0,0,0,188,3,0,0,0,0,0,2,30,0,0,0,61,0,0
"13767.58cfa830e4b0c9d6adf6c0bb",0,0,10,0,0,0,0,7,4,0,0,7,53,1,1,4,1,1,1,0,0,0,0,0,0,0,4,4,2,2,2,0,13,0,0,3,0,2,1,7,9,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,1,0,0,0,0,5,0,0
"13767.58cfa83ce4b0c9d6adf73194",0,0,10,0,0,0,0,7,4,0,0,7,53,1,1,4,1,1,1,0,0,0,0,0,0,0,4,4,2,2,2,0,13,0,0,3,0,2,1,7,9,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,1,0,0,0,0,5,0,0
"13767.58cfa83ce4b0c9d6adf73046",2,1,1188,10,0,15,10,32,9,0,0,40,161,5,7,6,10,4,17,2,4,11,2,2,3,0,62,7,2,4,5,2,43,1,2,93,1,18,8,257,234,0,11,7,41,23,19,10,3,0,5,0,0,2,4,3,1,1,3,4,0,0,6,386,85,4,7,3,2,1,9,15,0,0,0,9,1,0
"13767.58cfa833e4b0c9d6adf6da34",0,0,11,2,0,1,1,3,5,0,0,8,26,1,0,3,1,0,1,0,1,1,4,0,0,0,1,0,1,0,1,2,1,0,0,1,0,1,0,2,0,0,5,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"13767.58cfa832e4b0c9d6adf6d3a2",0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa831e4b0c9d6adf6c478",2,1,1187,12,0,14,9,29,8,0,0,35,153,5,8,7,12,3,17,3,4,12,2,1,2,0,64,7,2,4,5,1,42,0,2,98,1,20,9,259,247,0,12,7,43,26,19,11,3,0,5,0,0,1,4,3,1,1,3,4,0,0,6,365,87,3,5,3,2,1,9,14,0,0,0,9,1,0
