"","Aureobasidium","Eremomyces","Ramularia","Sphaerulina","Baudoinia","Bonordeniella","Macroventuria","Leptosphaeria","Parastagonospora","Alternaria","Bipolaris","Pyrenophora","Verruconis","Cyphellophora","Capronia","Cladophialophora","Exophiala","Fonsecaea","Rhinocladiella","Aspergillus","Penicillium","Byssochlamys","Rasamsonia","Talaromyces","Blastomyces","Histoplasma","Arthroderma","Microsporum","Nannizzia","Trichophyton","Uncinocarpus","Coccidioides","Paracoccidioides","Glarea","Phialocephala","Botrytis","Sclerotinia","Arthrobotrys","Saitoella","Pneumocystis","Ascoidea","Babjeviella","Candida","Debaryomyces","Hyphopichia","Lodderomyces","Meyerozyma","Scheffersomyces","Spathaspora","Suhomyces","Yamadazyma","Yarrowia","Clavispora","Metschnikowia","Diutina","Cyberlindnera","Komagataella","Wickerhamomyces","Ogataea","Pichia","Eremothecium","Kazachstania","Kluyveromyces","Lachancea","Nakaseomyces","Naumovozyma","Saccharomyces","Tetrapisispora","Torulaspora","Vanderwaltozyma","Sugiyamaella","Schizosaccharomyces","Colletotrichum","Verticillium","Metarhizium","Cordyceps","Trichoderma","Fusarium","Purpureocillium","Pyricularia","Scedosporium","Sporothrix","Chaetomium","Podospora","Thermothelomyces","Neurospora","Sordaria","Phaeoacremonium","Pestalotiopsis","Xylona","Agaricus","Coprinopsis","Schizophyllum","Coniophora","Serpula","Punctularia","Gloeophyllum","Trametes","Heterobasidion","Stereum","Tilletiopsis","Tilletiaria","Pseudomicrostroma","Malassezia","Rhodotorula","Puccinia","Cryptococcus","Kwoniella","Kockovaella","Tremella","Cutaneotrichosporon","Trichosporon","Anthracocystis","Kalmanozyma","Moesziomyces","Pseudozyma","Sporisorium","Ustilago","Wallemia","Vittaforma","Mitosporidium","Encephalitozoon","Rhizophagus","Phycomyces","Rhizopus"
"13767.58cfa83ce4b0c9d6adf73032",4,0,17,2,1,0,3,5,32,9,2,0,7,0,0,2,4,4,0,445,11,3,0,54,17,5,1,1,1,9,4,5,9,2,1,1,4,0,1,0,0,0,53,57,4,15,55,24,15,0,0,0,15,1,8,4,0,12,7,3,3,3,12,12,4,9,69,2,9,7,6,1,3,1,11,2,17,13,0,40,0,1,2,3,4,20,11,0,3,1,8,2,0,2,4,3,3,1,3,3,0,0,1,179,2,1,0,0,1,1,0,0,0,0,1,1,1,0,13,0,0,0,82,1,0
"13767.58cfa830e4b0c9d6adf6c0c5",4,0,6,1,1,0,2,2,14,3,1,0,2,0,0,0,1,1,0,201,5,1,0,26,6,2,0,0,0,3,1,2,2,1,1,0,3,0,0,0,0,0,25,27,2,7,25,11,7,0,0,0,5,1,3,2,0,6,2,1,1,2,8,5,2,3,36,1,4,3,3,1,1,0,6,1,6,7,0,14,0,1,2,1,1,9,5,0,1,0,2,1,0,1,2,2,2,0,2,2,0,0,0,83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,40,0,0
"13767.58cfa83ce4b0c9d6adf72f55",2,0,24,1,1,0,1,3,13,1,1,0,0,0,0,0,5,1,0,61,3,2,0,2,6,2,0,0,0,2,0,0,3,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,0,0,7,1,1,0,0,1,1,0,1,8,0,0,1,1,0,1,0,4,0,0,4,0,5,0,0,1,0,1,5,2,0,0,0,2,0,0,1,2,2,2,4,3,2,0,0,1,124,15,1,4,0,4,1,0,1,0,0,0,0,1,0,2,0,1,0,3,1,0
"13767.58cfa830e4b0c9d6adf6c092",0,0,7,0,1,0,0,2,7,0,0,0,0,0,0,0,2,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,44,6,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"13767.58cfa830e4b0c9d6adf6c0b4",44,0,61,1,6,0,2,4,13,10,5,1,8,0,0,0,8,4,0,545,61,9,0,8,24,2,1,0,8,17,2,2,9,1,0,138,3,1,1,2,0,0,6,9,9,0,55,0,0,0,0,20,25,0,5,0,10,3,1,1,0,0,0,0,0,0,35,10,0,0,0,0,4,0,8,1,25,10,0,42,2,0,4,0,2,16,9,0,3,0,1,2,0,0,1,1,0,2,5,0,0,0,2,329,7,2,2,0,1,0,0,1,4,0,0,0,1,0,13,0,0,0,84,0,0
"13767.58cfa83ce4b0c9d6adf72fbb",37,0,58,1,5,0,2,5,14,12,5,1,8,0,0,0,6,2,0,560,56,10,0,8,28,3,1,1,8,16,3,2,9,1,0,131,3,1,0,2,0,0,7,9,8,0,39,0,0,0,0,16,28,0,4,0,6,3,1,1,0,0,0,0,0,0,37,10,0,0,0,1,4,0,8,2,21,12,0,42,3,0,3,0,1,16,9,1,2,0,2,2,0,1,1,0,0,3,4,0,0,0,2,312,7,2,3,0,2,0,0,1,2,0,0,0,1,0,13,0,0,0,85,0,0
"13767.58cfa832e4b0c9d6adf6d070",0,0,17,0,0,0,0,1,12,6,1,11,1,0,0,0,6,0,0,82,2,1,0,2,6,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,2,0,0,0,16,0,1,0,0,0,1,0,0,0,0,4,0,0,1,0,0,2,0,5,4,3,9,1,4,0,1,0,0,1,5,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,807,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0
"13767.58cfa83ce4b0c9d6adf73006",0,0,6,0,0,0,0,1,6,1,1,2,0,0,0,0,2,0,0,27,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,3,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
"13767.58cfa830e4b0c9d6adf6c0ad",0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,76,1,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,1,0,0,0,4,0,0,0,1,0,2,0,1,0,3,4,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"13767.58cfa83ce4b0c9d6adf731dc",0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,69,1,0,0,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,4,0,0,0,1,0,1,0,1,0,2,3,0,6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
