"","Dothideales","Eremomycetales","Mycosphaerellales","Fungi_Ascomycota_Dothideomycetes_other","Pleosporales","Venturiales","Chaetothyriales","Eurotiales","Onygenales","Helotiales","Orbiliales","Fungi_Ascomycota_other_other","Pneumocystidales","Saccharomycetales","Schizosaccharomycetales","Glomerellales","Hypocreales","Magnaporthales","Microascales","Ophiostomatales","Sordariales","Togniniales","Xylariales","Xylonales","Agaricales","Boletales","Corticiales","Gloeophyllales","Polyporales","Russulales","Entylomatales","Georgefischeriales","Microstromatales","Malasseziales","Sporidiobolales","Pucciniales","Tremellales","Trichosporonales","Ustilaginales","Wallemiales","Fungi_Microsporidia_other_other","Glomerales","Mucorales"
"13767.58cfa83ce4b0c9d6adf73032",4,0,20,0,51,7,10,513,52,8,0,1,0,409,1,4,43,40,0,1,40,0,3,1,10,6,3,3,1,6,0,0,1,179,2,1,2,0,3,13,0,82,1
"13767.58cfa830e4b0c9d6adf6c0c5",4,0,8,0,22,2,2,233,16,5,0,0,0,192,1,1,20,14,0,1,18,0,1,0,3,3,2,2,0,4,0,0,0,83,2,0,0,0,0,7,0,40,0
"13767.58cfa83ce4b0c9d6adf72f55",2,0,26,0,19,0,6,68,13,4,0,1,0,28,0,1,8,5,0,0,9,0,0,0,2,3,2,2,4,5,0,0,1,124,15,1,9,1,1,2,1,3,1
"13767.58cfa830e4b0c9d6adf6c092",0,0,8,0,9,0,2,15,0,1,0,0,0,6,0,1,6,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,44,6,0,2,0,0,1,0,0,1
"13767.58cfa830e4b0c9d6adf6c0b4",44,0,68,0,35,8,12,623,65,142,1,1,2,189,0,4,44,42,2,0,31,0,3,0,3,1,1,0,2,5,0,0,2,329,7,2,3,1,5,13,0,84,0
"13767.58cfa83ce4b0c9d6adf72fbb",37,0,64,0,39,8,8,634,71,135,1,0,2,169,1,4,43,42,3,0,29,1,2,0,4,2,0,0,3,4,0,0,2,312,7,2,5,1,3,13,0,85,0
"13767.58cfa832e4b0c9d6adf6d070",0,0,17,0,31,1,6,87,10,0,0,0,0,37,0,2,22,4,0,1,12,0,0,0,14,0,0,0,0,0,0,0,0,807,0,0,0,2,0,0,0,4,0
"13767.58cfa83ce4b0c9d6adf73006",0,0,6,0,11,0,2,27,3,0,0,0,0,7,0,0,9,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,253,0,0,0,2,0,0,0,1,0
"13767.58cfa830e4b0c9d6adf6c0ad",0,0,1,0,6,1,1,78,5,0,0,0,0,17,0,2,8,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,5,0,0,0,0,13,0
"13767.58cfa83ce4b0c9d6adf731dc",0,0,1,0,6,1,1,72,5,0,0,0,0,16,0,1,6,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,5,0,0,0,0,12,0
"13767.58cfa830e4b0c9d6adf6c08c",2,0,18,0,3,0,2,39,0,0,0,0,0,307,0,1,57,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,73,2,2,0,0,1,0,0,0,0
"13767.58cfa830e4b0c9d6adf6c0da",0,0,2,0,11,0,12,78,4,0,0,0,0,8,0,3,9,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,8,0
"13767.58cfa83ce4b0c9d6adf731d1",0,0,2,0,10,1,8,80,5,0,0,0,0,9,0,3,10,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,9,0
"13767.58cfa83ce4b0c9d6adf72f57",2,0,18,0,3,0,2,39,0,0,0,0,0,307,0,1,57,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,73,2,2,0,0,1,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72fda",0,0,0,0,5,1,2,53,6,0,0,0,0,5,0,0,11,6,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,51,0,1,0,0,0,0,0,7,0
"13767.58cfa830e4b0c9d6adf6c084",0,0,0,0,2,0,0,71,5,0,0,0,0,998,0,0,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,4,0
"13767.58cfa830e4b0c9d6adf6c0b0",0,0,0,0,6,1,0,60,7,0,0,0,0,4,0,0,5,7,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,8,0
"13767.58cfa83ce4b0c9d6adf72e76",0,0,1,0,2,0,0,70,3,0,0,0,0,955,0,0,3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,1,0,0,3,0
"13767.58cfa83ce4b0c9d6adf73174",0,0,0,0,0,0,0,30,2,0,0,0,0,5,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
"13767.58cfa832e4b0c9d6adf6cea6",0,0,0,0,1,1,2,184,10,0,0,0,0,16,0,0,9,22,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,10,0
"13767.58cfa83ce4b0c9d6adf731ce",1,0,103,0,3,2,5,184,5,5,0,0,0,63,0,1,31,21,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,68,1,0,0,0,0,14,0,23,0
"13767.58cfa831e4b0c9d6adf6c49c",3,0,224,0,11,5,8,554,27,11,0,0,0,159,0,2,85,71,1,0,22,0,7,1,7,0,0,0,0,0,0,0,0,188,3,0,0,0,2,30,0,61,0
"13767.58cfa830e4b0c9d6adf6c0bb",0,0,10,0,11,0,7,55,7,0,0,0,0,27,0,3,19,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,1,0,0,5,0
"13767.58cfa83ce4b0c9d6adf73194",0,0,10,0,11,0,7,55,7,0,0,0,0,27,0,3,19,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,1,0,0,5,0
"13767.58cfa83ce4b0c9d6adf73046",2,1,1198,0,66,0,40,173,37,17,2,2,3,126,2,94,517,11,7,41,42,10,3,0,5,6,3,1,1,7,0,0,6,386,85,4,12,1,9,15,0,9,1
"13767.58cfa833e4b0c9d6adf6da34",0,0,13,0,10,0,8,27,5,2,4,0,0,6,0,1,3,5,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,4,0
"13767.58cfa832e4b0c9d6adf6d3a2",0,0,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
"13767.58cfa831e4b0c9d6adf6c478",2,1,1199,0,60,0,35,166,39,19,2,1,2,125,2,99,535,12,7,43,45,11,3,0,5,5,3,1,1,7,0,0,6,365,87,3,10,1,9,14,0,9,1
"13767.58cfa830e4b0c9d6adf6c069",0,0,1,0,8,1,1,251,11,0,0,0,0,371,0,3,14,22,1,0,9,0,0,0,2,0,0,0,0,0,0,0,0,62,17,0,2,0,3,0,0,10,0
"13767.58cfa831e4b0c9d6adf6c591",151,0,410,0,47,0,5,59,8,5,0,0,0,18,0,2,24,4,0,1,0,0,1,0,0,0,0,1,0,8,0,0,1,101,0,1,0,2,1,4,0,8,0
"13767.58cfa83ce4b0c9d6adf7300e",10,0,9,0,1,1,4,16,3,0,0,0,0,15,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,71,0,0,0,0,2,0,2,2,0
