"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13767.58cfa83ce4b0c9d6adf73032",1208,230,0,83
"13767.58cfa830e4b0c9d6adf6c0c5",540,106,0,40
"13767.58cfa83ce4b0c9d6adf72f55",190,172,1,4
"13767.58cfa830e4b0c9d6adf6c092",49,57,0,1
"13767.58cfa830e4b0c9d6adf6c0b4",1316,374,0,84
"13767.58cfa83ce4b0c9d6adf72fbb",1293,358,0,85
"13767.58cfa832e4b0c9d6adf6d070",230,823,0,4
"13767.58cfa83ce4b0c9d6adf73006",67,261,0,1
"13767.58cfa830e4b0c9d6adf6c0ad",129,99,0,13
"13767.58cfa83ce4b0c9d6adf731dc",118,92,0,12
"13767.58cfa830e4b0c9d6adf6c08c",437,78,0,0
"13767.58cfa830e4b0c9d6adf6c0da",141,13,0,8
"13767.58cfa83ce4b0c9d6adf731d1",145,15,0,9
"13767.58cfa83ce4b0c9d6adf72f57",437,78,0,0
"13767.58cfa83ce4b0c9d6adf72fda",94,52,0,7
"13767.58cfa830e4b0c9d6adf6c084",1090,12,0,4
"13767.58cfa830e4b0c9d6adf6c0b0",94,44,0,8
"13767.58cfa83ce4b0c9d6adf72e76",1041,18,0,3
"13767.58cfa83ce4b0c9d6adf73174",42,2,0,2
"13767.58cfa832e4b0c9d6adf6cea6",248,16,0,10
"13767.58cfa83ce4b0c9d6adf731ce",430,86,0,23
"13767.58cfa831e4b0c9d6adf6c49c",1191,230,0,61
"13767.58cfa830e4b0c9d6adf6c0bb",149,78,0,5
"13767.58cfa83ce4b0c9d6adf73194",149,78,0,5
"13767.58cfa83ce4b0c9d6adf73046",2394,541,0,10
"13767.58cfa833e4b0c9d6adf6da34",87,27,0,4
"13767.58cfa832e4b0c9d6adf6d3a2",7,21,0,0
"13767.58cfa831e4b0c9d6adf6c478",2408,517,0,10
"13767.58cfa830e4b0c9d6adf6c069",693,86,0,10
"13767.58cfa831e4b0c9d6adf6c591",735,119,0,8
"13767.58cfa83ce4b0c9d6adf7300e",66,77,2,2
"13767.58cfa83ce4b0c9d6adf72e2e",69,34,0,5
"13767.58cfa83ce4b0c9d6adf73130",740,122,0,8
"13767.58cfa83ce4b0c9d6adf72e6d",226,23,0,4
"13767.58cfa830e4b0c9d6adf6c0d0",10,9,0,0
"13767.58cfa830e4b0c9d6adf6c2e9",506,85,0,19
"13767.58cfa830e4b0c9d6adf6c0a9",6,7,0,0
"13767.58cfa831e4b0c9d6adf6c371",750,80,0,39
"13767.58cfa83ce4b0c9d6adf72e86",126,19,0,6
"13767.58cfa83ce4b0c9d6adf73030",302,201,0,12
"13767.58cfa83ce4b0c9d6adf73052",229,20,0,16
"13767.58cfa830e4b0c9d6adf6c268",30,37,0,3
"13767.58cfa83ce4b0c9d6adf73042",158,52,0,5
"13767.58cfa833e4b0c9d6adf6da83",176,26,0,3
"13767.58cfa831e4b0c9d6adf6cdd4",78,25,0,4
"13767.58cfa832e4b0c9d6adf6d26f",588,172,0,15
"13767.58cfa83ce4b0c9d6adf7301f",346,85,0,17
"13767.58cfa83ce4b0c9d6adf73083",38,3,0,1
"13767.58cfa83ce4b0c9d6adf72fd5",6,1,0,1
"13767.58cfa83ce4b0c9d6adf72f6a",134,4,0,7
"13767.58cfa830e4b0c9d6adf6c09a",251,12,0,3
"13767.58cfa832e4b0c9d6adf6d072",25,33,0,4
"13767.58cfa830e4b0c9d6adf6c0a0",196,193,0,3
"13767.58cfa830e4b0c9d6adf6c090",207,29,0,9
"13767.58cfa830e4b0c9d6adf6c2ef",1861,86,0,53
"13767.58cfa831e4b0c9d6adf6c4fb",535,24,0,6
"13767.58cfa832e4b0c9d6adf6d15c",48,44,0,2
"13767.58cfa83ce4b0c9d6adf72f9f",219,11,0,4
"13767.58cfa831e4b0c9d6adf6ca0a",338,68,0,18
"13767.58cfa83ce4b0c9d6adf73038",704,333,0,6
"13767.58cfa830e4b0c9d6adf6c0ce",5,1,0,1
"13767.58cfa83ce4b0c9d6adf72f98",47,73,0,1
"13767.58cfa832e4b0c9d6adf6d18c",116,11,0,3
"13767.58cfa832e4b0c9d6adf6d3a7",808,601,0,31
"13767.58cfa830e4b0c9d6adf6c2f9",134,4,0,7
"13767.58cfa83ce4b0c9d6adf72e14",445,71,0,17
"13767.58cfa832e4b0c9d6adf6d24c",426,455,0,2
"13767.58cfa83ce4b0c9d6adf72f8d",58,41,0,1
"13767.58cfa83ce4b0c9d6adf731b2",66,2,0,9
"13767.58cfa83ce4b0c9d6adf72e8c",1861,86,0,53
"13767.58cfa830e4b0c9d6adf6bfb8",704,333,0,6
"13767.58cfa83ce4b0c9d6adf73063",1030,42,0,9
"13767.58cfa83ce4b0c9d6adf72e7c",539,79,0,1
"13767.58cfa832e4b0c9d6adf6d2b1",57,25,0,2
"13767.58cfa830e4b0c9d6adf6c0b8",60,37,0,1
"13767.58cfa83ce4b0c9d6adf73106",142239,353,0,17
"13767.58cfa83ce4b0c9d6adf72fc6",978,448,0,43
"13767.58cfa831e4b0c9d6adf6c44f",2861,1304,0,21
"13767.58cfa832e4b0c9d6adf6d24a",79,66,0,1
"13767.58cfa832e4b0c9d6adf6d15e",2185,317,0,53
"13767.58cfa831e4b0c9d6adf6c374",1607,233,0,5
"13767.58cfa832e4b0c9d6adf6d11c",64,1,0,10
"13767.58cfa833e4b0c9d6adf6d95b",94,64,0,2
"13767.58cfa831e4b0c9d6adf6cd38",639,16,0,8
"13767.58cfa83ce4b0c9d6adf72ff6",2861,1304,0,21
"13767.58cfa83ce4b0c9d6adf72f30",816,208,1,29
"13767.58cfa831e4b0c9d6adf6c385",978,448,0,43
"13767.58cfa832e4b0c9d6adf6d285",142239,353,0,17
"13767.58cfa83ce4b0c9d6adf7308a",62,10,0,2
"13767.58cfa831e4b0c9d6adf6c4dc",816,208,1,29
"13767.58cfa83ce4b0c9d6adf72de8",12,2,0,0
"13767.58cfa83ce4b0c9d6adf731a0",639,16,0,8
"13767.58cfa83ce4b0c9d6adf72fbe",453,25,0,0
"13767.58cfa832e4b0c9d6adf6d197",177,26,0,6
"13767.58cfa830e4b0c9d6adf6c0c4",367,191,0,36
"13767.58cfa831e4b0c9d6adf6c58c",16,2,0,0
"13767.58cfa831e4b0c9d6adf6caa4",446,26,0,0
"13767.58cfa831e4b0c9d6adf6ca6c",69,5,0,1
"13767.58cfa83ce4b0c9d6adf7317a",74,48,0,10
"13767.58cfa83ce4b0c9d6adf73013",110,17,0,10
"13767.58cfa830e4b0c9d6adf6c03a",402,1272,0,11
"13767.58cfa830e4b0c9d6adf6c314",12,2,0,2
"13767.58cfa830e4b0c9d6adf6bf92",358,82,0,3
"13767.58cfa831e4b0c9d6adf6ca4e",19,288,0,1
"13767.58cfa83ce4b0c9d6adf7317c",159,548,0,4
"13767.58cfa83ce4b0c9d6adf7317e",1844,845,0,16
"13767.58cfa832e4b0c9d6adf6d05a",149,94,0,2
"13767.58cfa83ce4b0c9d6adf73028",812,232,0,9
"13767.58cfa832e4b0c9d6adf6d08c",44,15,0,3
"13767.58cfa83ce4b0c9d6adf72de2",99,30,0,0
"13767.58cfa831e4b0c9d6adf6c9bc",92,46,0,4
"13767.58cfa831e4b0c9d6adf6c49e",1844,845,0,16
"13767.58cfa83ce4b0c9d6adf72d6e",1060,276,0,4
"13767.58cfa832e4b0c9d6adf6d44a",1282,589,0,58
"13767.58cfa83ce4b0c9d6adf7319c",760,573,0,10
"13767.58cfa832e4b0c9d6adf6d4d5",708,7473,0,43
"13767.58cfa83ce4b0c9d6adf72ffa",17,15,0,0
"13767.58cfa831e4b0c9d6adf6c4cc",804,237,0,9
"13767.58cfa831e4b0c9d6adf6c3e0",1380,376,0,76
"13767.58cfa83ce4b0c9d6adf72e44",90,86,0,8
