"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13722.58cfa82fe4b0c9d6adf6b62c",4,17,0,0,0,0,0,0,3,0,0,1,12519,0,1,2,0,0,0,3,0
"13722.58cfa82ee4b0c9d6adf6af20",186,56,0,1,0,0,2,0,11,1,2,0,17944,0,2,67,1,0,0,2,1
"13722.58cfa82fe4b0c9d6adf6b669",9,43,1,0,0,0,12,0,11,0,0,1,20468,0,0,3,1,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b67c",6328,102,2,0,0,0,8,0,13,0,0,4,15119,0,0,1654,7,0,0,3,1
"13722.58cfa82fe4b0c9d6adf6b5f1",763,43,0,0,1,0,4,0,10,0,0,0,21194,0,1,200,1,0,0,2,2
"13722.58cfa82fe4b0c9d6adf6b686",1171,326,4,0,0,22,6,0,43,6,0,34,38501,0,2,301,12,0,0,2,0
"13722.58cfa82fe4b0c9d6adf6b6d8",2,21,0,1,0,0,9,0,6,0,1,0,22755,0,0,4,1,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b648",84201,162,0,0,0,0,8,1,21,1,8,9,16732,0,0,26236,10,0,0,1,1
"13722.58cfa82fe4b0c9d6adf6b60d",59844,209,2,1,0,0,14,0,28,1,29,17,7622,1,0,18408,15,0,0,6,0
"13722.58cfa82fe4b0c9d6adf6b748",5,22,0,0,0,0,3,0,7,0,0,0,25477,0,0,5,0,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b680",114028,76,4,0,0,0,19,0,26,0,39,0,2540,0,2,38838,5,0,0,2,1
"13722.58cfa82fe4b0c9d6adf6b7ca",8,14,0,0,0,0,1,0,7,0,0,0,23172,0,1,5,0,0,0,1,0
