"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13722.58cfa830e4b0c9d6adf6bf28",505,33,1,0,0,0,23,0,12,0,1,1,33351,0,2,180,0,0,0,4,2
"13722.58cfa830e4b0c9d6adf6bf50",169,3,2,0,0,0,4,0,0,0,0,0,20165,0,0,69,1,0,0,0,1
"13722.58cfa830e4b0c9d6adf6bf55",8,26,1,0,1,0,8,0,8,0,0,0,20858,0,0,8,0,0,0,0,1
"13722.58cfa830e4b0c9d6adf6c1a0",67,7,1,0,0,0,4,0,0,0,0,0,19678,0,0,22,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c2a8",332,32,1,0,0,0,7,1,6,0,5,2,17484,0,2,127,1,0,0,2,0
"13722.58cfa830e4b0c9d6adf6c2aa",59,16,0,0,0,0,6,0,7,0,0,0,25447,0,0,21,0,0,0,2,3
"13722.58cfa831e4b0c9d6adf6c34a",6,1,1,0,0,0,1,0,0,0,0,0,4326,0,0,1,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c366",27,1,0,0,0,0,4,0,1,0,0,0,15145,0,0,11,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c37e",24,4,0,0,0,0,1,0,1,0,2,0,18464,0,0,5,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c3b8",3,3,0,0,0,0,1,0,4,0,2,0,19708,0,1,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c3ca",3,3,0,0,0,0,4,0,1,0,1,0,19008,0,0,4,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c3d6",2,3,0,0,0,0,15,0,0,0,0,0,19005,0,0,5,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c3dc",0,2,0,0,0,0,1,0,0,0,0,0,5166,0,0,0,0,0,0,0,0
