"","Saccotheciaceae","Eremomycetaceae","Mycosphaerellaceae","Teratosphaeriaceae","Fungi_Ascomycota_Dothideomycetes_other_other","Didymellaceae","Leptosphaeriaceae","Phaeosphaeriaceae","Pleosporaceae","Sympoventuriaceae","Cyphellophoraceae","Herpotrichiellaceae","Aspergillaceae","Thermoascaceae","Trichocomaceae","Ajellomycetaceae","Arthrodermataceae","Onygenaceae","Fungi_Ascomycota_Eurotiomycetes_Onygenales_other","Helotiaceae","Fungi_Ascomycota_Leotiomycetes_Helotiales_other","Sclerotiniaceae","Orbiliaceae","Fungi_Ascomycota_other_other_other","Pneumocystidaceae","Ascoideaceae","Debaryomycetaceae","Dipodascaceae","Metschnikowiaceae","Fungi_Ascomycota_Saccharomycetes_Saccharomycetales_other","Phaffomycetaceae","Pichiaceae","Saccharomycetaceae","Trichomonascaceae","Schizosaccharomycetaceae","Glomerellaceae","Plectosphaerellaceae","Clavicipitaceae","Cordycipitaceae","Hypocreaceae","Nectriaceae","Ophiocordycipitaceae","Pyriculariaceae","Microascaceae","Ophiostomataceae","Chaetomiaceae","Sordariaceae","Togniniaceae","Sporocadaceae","Xylonaceae","Agaricaceae","Psathyrellaceae","Schizophyllaceae","Coniophoraceae","Serpulaceae","Punctulariaceae","Gloeophyllaceae","Polyporaceae","Bondarzewiaceae","Stereaceae","Fungi_Basidiomycota_Exobasidiomycetes_Entylomatales_other","Tilletiariaceae","Fungi_Basidiomycota_Exobasidiomycetes_Microstromatales_other","Malasseziaceae","Sporidiobolaceae","Pucciniaceae","Cryptococcaceae","Cuniculitremaceae","Tremellaceae","Trichosporonaceae","Ustilaginaceae","Wallemiaceae","Nosematidae","Fungi_Microsporidia_other_other_other","Unikaryonidae","Glomeraceae","Phycomycetaceae","Rhizopodaceae"
"13722.58cfa82fe4b0c9d6adf6b62c",0,0,4,0,0,0,0,0,0,0,0,1,8,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12519,0,1,1,0,0,1,0,0,0,0,0,3,0,0
"13722.58cfa82ee4b0c9d6adf6af20",1,0,182,0,0,0,2,0,1,0,0,2,40,2,0,6,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,3,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,17944,0,2,3,0,0,64,1,0,0,0,0,2,1,0
"13722.58cfa82fe4b0c9d6adf6b669",1,0,6,0,0,0,1,0,1,0,0,3,30,0,0,3,1,0,6,0,0,1,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20468,0,0,2,0,0,1,1,0,0,0,0,1,0,0
"13722.58cfa82fe4b0c9d6adf6b67c",4,0,6319,0,0,0,0,0,5,0,0,4,86,0,0,4,4,0,4,0,2,0,0,0,0,1,3,0,1,0,0,0,3,0,0,0,0,0,0,4,0,0,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,15119,0,0,1,0,0,1653,7,0,0,0,0,3,1,0
"13722.58cfa82fe4b0c9d6adf6b5f1",0,0,760,0,0,0,3,0,0,0,0,4,21,0,0,11,0,0,7,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21194,0,1,2,0,0,198,1,0,0,0,0,2,2,0
"13722.58cfa82fe4b0c9d6adf6b686",31,0,1130,0,0,2,0,0,7,1,0,18,298,0,0,7,0,0,3,0,4,0,0,0,22,1,0,1,4,0,0,0,0,0,0,1,0,0,0,33,1,0,4,1,0,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,33,0,1,38501,0,2,6,0,0,295,12,0,0,0,0,2,0,0
"13722.58cfa82fe4b0c9d6adf6b6d8",0,0,1,0,0,0,1,0,0,0,0,0,9,0,0,4,1,0,7,0,0,0,1,0,0,1,5,0,1,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22755,0,0,3,0,0,1,1,0,0,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b648",4,1,84188,0,0,1,1,0,5,1,0,10,145,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,10,7,0,0,2,0,0,1,0,0,1,7,1,0,0,0,0,0,0,0,0,7,1,1,16732,0,0,4,1,2,26229,10,0,0,0,0,1,1,0
"13722.58cfa82fe4b0c9d6adf6b60d",11,0,59824,1,2,0,1,0,3,2,0,8,190,0,0,6,0,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,15,1,0,3,0,0,1,5,0,1,1,28,0,0,0,0,0,0,0,0,1,15,2,0,7622,1,0,4,4,0,18400,15,0,0,0,0,6,0,0
"13722.58cfa82fe4b0c9d6adf6b748",0,0,5,0,0,0,0,0,0,0,0,1,13,0,0,4,1,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25477,0,0,1,0,2,2,0,0,0,0,0,1,0,0
