"","Saccotheciaceae","Eremomycetaceae","Mycosphaerellaceae","Teratosphaeriaceae","Fungi_Ascomycota_Dothideomycetes_other_other","Didymellaceae","Leptosphaeriaceae","Phaeosphaeriaceae","Pleosporaceae","Sympoventuriaceae","Cyphellophoraceae","Herpotrichiellaceae","Aspergillaceae","Thermoascaceae","Trichocomaceae","Ajellomycetaceae","Arthrodermataceae","Onygenaceae","Fungi_Ascomycota_Eurotiomycetes_Onygenales_other","Helotiaceae","Fungi_Ascomycota_Leotiomycetes_Helotiales_other","Sclerotiniaceae","Orbiliaceae","Fungi_Ascomycota_other_other_other","Pneumocystidaceae","Ascoideaceae","Debaryomycetaceae","Dipodascaceae","Metschnikowiaceae","Fungi_Ascomycota_Saccharomycetes_Saccharomycetales_other","Phaffomycetaceae","Pichiaceae","Saccharomycetaceae","Trichomonascaceae","Schizosaccharomycetaceae","Glomerellaceae","Plectosphaerellaceae","Clavicipitaceae","Cordycipitaceae","Hypocreaceae","Nectriaceae","Ophiocordycipitaceae","Pyriculariaceae","Microascaceae","Ophiostomataceae","Chaetomiaceae","Sordariaceae","Togniniaceae","Sporocadaceae","Xylonaceae","Agaricaceae","Psathyrellaceae","Schizophyllaceae","Coniophoraceae","Serpulaceae","Punctulariaceae","Gloeophyllaceae","Polyporaceae","Bondarzewiaceae","Stereaceae","Fungi_Basidiomycota_Exobasidiomycetes_Entylomatales_other","Tilletiariaceae","Fungi_Basidiomycota_Exobasidiomycetes_Microstromatales_other","Malasseziaceae","Sporidiobolaceae","Pucciniaceae","Cryptococcaceae","Cuniculitremaceae","Tremellaceae","Trichosporonaceae","Ustilaginaceae","Wallemiaceae","Nosematidae","Fungi_Microsporidia_other_other_other","Unikaryonidae","Glomeraceae","Phycomycetaceae","Rhizopodaceae"
"13722.58cfa830e4b0c9d6adf6bf28",0,0,503,0,0,0,1,0,1,0,0,1,23,0,0,5,1,0,3,0,1,0,0,0,0,0,1,0,2,0,0,1,19,0,0,0,2,0,0,2,0,1,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,33351,0,2,1,0,0,179,0,0,0,0,0,4,2,0
"13722.58cfa830e4b0c9d6adf6bf50",1,0,168,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20165,0,0,2,0,0,67,1,0,0,0,0,0,1,0
"13722.58cfa830e4b0c9d6adf6bf55",0,0,8,0,0,0,0,0,0,0,0,2,19,0,0,1,0,0,4,0,0,1,0,1,0,0,1,0,0,0,0,1,6,0,0,1,0,0,0,2,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20858,0,0,5,0,0,3,0,0,0,0,0,0,1,0
"13722.58cfa830e4b0c9d6adf6c1a0",0,0,66,0,0,0,1,0,0,0,0,1,2,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19678,0,0,1,0,0,21,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c2a8",0,0,325,0,1,0,4,0,2,0,0,2,21,0,0,3,3,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,17484,0,2,4,0,0,123,1,0,0,0,0,2,0,0
"13722.58cfa830e4b0c9d6adf6c2aa",1,0,58,0,0,0,0,0,0,0,0,1,9,0,2,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25447,0,0,4,0,0,17,0,0,0,0,0,2,3,0
"13722.58cfa831e4b0c9d6adf6c34a",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4326,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c366",0,0,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15145,0,0,3,0,0,8,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c37e",0,0,18,0,0,0,1,0,5,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18464,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c3b8",0,0,1,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19708,0,1,0,0,0,0,0,0,0,0,0,0,0,0
