"","Aureobasidium","Eremomyces","Ramularia","Sphaerulina","Baudoinia","Bonordeniella","Macroventuria","Leptosphaeria","Parastagonospora","Alternaria","Bipolaris","Pyrenophora","Verruconis","Cyphellophora","Capronia","Cladophialophora","Exophiala","Fonsecaea","Rhinocladiella","Aspergillus","Penicillium","Byssochlamys","Rasamsonia","Talaromyces","Blastomyces","Histoplasma","Arthroderma","Microsporum","Nannizzia","Trichophyton","Uncinocarpus","Coccidioides","Paracoccidioides","Glarea","Phialocephala","Botrytis","Sclerotinia","Arthrobotrys","Saitoella","Pneumocystis","Ascoidea","Babjeviella","Candida","Debaryomyces","Hyphopichia","Lodderomyces","Meyerozyma","Scheffersomyces","Spathaspora","Suhomyces","Yamadazyma","Yarrowia","Clavispora","Metschnikowia","Diutina","Cyberlindnera","Komagataella","Wickerhamomyces","Ogataea","Pichia","Eremothecium","Kazachstania","Kluyveromyces","Lachancea","Nakaseomyces","Naumovozyma","Saccharomyces","Tetrapisispora","Torulaspora","Vanderwaltozyma","Sugiyamaella","Schizosaccharomyces","Colletotrichum","Verticillium","Metarhizium","Cordyceps","Trichoderma","Fusarium","Purpureocillium","Pyricularia","Scedosporium","Sporothrix","Chaetomium","Podospora","Thermothelomyces","Neurospora","Sordaria","Phaeoacremonium","Pestalotiopsis","Xylona","Agaricus","Coprinopsis","Schizophyllum","Coniophora","Serpula","Punctularia","Gloeophyllum","Trametes","Heterobasidion","Stereum","Tilletiopsis","Tilletiaria","Pseudomicrostroma","Malassezia","Rhodotorula","Puccinia","Cryptococcus","Kwoniella","Kockovaella","Tremella","Cutaneotrichosporon","Trichosporon","Anthracocystis","Kalmanozyma","Moesziomyces","Pseudozyma","Sporisorium","Ustilago","Wallemia","Vittaforma","Mitosporidium","Encephalitozoon","Rhizophagus","Phycomyces","Rhizopus"
"13722.58cfa82fe4b0c9d6adf6b62c",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,2,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12519,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
"13722.58cfa82ee4b0c9d6adf6af20",1,0,182,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,40,0,2,0,0,3,3,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,17944,0,2,3,0,0,0,1,63,0,0,0,0,1,0,0,0,0,0,2,1,0
"13722.58cfa82fe4b0c9d6adf6b669",1,0,6,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,30,0,0,0,0,1,2,0,0,0,1,0,2,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20468,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"13722.58cfa82fe4b0c9d6adf6b67c",4,0,6319,0,0,0,0,0,0,4,1,0,0,0,0,1,0,2,1,86,0,0,0,0,2,2,0,0,0,4,0,3,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,15119,0,0,1,0,0,0,15,1638,0,0,7,0,0,0,0,0,0,0,3,1,0
"13722.58cfa82fe4b0c9d6adf6b5f1",0,0,760,0,0,0,0,3,0,0,0,0,0,0,0,3,1,0,0,21,0,0,0,0,4,7,0,0,0,0,0,2,5,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21194,0,1,2,0,0,0,0,198,0,0,1,0,0,0,0,0,0,0,2,2,0
"13722.58cfa82fe4b0c9d6adf6b686",31,0,1129,1,0,0,2,0,0,3,4,0,1,0,0,0,0,0,18,298,0,0,0,0,3,4,0,0,0,0,0,1,2,0,4,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,1,0,4,1,0,0,0,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,33,0,1,38501,0,2,6,0,0,0,74,221,0,0,12,0,0,0,0,0,0,0,2,0,0
"13722.58cfa82fe4b0c9d6adf6b6d8",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,3,0,0,0,1,0,2,5,0,0,0,0,1,0,0,1,0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22755,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b648",4,1,84188,0,0,0,1,1,0,2,3,0,1,0,0,1,1,0,8,145,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,1,0,0,0,10,7,0,0,2,0,0,0,0,1,0,0,0,1,7,1,0,0,0,0,0,0,0,0,7,1,1,16732,0,0,4,0,1,2,49,26180,0,0,10,0,0,0,0,0,0,0,1,1,0
"13722.58cfa82fe4b0c9d6adf6b60d",11,0,59823,1,1,2,0,1,0,1,2,0,2,0,0,1,0,0,7,190,0,0,0,0,1,5,0,0,0,0,0,1,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,10,0,0,0,0,0,2,0,0,0,15,1,0,3,0,0,0,0,1,0,5,0,1,1,28,0,0,0,0,0,0,0,0,1,15,2,0,7622,1,0,4,0,4,0,46,18354,0,0,13,0,2,0,0,0,0,0,6,0,0
"13722.58cfa82fe4b0c9d6adf6b748",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,1,3,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25477,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"13722.58cfa82fe4b0c9d6adf6b680",2,0,114018,0,0,0,0,7,0,0,0,0,1,0,0,2,4,0,0,47,1,4,0,0,3,5,0,0,0,4,0,2,4,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,2,0,0,10,0,0,1,0,0,0,0,1,0,7,4,0,6,0,0,2,0,1,3,2,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,2540,0,2,1,0,0,1,6,38830,1,0,2,0,1,1,0,0,0,0,2,1,0
"13722.58cfa82fe4b0c9d6adf6b7ca",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23172,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
"13722.58cfa82fe4b0c9d6adf6b8c0",0,0,3,0,0,0,0,1,0,2,0,0,1,0,0,0,6,0,0,14,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20646,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b6fc",52,2,1272,0,0,0,1,1,0,9,6,0,2,0,0,3,3,1,12,305,0,0,0,0,0,4,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,2,0,0,51,0,0,2,0,0,1,3,0,3,0,0,0,11,1,0,0,0,0,0,0,0,0,1,23,0,3,4821,0,0,5,0,2,2,73,141,0,0,23,0,0,0,0,0,0,0,1,0,0
"13722.58cfa82fe4b0c9d6adf6b8d9",1,0,60,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,4,1,0,0,0,0,0,2,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34855,0,1,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,2,0
"13722.58cfa830e4b0c9d6adf6bb6a",0,0,1588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15094,2,0,1,0,0,1,0,504,0,0,0,0,0,0,0,0,0,0,1,0,0
"13722.58cfa82fe4b0c9d6adf6b6f8",0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,20,0,0,0,0,2,2,1,0,0,0,0,4,3,0,0,2,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8685,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
"13722.58cfa82fe4b0c9d6adf6b6c4",0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20628,0,0,3,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6b092",0,0,603,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464,0,0,1,0,0,0,0,190,0,0,1,0,0,0,0,0,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b62e",0,0,6925,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,18,0,0,0,0,0,4,0,0,0,0,0,3,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,5,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17963,0,0,3,0,0,0,1,2178,0,0,0,0,0,0,0,0,0,0,2,2,0
