"","Dothideales","Eremomycetales","Mycosphaerellales","Fungi_Ascomycota_Dothideomycetes_other","Pleosporales","Venturiales","Chaetothyriales","Eurotiales","Onygenales","Helotiales","Orbiliales","Fungi_Ascomycota_other_other","Pneumocystidales","Saccharomycetales","Schizosaccharomycetales","Glomerellales","Hypocreales","Magnaporthales","Microascales","Ophiostomatales","Sordariales","Togniniales","Xylariales","Xylonales","Agaricales","Boletales","Corticiales","Gloeophyllales","Polyporales","Russulales","Entylomatales","Georgefischeriales","Microstromatales","Malasseziales","Sporidiobolales","Pucciniales","Tremellales","Trichosporonales","Ustilaginales","Wallemiales","Fungi_Microsporidia_other_other","Glomerales","Mucorales"
"13722.58cfa82fe4b0c9d6adf6b62c",0,0,4,0,0,0,1,8,8,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12519,0,1,1,1,0,0,0,3,0
"13722.58cfa82ee4b0c9d6adf6af20",1,0,182,0,3,0,2,42,12,0,1,0,0,2,0,2,1,3,0,0,5,0,0,1,0,0,0,0,0,2,0,0,0,17944,0,2,3,64,1,0,0,2,1
"13722.58cfa82fe4b0c9d6adf6b669",1,0,6,0,2,0,3,30,10,1,0,0,0,12,0,0,2,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,20468,0,0,2,1,1,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b67c",4,0,6319,0,5,0,4,86,12,2,0,0,0,8,0,0,4,5,1,0,3,0,0,0,0,0,0,0,0,0,3,1,0,15119,0,0,1,1653,7,0,0,3,1
"13722.58cfa82fe4b0c9d6adf6b5f1",0,0,760,0,3,0,4,21,18,0,0,1,0,4,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21194,0,1,2,198,1,0,0,2,2
"13722.58cfa82fe4b0c9d6adf6b686",31,0,1130,0,9,1,18,298,10,4,0,0,22,6,0,1,34,4,1,0,3,0,0,6,0,0,0,0,0,0,33,0,1,38501,0,2,6,295,12,0,0,2,0
"13722.58cfa82fe4b0c9d6adf6b6d8",0,0,1,0,1,0,0,9,12,0,1,0,0,9,0,2,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,22755,0,0,3,1,1,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b648",4,1,84188,0,7,1,10,145,7,0,0,0,0,8,1,1,17,0,2,0,1,0,0,1,8,0,0,0,0,0,7,1,1,16732,0,0,7,26229,10,0,0,1,1
"13722.58cfa82fe4b0c9d6adf6b60d",11,0,59825,2,4,2,8,190,11,2,1,0,0,14,0,2,16,3,0,0,6,0,1,1,28,0,0,0,0,1,15,2,0,7622,1,0,8,18400,15,0,0,6,0
"13722.58cfa82fe4b0c9d6adf6b748",0,0,5,0,0,0,1,13,8,0,0,0,0,3,0,0,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,25477,0,0,3,2,0,0,0,1,0
