"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13722.58cfa82fe4b0c9d6adf6b62c",24,12523,0,3
"13722.58cfa82ee4b0c9d6adf6af20",257,18016,0,3
"13722.58cfa82fe4b0c9d6adf6b669",76,20473,0,1
"13722.58cfa82fe4b0c9d6adf6b67c",6453,16784,0,4
"13722.58cfa82fe4b0c9d6adf6b5f1",821,21396,0,4
"13722.58cfa82fe4b0c9d6adf6b686",1578,38850,0,2
"13722.58cfa82fe4b0c9d6adf6b6d8",39,22761,0,0
"13722.58cfa82fe4b0c9d6adf6b648",84394,42995,0,2
"13722.58cfa82fe4b0c9d6adf6b60d",60099,26092,0,6
"13722.58cfa82fe4b0c9d6adf6b748",37,25482,0,1
"13722.58cfa82fe4b0c9d6adf6b680",114153,41424,0,3
"13722.58cfa82fe4b0c9d6adf6b7ca",30,23178,0,1
"13722.58cfa82fe4b0c9d6adf6b8c0",32,20653,0,1
"13722.58cfa82fe4b0c9d6adf6b6fc",1767,5095,0,1
"13722.58cfa82fe4b0c9d6adf6b8d9",124,34877,0,5
"13722.58cfa830e4b0c9d6adf6bb6a",1610,15603,0,1
"13722.58cfa82fe4b0c9d6adf6b6f8",58,8691,0,4
"13722.58cfa82fe4b0c9d6adf6b6c4",24,20636,0,0
"13722.58cfa82ee4b0c9d6adf6b092",623,12656,0,0
"13722.58cfa82fe4b0c9d6adf6b62e",6977,20145,0,4
"13722.58cfa82fe4b0c9d6adf6b696",34793,33794,0,9
"13722.58cfa82fe4b0c9d6adf6b701",58,27911,0,2
"13722.58cfa82fe4b0c9d6adf6b8d4",73,36774,0,0
"13722.58cfa82fe4b0c9d6adf6b896",30,15027,0,3
"13722.58cfa82fe4b0c9d6adf6b8f2",27,14395,0,3
"13722.58cfa82fe4b0c9d6adf6b697",96659,51312,0,3
"13722.58cfa82fe4b0c9d6adf6b904",71,14458,0,4
"13722.58cfa82fe4b0c9d6adf6b9ea",252,29683,0,3
"13722.58cfa82fe4b0c9d6adf6b9dd",1083,12130,0,1
"13722.58cfa82fe4b0c9d6adf6b9c6",71261,35655,0,4
