"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13722.58cfa830e4b0c9d6adf6bf28",574,33535,0,6
"13722.58cfa830e4b0c9d6adf6bf50",178,20235,0,1
"13722.58cfa830e4b0c9d6adf6bf55",52,20866,0,1
"13722.58cfa830e4b0c9d6adf6c1a0",79,19700,0,0
"13722.58cfa830e4b0c9d6adf6c2a8",379,17621,0,2
"13722.58cfa830e4b0c9d6adf6c2aa",88,25468,0,5
"13722.58cfa831e4b0c9d6adf6c34a",9,4327,0,0
"13722.58cfa831e4b0c9d6adf6c366",33,15156,0,0
"13722.58cfa831e4b0c9d6adf6c37e",30,18471,0,0
"13722.58cfa831e4b0c9d6adf6c3b8",11,19711,0,0
"13722.58cfa831e4b0c9d6adf6c3ca",11,19013,0,0
"13722.58cfa831e4b0c9d6adf6c3d6",20,19010,0,0
"13722.58cfa831e4b0c9d6adf6c3dc",3,5166,0,0
"13722.58cfa831e4b0c9d6adf6c39a",11,19923,0,0
"13722.58cfa831e4b0c9d6adf6c481",11,26447,0,0
"13722.58cfa831e4b0c9d6adf6c57b",2,4526,0,0
"13722.58cfa831e4b0c9d6adf6c5c8",16,5550,0,1
"13722.58cfa831e4b0c9d6adf6c61a",18,16774,0,0
"13722.58cfa831e4b0c9d6adf6c5ed",319,5872,0,0
"13722.58cfa831e4b0c9d6adf6c73a",9,9524,0,0
"13722.58cfa831e4b0c9d6adf6c836",7,16539,0,2
"13722.58cfa830e4b0c9d6adf6bf5c",6,3639,0,0
"13722.58cfa831e4b0c9d6adf6c32f",17,6085,0,0
"13722.58cfa831e4b0c9d6adf6c332",8,6789,0,0
"13722.58cfa831e4b0c9d6adf6c33c",17,26641,0,0
"13722.58cfa831e4b0c9d6adf6c33e",17,6084,0,0
"13722.58cfa831e4b0c9d6adf6c342",17,26641,0,0
"13722.58cfa831e4b0c9d6adf6c3aa",2,4831,0,0
"13722.58cfa831e4b0c9d6adf6c388",6,7880,0,0
"13722.58cfa831e4b0c9d6adf6c3ac",0,3276,0,0
"13722.58cfa831e4b0c9d6adf6c3da",15,32119,0,2
"13722.58cfa831e4b0c9d6adf6c45f",0,1293,0,0
"13722.58cfa831e4b0c9d6adf6c476",107,1690,0,0
"13722.58cfa831e4b0c9d6adf6c590",8,6789,0,0
"13722.58cfa831e4b0c9d6adf6c4c0",52,12486,0,1
"13722.58cfa831e4b0c9d6adf6c6ea",1783,6941,0,0
"13722.58cfa831e4b0c9d6adf6c720",1,3844,0,0
"13722.58cfa831e4b0c9d6adf6c7fb",4,4676,0,0
"13722.58cfa831e4b0c9d6adf6c889",20,13499,0,0
"13722.58cfa831e4b0c9d6adf6c8a6",14,12826,0,1
"13722.58cfa831e4b0c9d6adf6cae8",18,26929,0,1
"13722.58cfa830e4b0c9d6adf6bf52",208,26447,0,0
"13722.58cfa830e4b0c9d6adf6bf66",5,3664,0,0
"13722.58cfa830e4b0c9d6adf6bf32",397,32399,0,2
"13722.58cfa830e4b0c9d6adf6bfdf",5,5804,0,0
"13722.58cfa830e4b0c9d6adf6bf08",145,18312,0,4
"13722.58cfa830e4b0c9d6adf6bf54",66,36236,0,4
"13722.58cfa830e4b0c9d6adf6c319",5,7766,0,0
"13722.58cfa830e4b0c9d6adf6c310",21,19379,0,0
"13722.58cfa831e4b0c9d6adf6c338",18,24069,0,1
"13722.58cfa831e4b0c9d6adf6c3b2",18,24069,0,1
"13722.58cfa831e4b0c9d6adf6c49a",2,4039,0,0
"13722.58cfa831e4b0c9d6adf6c59e",15,24509,0,1
"13722.58cfa831e4b0c9d6adf6c5a0",15,24509,0,1
"13722.58cfa831e4b0c9d6adf6c5ce",0,3713,0,0
"13722.58cfa831e4b0c9d6adf6c5cc",6,1795,0,0
"13722.58cfa831e4b0c9d6adf6c667",7,7913,0,0
"13722.58cfa831e4b0c9d6adf6c746",3,5840,0,1
"13722.58cfa831e4b0c9d6adf6c77f",6,3156,0,0
"13722.58cfa831e4b0c9d6adf6c7f3",30,6346,0,0
"13722.58cfa831e4b0c9d6adf6c98e",3,4994,0,0
"13722.58cfa830e4b0c9d6adf6bf61",203,10336,0,4
"13722.58cfa830e4b0c9d6adf6bfd3",219,20741,0,0
"13722.58cfa831e4b0c9d6adf6c375",41,4809,0,0
"13722.58cfa831e4b0c9d6adf6c356",41,4809,0,0
"13722.58cfa831e4b0c9d6adf6c3d2",0,4899,0,0
"13722.58cfa831e4b0c9d6adf6c3ce",7,20568,0,2
"13722.58cfa831e4b0c9d6adf6c458",4,5248,0,0
"13722.58cfa831e4b0c9d6adf6c47e",13,9890,0,1
"13722.58cfa831e4b0c9d6adf6c4a2",8,4774,0,0
"13722.58cfa831e4b0c9d6adf6c4e7",110,10674,0,3
"13722.58cfa831e4b0c9d6adf6c55a",2,4222,0,0
"13722.58cfa831e4b0c9d6adf6c661",20,14345,0,0
"13722.58cfa831e4b0c9d6adf6c67d",16,5551,0,1
"13722.58cfa831e4b0c9d6adf6c718",331,7217,0,0
"13722.58cfa831e4b0c9d6adf6c71e",4,5153,0,0
"13722.58cfa830e4b0c9d6adf6bf16",524,15144,0,0
"13722.58cfa830e4b0c9d6adf6bf18",219,17164,0,0
"13722.58cfa830e4b0c9d6adf6bf3c",78,10361,0,0
"13722.58cfa830e4b0c9d6adf6bf72",108,6835,0,0
"13722.58cfa830e4b0c9d6adf6bf6a",10,7212,0,0
"13722.58cfa830e4b0c9d6adf6bf80",9,4937,0,0
"13722.58cfa830e4b0c9d6adf6bf7a",14,8377,0,0
"13722.58cfa830e4b0c9d6adf6bfa8",12,5392,0,0
"13722.58cfa830e4b0c9d6adf6bf9c",19,13060,0,0
"13722.58cfa830e4b0c9d6adf6bf48",347,11745,0,2
"13722.58cfa831e4b0c9d6adf6c392",86,6910,0,0
"13722.58cfa831e4b0c9d6adf6c4c8",234,10095,0,0
"13722.58cfa831e4b0c9d6adf6c4f9",94,11942,0,1
"13722.58cfa831e4b0c9d6adf6c3a8",51,15177,0,0
"13722.58cfa831e4b0c9d6adf6c4fd",75,10298,0,0
"13722.58cfa831e4b0c9d6adf6c61f",89,6528,0,0
"13722.58cfa831e4b0c9d6adf6cca2",13,13114,0,0
"13722.58cfa830e4b0c9d6adf6bf2e",64,10816,0,1
"13722.58cfa830e4b0c9d6adf6bf0e",144,10691,0,2
"13722.58cfa830e4b0c9d6adf6bf83",17,9430,0,0
"13722.58cfa830e4b0c9d6adf6bf30",721,13535,0,4
"13722.58cfa830e4b0c9d6adf6bfa4",15,13288,0,0
"13722.58cfa830e4b0c9d6adf6bfa9",3,3962,0,0
"13722.58cfa831e4b0c9d6adf6c36c",63,13213,0,0
"13722.58cfa831e4b0c9d6adf6c36d",106,11877,0,1
"13722.58cfa831e4b0c9d6adf6c5e4",13,9142,0,0
"13722.58cfa831e4b0c9d6adf6c8cc",26,6426,0,0
"13722.58cfa830e4b0c9d6adf6bf21",165,17839,0,0
"13722.58cfa830e4b0c9d6adf6bf77",86,9324,0,0
"13722.58cfa830e4b0c9d6adf6bf1f",824,16224,0,5
"13722.58cfa830e4b0c9d6adf6bf9f",19,15845,0,0
"13722.58cfa830e4b0c9d6adf6bfe8",3,3556,0,0
"13722.58cfa830e4b0c9d6adf6c29e",38,5662,0,0
"13722.58cfa830e4b0c9d6adf6c2da",9,4599,0,0
"13722.58cfa830e4b0c9d6adf6c2ec",5,4898,0,1
"13722.58cfa831e4b0c9d6adf6c384",41,17134,0,2
"13722.58cfa831e4b0c9d6adf6c4ce",53,9525,0,1
"13722.58cfa830e4b0c9d6adf6c147",248,5682,0,0
"13722.58cfa830e4b0c9d6adf6c1a1",682,5646,0,0
"13722.58cfa831e4b0c9d6adf6c5ab",144,8897,0,0
"13722.58cfa831e4b0c9d6adf6c5ae",497,7404,0,0
"13722.58cfa831e4b0c9d6adf6c5c2",144,8897,0,0
"13722.58cfa831e4b0c9d6adf6c64c",497,7406,0,0
"13722.58cfa831e4b0c9d6adf6c6d8",581,7349,0,0
"13722.58cfa830e4b0c9d6adf6bf1c",299,48342,0,5
"13722.58cfa830e4b0c9d6adf6bf60",31,28418,0,0
"13722.58cfa830e4b0c9d6adf6bf68",4,1279,0,0
"13722.58cfa830e4b0c9d6adf6bf95",3,4382,0,1
"13722.58cfa830e4b0c9d6adf6bf14",135,40880,0,4
"13722.58cfa830e4b0c9d6adf6c290",8,31708,0,2
"13722.58cfa830e4b0c9d6adf6c312",8,6477,0,0
"13722.58cfa830e4b0c9d6adf6c2d6",3,8045,0,0
"13722.58cfa830e4b0c9d6adf6c2e4",1,6500,0,0
"13722.58cfa831e4b0c9d6adf6c350",0,3612,0,0
"13722.58cfa831e4b0c9d6adf6c37a",19,18342,0,2
"13722.58cfa831e4b0c9d6adf6c465",43,18735,0,2
