"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13767.58cfa838e4b0c9d6adf70e1c",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf6ff56",0,9,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf7270c",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf725dc",0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf6ff9b",2,47,0,0,0,0,8,0,19,0,0,0,1,0,0,0,0,0,0,3,0
"13767.58cfa83be4b0c9d6adf726ca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf7013a",0,5,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf701d0",1,25,0,0,0,0,9,0,17,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa837e4b0c9d6adf701d5",0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6ff90",1,33,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa837e4b0c9d6adf6ff10",1,63,0,0,0,0,11,0,32,1,0,0,0,0,1,0,1,0,0,4,0
"13767.58cfa837e4b0c9d6adf6ff16",0,11,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6ff46",0,34,0,0,0,0,6,0,10,0,0,0,1,0,0,0,0,0,0,3,0
"13767.58cfa837e4b0c9d6adf70312",0,25,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6febc",1,19,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf7018f",0,8,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf6ff93",2,40,0,0,0,0,7,0,15,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa837e4b0c9d6adf6ff40",0,38,1,0,0,0,3,0,11,0,0,0,0,0,1,0,0,0,0,2,0
"13767.58cfa837e4b0c9d6adf6ffd6",0,21,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70447",2,55,0,0,0,0,8,0,25,0,0,0,1,0,1,0,0,0,0,4,0
"13767.58cfa837e4b0c9d6adf701ca",0,14,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf6ffa2",0,10,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf7008f",0,30,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6fed8",2,115,0,0,0,0,23,0,49,1,0,0,0,0,0,0,0,0,0,6,0
"13767.58cfa837e4b0c9d6adf7009c",0,2,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf700e6",1,20,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa837e4b0c9d6adf70116",0,9,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf6fea4",0,11,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6feca",0,20,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6ff3a",1,10,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6ff30",1,23,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf7051c",0,13,0,0,0,0,3,0,5,0,0,0,2,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6ff58",1,76,0,0,0,0,13,0,27,0,0,0,0,0,0,0,0,0,0,4,0
"13767.58cfa837e4b0c9d6adf6fef2",0,37,0,0,0,0,9,0,18,0,0,0,0,0,1,0,0,0,0,2,0
"13767.58cfa837e4b0c9d6adf6ff96",1,61,0,0,0,0,9,0,22,1,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa837e4b0c9d6adf6fed6",0,13,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6feda",1,36,0,0,0,0,7,0,14,0,0,0,1,0,0,0,0,0,0,2,0
"13767.58cfa837e4b0c9d6adf6ff1e",0,30,0,0,0,0,4,0,17,0,0,0,2,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6ff2c",0,17,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf702be",1,35,0,0,0,0,5,0,18,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa837e4b0c9d6adf6fec3",2,34,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa837e4b0c9d6adf6fe9e",4,170,0,0,0,0,25,0,59,1,0,0,1,0,1,0,0,0,0,9,0
"13767.58cfa837e4b0c9d6adf6ff36",0,10,0,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf70140",0,19,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6feae",0,20,0,0,0,0,2,0,9,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6feba",0,41,0,0,0,0,7,0,17,0,0,0,0,0,0,0,0,0,0,3,0
"13767.58cfa837e4b0c9d6adf6fe7c",1,14,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf703bd",0,9,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa83be4b0c9d6adf72688",0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf6fee8",2,33,0,0,0,0,8,0,17,0,0,0,0,0,0,0,0,0,0,1,0
