"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13767.58cfa837e4b0c9d6adf6fd52",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf6fdcc",1,46,0,0,0,0,6,0,16,0,0,0,0,0,0,0,0,0,0,3,0
"13767.58cfa837e4b0c9d6adf6fd7d",0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf6fdcd",1,91,0,0,0,0,11,0,35,0,0,0,4,0,0,0,0,0,0,4,0
"13767.58cfa837e4b0c9d6adf6fd6e",0,26,0,0,0,0,4,0,10,0,0,0,0,0,1,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6fde6",0,13,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf6fe00",1,40,0,0,0,0,8,0,19,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa837e4b0c9d6adf6fd28",0,8,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6fde2",1,20,0,0,0,0,2,0,11,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6fdbb",0,25,0,0,0,0,5,0,9,0,0,0,1,0,2,0,0,0,0,3,0
"13767.58cfa837e4b0c9d6adf6fcbc",1,21,0,0,0,0,4,0,10,0,0,0,2,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6fe34",0,17,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6fe4e",0,6,0,0,0,0,1,0,4,0,0,0,1,0,1,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6fea6",0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf6fccc",0,13,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6fd36",1,80,0,0,0,0,12,0,30,1,0,0,0,0,1,0,0,0,0,5,0
"13767.58cfa837e4b0c9d6adf6fda2",0,16,0,0,0,0,4,0,7,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6fd64",0,11,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6fcca",0,19,0,0,0,0,3,0,7,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6fdc6",0,21,0,0,0,0,4,0,10,0,0,0,1,0,0,0,0,0,0,2,0
"13767.58cfa837e4b0c9d6adf6fdfc",0,23,0,0,0,0,3,0,8,0,0,0,2,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6fd90",0,15,0,0,0,0,2,0,6,0,0,0,3,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6fe4a",0,37,0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,3,0
"13767.58cfa837e4b0c9d6adf6fe5c",0,5,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6fe5e",0,21,0,0,0,0,3,0,10,0,0,0,5,0,0,0,0,0,0,2,0
"13767.58cfa837e4b0c9d6adf6fdd7",0,45,0,0,0,0,6,0,12,0,0,0,0,0,1,0,0,0,0,2,0
"13767.58cfa837e4b0c9d6adf6fdea",0,14,0,0,0,0,2,0,5,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6fe36",0,23,0,0,0,0,4,0,7,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6fd3a",0,13,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf6fdf8",0,8,0,0,0,0,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0
