"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13767.58cfa83ce4b0c9d6adf72d28",86863,64,0,0,0,0,11,0,57,1,0,0,6,0,0,38249,1,0,0,3,0
"13767.58cfa83ce4b0c9d6adf72cd0",103321,20,0,0,0,0,4,0,25,0,1,0,5,1,1,49198,0,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72cd8",91213,24,0,0,0,0,6,0,32,0,0,0,13,0,0,44615,1,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72cf2",393,5,0,0,0,0,3,0,7,0,0,0,9,0,1,190,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72dd2",919,20,0,0,0,0,9,0,9,0,1,0,10,0,0,481,0,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72cfb",266,11,0,0,0,0,4,0,7,0,31,1,3,2,0,134,5,0,0,1,1
"13767.58cfa83ce4b0c9d6adf72d1d",76428,9,0,0,0,0,4,0,15,0,1,0,21,0,0,33230,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72d1c",127741,17,0,0,0,0,3,0,24,0,0,0,15,2,2,61872,1,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72b7a",3966,314,15,2,1,2,114,4,887,0,15,4,153,18,3,2225,11,2,1,9,2
"13767.58cfa83ce4b0c9d6adf72d2a",89560,25,0,0,0,0,6,0,18,0,1,0,29,1,0,39833,1,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72cd6",17283,18,1,0,0,0,37,0,13,0,2,0,23,0,4,6734,1,1,0,1,0
"13767.58cfa835e4b0c9d6adf6ec34",0,7,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72d02",13424,33,0,0,0,0,4,0,29,0,0,0,32,2,0,6275,0,0,1,1,0
"13767.58cfa83ce4b0c9d6adf72ce0",230,71,0,0,0,0,11,0,30,0,0,0,0,0,1,112,0,0,0,2,0
"13767.58cfa834e4b0c9d6adf6e6b7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72b11",13773,10632,1344,213,73,51,2527,129,4288,1,641,33,764,166,27,2904,239,18,5,62,54
"13767.58cfa83ce4b0c9d6adf72d24",18194,59,9,1,0,0,10,2,54,0,5,0,6,1,0,7399,0,0,0,2,0
"13767.58cfa83ce4b0c9d6adf72d0e",73884,3,0,0,0,0,3,0,11,0,0,0,20,0,0,35164,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72da0",48437,58,0,0,0,0,12,0,33,0,1,0,49,1,0,23807,1,0,0,2,0
"13767.58cfa83ce4b0c9d6adf72d08",5783,31,0,1,0,0,3,0,93526,0,3,1,35,1,2,2525,1,0,0,0,1
"13767.58cfa83ce4b0c9d6adf72cf7",133987,47,2,0,0,0,8,0,88,0,3,1,26,1,0,66279,3,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72cee",7527,41,1,0,2,0,13,3,121587,0,11,7,393,4,1,3381,16,0,0,2,1
"13767.58cfa83ce4b0c9d6adf72d2e",7673,16,1,0,0,0,1,0,123182,1,2,0,15,2,0,3642,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72cc8",3181,747,108,18,8,18,218,47,401,0,113,11,326,28,11,1472,53,32,8,40,17
"13767.58cfa83ce4b0c9d6adf72b1e",14803,59,0,0,0,0,13,2,37,0,7,1,96,5,1,7941,3,7,0,3,2
"13767.58cfa83be4b0c9d6adf728ea",754,410,7,2,1,3,66,6,189,1,25,5,173,5,4,444,11,4,3,13,4
"13767.58cfa835e4b0c9d6adf6edf6",2,92,0,0,0,0,14,0,37,1,0,0,3,0,1,0,0,0,0,4,0
"13767.58cfa83ce4b0c9d6adf72cfa",5005,26,0,0,0,0,4,0,83620,0,0,0,22,0,0,2264,0,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72d0a",462,47,0,0,0,0,4,0,28,0,1,0,10,0,0,239,1,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72d25",1810,25,0,0,0,0,6,0,25,0,2,0,10,0,2,724,0,0,0,1,0
"13767.58cfa83be4b0c9d6adf72886",10885,222,11,1,2,3,107,9,130,1,22,13,537,6,6,6141,18,3,0,4,3
"13767.58cfa83ce4b0c9d6adf72c48",644,83,7,1,0,1,14,0,47,1,3,1,95,0,1,326,1,1,0,3,0
"13767.58cfa83ce4b0c9d6adf72d32",374,14,0,0,0,0,3,0,15,0,1,0,11,0,0,151,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72af2",9327,1735,28,3,6,4,124,14,155906,1,28,3,516,15,2,5293,48,2,1,8,3
"13767.58cfa83be4b0c9d6adf728ae",14062,80,2,0,1,3,23,4,73,1,26,2,121,4,1,7883,8,21,1,3,2
"13767.58cfa834e4b0c9d6adf6e475",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf728fc",2563,118,9,2,0,0,32,3,136,0,11,3,108,3,1,873,1,0,0,2,2
"13767.58cfa83ce4b0c9d6adf72d52",49569,168,0,0,0,0,22,0,87,0,2,0,3,3,18,23312,7,0,0,6,2
"13767.58cfa83be4b0c9d6adf728bc",3218,189,6,1,1,2,77,4,666,1,10,4,128,9,5,1751,5,2,0,5,2
"13767.58cfa83ce4b0c9d6adf72bcc",2709,60,2,3,0,0,18,0,34,0,2,1,35,8,1,1313,0,1,1,2,1
"13767.58cfa83ce4b0c9d6adf72c8e",172601,31,0,0,0,0,3,0,53,0,1,0,23,0,0,93079,1,0,0,1,0
"13767.58cfa83be4b0c9d6adf72882",558,753,66,9,6,12,199,32,422,0,79,10,420,21,7,388,36,42,5,19,7
"13767.58cfa83ce4b0c9d6adf72b06",4735,406,35,3,3,10,118,14,927,3,51,20,947,41,9,2579,31,7,1,13,9
"13767.58cfa83ce4b0c9d6adf72c95",25416,22,1,0,0,0,4,1,427984,0,74,0,18,2,0,13936,4,0,0,1,1
"13767.58cfa83be4b0c9d6adf729ba",490,53,0,0,0,1,18,0,69,0,5,1,37,2,1,278,3,0,0,2,0
"13767.58cfa83ce4b0c9d6adf72d38",375,14,0,0,0,0,5,0,33,0,2,0,21,2,0,171,1,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72bff",281261,269,1,0,0,0,51,0,166,0,6,0,919,1,3,144671,0,0,0,10,1
"13767.58cfa83ce4b0c9d6adf72cf6",8481,17,0,0,0,0,4,0,13,0,0,0,11,0,0,3767,0,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72c72",100685,79,1,0,0,0,13,0,73,0,3,0,34,1,1,47935,2,2,0,3,0
"13767.58cfa83be4b0c9d6adf72923",397,103,2,1,0,0,26,2,90,1,2,3,224,4,2,172,3,0,0,3,1
"13767.58cfa83be4b0c9d6adf7292e",3819,301,39,1,1,4,101,2,226,1,19,7,3979,7,3,1225,10,2,1,6,3
"13767.58cfa834e4b0c9d6adf6e2c6",0,10,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa83be4b0c9d6adf728cc",6301,539,44,6,9,17,169,28,487,0,151,110,3416,55,13,3707,122,18,2,8,16
