"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13767.58cfa83be4b0c9d6adf725a7",3,147,0,0,0,0,32,0,65,0,0,0,0,0,0,0,0,0,0,5,0
"13767.58cfa837e4b0c9d6adf70304",0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70c2b",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70483",0,6,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf70302",0,10,0,0,0,0,3,0,7,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa834e4b0c9d6adf6e28c",0,7,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71d4a",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf7030c",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf7066e",3,99,0,0,0,0,19,0,42,1,2,0,1,0,1,0,0,0,0,5,0
"13767.58cfa838e4b0c9d6adf70ba0",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf704d9",1,31,0,0,0,0,5,0,13,0,0,0,1,0,1,0,0,0,0,2,0
"13767.58cfa832e4b0c9d6adf6d6ca",0,4,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e5b7",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf704c9",0,16,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf706ce",0,9,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf70307",0,26,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf70dca",0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf72422",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e5d3",0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa83ae4b0c9d6adf71d9c",0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70dd4",0,6,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa83be4b0c9d6adf722e0",0,8,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa834e4b0c9d6adf6e7cf",0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa83ae4b0c9d6adf71d08",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa839e4b0c9d6adf71558",0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e537",0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70557",0,9,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70db0",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf702fc",5,234,0,0,0,0,49,0,92,1,0,0,1,0,3,0,0,0,0,21,2
"13767.58cfa835e4b0c9d6adf6f136",1,8,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf703f0",1,34,0,0,0,0,4,1,7,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa83be4b0c9d6adf721d8",0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70c26",0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa83be4b0c9d6adf723a7",0,9,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70c9c",1,36,0,0,0,0,5,0,16,0,0,0,0,0,1,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70499",0,19,0,0,0,0,3,0,10,0,0,0,0,0,1,0,0,0,0,1,0
"13767.58cfa834e4b0c9d6adf6e6fc",0,14,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70467",1,75,0,0,0,0,15,0,30,0,0,0,0,0,1,0,0,0,0,6,0
"13767.58cfa834e4b0c9d6adf6e866",0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa83ae4b0c9d6adf71862",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70495",0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf71f40",0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa839e4b0c9d6adf714d8",0,5,0,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e52b",1,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70461",9,375,0,0,0,0,61,2,161,1,0,0,1,0,2,0,0,0,0,21,1
"13767.58cfa838e4b0c9d6adf7063e",0,7,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa83be4b0c9d6adf71f43",0,8,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf702ea",0,27,0,0,0,0,4,0,13,0,0,0,1,0,1,0,0,0,0,1,0
