"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13767.58cfa834e4b0c9d6adf6e5d7",0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa833e4b0c9d6adf6d94a",3,177,0,0,0,0,37,0,81,1,0,0,1,0,1,0,1,0,0,18,0
"13767.58cfa833e4b0c9d6adf6d9ad",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf702c9",0,33,0,0,0,0,7,0,15,0,0,0,1,0,0,0,0,0,0,2,0
"13767.58cfa833e4b0c9d6adf6da04",0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa835e4b0c9d6adf6eee2",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf703f9",1,79,0,0,0,0,13,0,30,1,0,0,17,0,1,0,0,0,0,5,0
"13767.58cfa834e4b0c9d6adf6e57c",0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e493",1,55,0,0,0,0,7,0,23,0,0,0,0,0,1,0,0,0,0,4,0
"13767.58cfa833e4b0c9d6adf6da15",0,7,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa834e4b0c9d6adf6e568",2,126,0,0,0,0,30,0,55,0,0,0,0,0,0,0,0,0,0,7,0
"13767.58cfa838e4b0c9d6adf705c4",0,15,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa834e4b0c9d6adf6e699",0,32,0,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,4,0
"13767.58cfa837e4b0c9d6adf70316",0,5,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e5b2",0,8,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e400",2,60,0,0,0,0,11,0,22,0,0,0,0,0,1,0,0,0,0,3,0
"13767.58cfa834e4b0c9d6adf6e87e",0,11,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa833e4b0c9d6adf6d93b",1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e79a",0,10,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa834e4b0c9d6adf6e5ea",1,71,0,1,0,0,10,0,27,0,0,0,2,0,1,0,0,0,0,5,0
"13767.58cfa833e4b0c9d6adf6d9f5",0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e5bc",1,84,0,0,0,0,17,0,38,0,0,0,0,0,1,0,0,0,0,5,0
"13767.58cfa834e4b0c9d6adf6e5c0",0,18,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa83be4b0c9d6adf7268b",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e588",0,15,0,0,0,0,3,0,9,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa835e4b0c9d6adf6f1c6",0,14,0,0,0,0,3,0,5,0,0,0,2,0,0,0,0,0,0,2,0
"13767.58cfa833e4b0c9d6adf6d8dc",1,35,0,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa835e4b0c9d6adf6f170",0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e802",0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa834e4b0c9d6adf6e569",1,29,0,0,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa833e4b0c9d6adf6db01",0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf725c2",0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e48b",0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa833e4b0c9d6adf6dbb6",2,104,0,0,0,0,20,0,48,0,0,0,0,0,1,0,0,0,0,11,0
"13767.58cfa833e4b0c9d6adf6dec8",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa833e4b0c9d6adf6d9f4",0,27,0,0,0,0,4,0,8,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa833e4b0c9d6adf6d9b3",0,15,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa833e4b0c9d6adf6db66",0,24,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa834e4b0c9d6adf6e800",0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e8ce",1,30,0,0,0,0,6,0,12,0,0,0,0,0,1,0,0,0,0,2,0
"13767.58cfa835e4b0c9d6adf6f17c",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e5cd",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa833e4b0c9d6adf6dade",0,36,0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,3,0
"13767.58cfa837e4b0c9d6adf70406",1,106,0,0,0,0,18,0,44,0,0,0,0,0,0,0,0,0,0,8,0
"13767.58cfa834e4b0c9d6adf6e6ac",0,9,0,0,0,0,3,0,6,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa834e4b0c9d6adf6e589",0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa833e4b0c9d6adf6d865",0,31,0,0,0,0,7,0,11,0,0,0,2,0,0,0,0,0,0,2,0
"13767.58cfa834e4b0c9d6adf6e7cd",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e48f",2,86,0,0,0,0,15,0,32,0,0,0,1,0,0,0,0,0,0,6,0
