"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13767.58cfa838e4b0c9d6adf7055c",1,13,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70b5c",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70510",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70546",0,17,0,0,0,0,2,0,6,0,0,0,2,0,0,0,0,0,0,1,0
"13767.58cfa832e4b0c9d6adf6d812",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf705d4",0,9,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70e34",0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf709e2",0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf705b7",1,27,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf70620",0,19,0,0,0,0,2,0,8,0,0,0,1,0,1,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf705f8",0,24,0,0,0,0,5,0,7,0,0,0,0,0,1,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70554",0,16,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf7035c",0,14,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70659",0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa832e4b0c9d6adf6d71d",0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf7042d",0,32,0,0,0,0,5,0,9,0,0,0,1,0,0,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf705e6",1,106,0,0,0,0,23,0,42,0,0,0,0,0,0,0,0,0,0,6,0
"13767.58cfa838e4b0c9d6adf705fe",0,12,0,0,0,0,3,0,3,0,0,0,2,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf7039b",1,34,0,0,0,0,5,0,13,0,0,0,1,0,0,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf70455",2,74,0,0,0,0,17,0,30,1,0,0,2,0,1,0,0,0,0,4,0
"13767.58cfa837e4b0c9d6adf70360",0,21,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70a3b",0,14,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf7045d",0,25,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf705ea",0,23,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70604",0,6,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70594",0,15,0,0,0,0,3,0,8,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf7040a",1,34,0,0,0,0,5,0,18,0,0,0,1,0,1,0,0,0,0,3,0
"13767.58cfa837e4b0c9d6adf7039e",1,31,0,0,0,0,6,0,13,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf709e8",0,8,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf7038e",0,16,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf702a6",0,17,0,0,0,0,2,0,3,0,0,0,2,0,1,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf7054f",0,8,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf708ea",1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa832e4b0c9d6adf6d6c6",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70bc8",0,17,0,0,0,0,3,0,8,0,0,0,1,0,0,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf704a6",0,20,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa832e4b0c9d6adf6d7bc",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa832e4b0c9d6adf6d757",0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70608",1,36,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa837e4b0c9d6adf70388",0,8,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa832e4b0c9d6adf6d796",0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70506",0,16,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70479",0,18,0,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa833e4b0c9d6adf6da19",1,27,0,0,0,0,7,0,16,0,0,0,0,0,1,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70445",1,39,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,3,0
"13767.58cfa832e4b0c9d6adf6d82e",0,10,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa832e4b0c9d6adf6d701",0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf709e4",0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf709ba",0,6,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf703d5",0,17,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf705ee",0,10,0,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf705f0",1,28,0,0,0,0,7,0,10,0,0,0,0,0,1,0,0,0,0,1,0
"13767.58cfa83be4b0c9d6adf71fa8",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70d85",0,13,0,0,0,0,2,0,7,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa832e4b0c9d6adf6d7c9",0,4,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa833e4b0c9d6adf6d917",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70706",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70518",0,21,0,0,0,0,2,0,8,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70dba",0,14,0,0,0,0,3,1,5,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf7043d",0,30,0,0,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf705c2",0,12,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70540",0,10,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf704f8",0,22,0,0,0,0,4,0,10,0,0,0,1,0,0,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf704f7",2,55,0,0,0,0,12,0,21,0,0,0,1,0,0,0,0,0,0,4,0
"13767.58cfa838e4b0c9d6adf70f51",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa832e4b0c9d6adf6d72e",0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf706da",0,30,0,0,0,0,7,0,17,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf705be",1,15,0,0,0,0,2,0,6,0,0,0,1,0,0,0,0,0,0,1,0
