"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13767.58cfa838e4b0c9d6adf704ff",0,71,0,0,0,0,11,0,27,0,0,0,1,0,1,0,0,0,0,3,0
"13767.58cfa834e4b0c9d6adf6e42b",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf703ac",0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa836e4b0c9d6adf6fb16",0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e66d",0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf70364",2,50,0,0,0,0,10,0,21,0,0,0,1,0,0,0,0,0,0,3,0
"13767.58cfa834e4b0c9d6adf6e698",0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0
"13767.58cfa834e4b0c9d6adf6e9d7",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71cd0",0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa836e4b0c9d6adf6fba0",3,200,0,0,0,0,41,0,73,1,0,0,0,0,2,0,1,0,0,11,1
"13767.58cfa834e4b0c9d6adf6e768",0,3,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e820",0,4,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e582",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf703fe",12,438,0,0,0,0,85,0,201,1,1,0,0,0,4,0,0,0,0,34,3
"13767.58cfa834e4b0c9d6adf6e9db",1,16,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa83ae4b0c9d6adf71cca",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e784",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa836e4b0c9d6adf6fb89",17,637,1,0,0,0,122,1,275,3,1,0,0,0,5,0,1,0,0,38,1
