"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13767.58cfa838e4b0c9d6adf70de7",0,7,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa83be4b0c9d6adf722c0",0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf709f6",0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf7275c",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71743",0,54,0,0,0,0,6,0,21,0,0,0,1,0,0,0,0,0,0,3,0
"13767.58cfa838e4b0c9d6adf70628",0,20,0,0,0,0,5,0,10,0,0,0,0,0,1,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf70da2",1,25,0,0,0,0,5,0,17,0,0,0,16,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70685",0,4,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70618",0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf7068d",2,68,0,0,0,0,13,0,27,0,0,0,1,0,1,0,0,0,0,4,0
"13767.58cfa838e4b0c9d6adf70e68",2,131,0,3,0,0,26,0,65,0,0,0,5,0,2,0,1,0,0,7,0
"13767.58cfa838e4b0c9d6adf70638",0,14,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf7052f",2,65,0,0,0,0,11,0,30,0,0,0,0,0,0,0,0,0,0,4,0
"13767.58cfa838e4b0c9d6adf70b0d",0,9,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf7065c",0,35,0,0,0,0,8,0,21,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf7067c",0,13,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf7061a",4,151,0,0,0,0,34,0,64,1,0,0,0,0,0,0,0,0,0,7,0
"13767.58cfa838e4b0c9d6adf70634",0,22,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf7069e",0,27,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf709fe",5,187,0,0,0,0,32,0,75,1,0,0,2,0,1,0,0,0,0,9,0
"13767.58cfa83be4b0c9d6adf7258b",0,26,0,0,0,0,2,0,12,0,0,0,2,0,0,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf705d9",2,133,0,3,0,0,24,0,62,1,0,0,1,0,1,0,0,0,0,7,1
"13767.58cfa838e4b0c9d6adf7063a",0,6,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70b45",0,13,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf705b6",1,60,0,0,0,0,11,0,25,0,0,0,0,0,0,0,0,0,0,5,0
"13767.58cfa838e4b0c9d6adf7068a",2,67,0,0,0,0,15,0,29,0,0,0,1,0,1,0,0,0,0,4,0
"13767.58cfa83be4b0c9d6adf7258d",0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf72034",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf706e8",1,93,0,0,0,0,15,0,31,1,0,0,0,0,1,0,0,0,0,5,0
"13767.58cfa838e4b0c9d6adf70530",1,39,0,0,0,0,7,0,18,0,0,0,1,0,0,0,0,0,0,3,0
"13767.58cfa838e4b0c9d6adf706eb",5,144,0,0,0,0,34,0,62,1,0,0,2,0,1,0,0,0,0,9,0
"13767.58cfa838e4b0c9d6adf70644",0,15,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70a06",2,36,0,0,0,0,8,0,23,0,0,0,0,0,0,0,0,0,0,3,0
"13767.58cfa838e4b0c9d6adf70650",0,19,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf709d8",0,14,0,0,0,0,4,0,7,0,0,0,1,0,0,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf70696",4,253,0,0,0,0,51,0,98,1,0,0,3,0,1,0,0,0,0,10,6
"13767.58cfa838e4b0c9d6adf70b16",0,5,0,0,0,0,2,0,6,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70614",1,30,0,0,0,0,6,0,13,0,0,0,2,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf7098a",0,3,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70f54",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70596",0,21,0,0,0,0,4,0,7,0,0,0,2,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf7098c",0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf705a2",0,45,0,0,0,0,12,0,20,0,0,0,1,0,0,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf70a3e",0,43,0,0,0,0,6,0,16,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf70642",0,33,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf7096c",0,35,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,3,0
"13767.58cfa838e4b0c9d6adf7064e",0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf709b4",2,88,0,0,0,0,19,0,35,0,0,0,2,0,0,0,0,0,0,4,0
"13767.58cfa838e4b0c9d6adf70f50",1,52,0,0,0,0,13,0,29,0,0,0,2,0,2,0,0,0,0,3,0
"13767.58cfa838e4b0c9d6adf70e21",3,137,0,0,0,0,24,0,43,0,0,0,0,0,2,2,0,0,0,8,1
"13767.58cfa838e4b0c9d6adf70692",1,44,0,0,0,0,7,0,20,0,0,0,1,0,0,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf70636",0,8,0,0,0,0,2,0,6,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf7202c",0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf7068c",0,7,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70bd7",0,24,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa839e4b0c9d6adf7102c",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70b7e",1,67,0,0,0,0,17,0,28,0,0,0,1,0,1,0,0,0,0,4,0
"13767.58cfa838e4b0c9d6adf709ec",0,24,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf707f4",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa839e4b0c9d6adf71034",0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70a40",0,7,0,0,0,0,3,0,4,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa83ae4b0c9d6adf718a8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70db6",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf707c4",2,146,0,1,0,0,29,0,64,1,0,0,2,0,1,0,0,0,0,9,0
"13767.58cfa838e4b0c9d6adf709ac",1,61,0,0,0,0,11,0,25,0,0,0,1,0,0,0,0,0,0,4,0
"13767.58cfa838e4b0c9d6adf70e52",1,33,0,1,0,0,5,0,16,0,0,0,2,0,0,0,0,0,0,2,0
"13767.58cfa83ae4b0c9d6adf71d67",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf7180d",0,5,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70822",1,77,0,0,0,0,15,0,36,0,0,0,0,0,1,0,0,0,0,5,0
"13767.58cfa838e4b0c9d6adf70e1f",1,47,0,0,0,0,10,0,23,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa839e4b0c9d6adf71154",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf707cf",2,55,0,1,0,0,10,0,24,0,0,0,0,0,2,0,0,0,0,3,1
"13767.58cfa838e4b0c9d6adf709b6",0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70994",1,53,0,0,0,0,11,0,26,0,0,0,1,0,0,0,0,0,0,3,0
"13767.58cfa838e4b0c9d6adf70808",0,43,0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf70646",0,10,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70944",0,15,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70847",1,59,0,0,0,0,12,0,21,0,0,0,0,0,1,0,0,0,0,4,0
"13767.58cfa838e4b0c9d6adf70660",0,10,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70b44",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70e12",0,50,0,0,0,0,8,0,18,0,0,0,1,0,1,0,0,0,0,2,0
"13767.58cfa838e4b0c9d6adf709ea",0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf709a8",1,14,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70964",0,8,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0
