"","Saccotheciaceae","Eremomycetaceae","Mycosphaerellaceae","Teratosphaeriaceae","Fungi_Ascomycota_Dothideomycetes_other_other","Didymellaceae","Leptosphaeriaceae","Phaeosphaeriaceae","Pleosporaceae","Sympoventuriaceae","Cyphellophoraceae","Herpotrichiellaceae","Aspergillaceae","Thermoascaceae","Trichocomaceae","Ajellomycetaceae","Arthrodermataceae","Onygenaceae","Fungi_Ascomycota_Eurotiomycetes_Onygenales_other","Helotiaceae","Fungi_Ascomycota_Leotiomycetes_Helotiales_other","Sclerotiniaceae","Orbiliaceae","Fungi_Ascomycota_other_other_other","Pneumocystidaceae","Ascoideaceae","Debaryomycetaceae","Dipodascaceae","Metschnikowiaceae","Fungi_Ascomycota_Saccharomycetes_Saccharomycetales_other","Phaffomycetaceae","Pichiaceae","Saccharomycetaceae","Trichomonascaceae","Schizosaccharomycetaceae","Glomerellaceae","Plectosphaerellaceae","Clavicipitaceae","Cordycipitaceae","Hypocreaceae","Nectriaceae","Ophiocordycipitaceae","Pyriculariaceae","Microascaceae","Ophiostomataceae","Chaetomiaceae","Sordariaceae","Togniniaceae","Sporocadaceae","Xylonaceae","Agaricaceae","Psathyrellaceae","Schizophyllaceae","Coniophoraceae","Serpulaceae","Punctulariaceae","Gloeophyllaceae","Polyporaceae","Bondarzewiaceae","Stereaceae","Fungi_Basidiomycota_Exobasidiomycetes_Entylomatales_other","Tilletiariaceae","Fungi_Basidiomycota_Exobasidiomycetes_Microstromatales_other","Malasseziaceae","Sporidiobolaceae","Pucciniaceae","Cryptococcaceae","Cuniculitremaceae","Tremellaceae","Trichosporonaceae","Ustilaginaceae","Wallemiaceae","Nosematidae","Fungi_Microsporidia_other_other_other","Unikaryonidae","Glomeraceae","Phycomycetaceae","Rhizopodaceae"
"13767.58cfa83ce4b0c9d6adf72d28",0,0,86862,0,0,0,1,0,0,0,0,0,50,1,1,5,4,0,3,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,0,1,0,2,0,2,33,0,12,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,38248,1,0,0,0,0,3,0,0
"13767.58cfa83ce4b0c9d6adf72cd0",0,0,103319,0,0,0,0,2,0,0,0,0,16,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,1,0,4,14,0,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1,1,0,0,49197,0,0,0,0,0,1,0,0
"13767.58cfa83ce4b0c9d6adf72cd8",0,0,91208,0,0,0,1,2,2,0,0,0,16,0,2,2,1,1,2,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,4,0,2,0,1,14,0,4,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,1,0,44613,1,0,0,0,0,1,0,0
"13767.58cfa83ce4b0c9d6adf72cf2",0,0,387,0,0,0,0,1,5,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,0,189,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72dd2",2,0,911,0,0,0,1,2,2,1,0,0,15,0,1,2,1,0,1,0,0,0,0,0,0,0,2,0,2,0,4,0,1,0,0,0,0,1,0,0,4,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,1,0,478,0,0,0,0,0,1,0,0
"13767.58cfa83ce4b0c9d6adf72cfb",0,0,260,0,0,1,1,4,0,0,0,0,7,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,5,2,0,1,3,8,3,3,3,3,0,0,1,3,2,0,4,1,0,129,5,0,0,0,0,1,1,0
"13767.58cfa83ce4b0c9d6adf72d1d",2,0,76426,0,0,0,0,0,0,0,0,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,10,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,33230,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72d1c",1,0,127735,0,0,0,0,3,2,0,0,0,12,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,3,0,0,13,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,2,1,0,0,61871,1,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72b7a",12,0,3908,4,0,2,4,17,16,3,0,47,168,12,14,21,20,6,26,4,3,8,2,1,2,1,33,2,13,6,17,4,33,5,4,14,2,7,0,9,812,0,17,1,2,6,14,0,3,0,2,1,0,0,2,5,1,1,1,2,0,0,4,153,18,3,6,5,2,2212,11,2,0,1,0,9,2,0
"13767.58cfa83ce4b0c9d6adf72d2a",0,0,89556,0,0,0,1,2,1,0,0,0,13,0,3,3,2,0,4,0,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,1,0,2,0,1,10,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,1,0,1,1,0,39831,1,0,0,0,0,1,0,0
