"","Aureobasidium","Eremomyces","Ramularia","Sphaerulina","Baudoinia","Bonordeniella","Macroventuria","Leptosphaeria","Parastagonospora","Alternaria","Bipolaris","Pyrenophora","Verruconis","Cyphellophora","Capronia","Cladophialophora","Exophiala","Fonsecaea","Rhinocladiella","Aspergillus","Penicillium","Byssochlamys","Rasamsonia","Talaromyces","Blastomyces","Histoplasma","Arthroderma","Microsporum","Nannizzia","Trichophyton","Uncinocarpus","Coccidioides","Paracoccidioides","Glarea","Phialocephala","Botrytis","Sclerotinia","Arthrobotrys","Saitoella","Pneumocystis","Ascoidea","Babjeviella","Candida","Debaryomyces","Hyphopichia","Lodderomyces","Meyerozyma","Scheffersomyces","Spathaspora","Suhomyces","Yamadazyma","Yarrowia","Clavispora","Metschnikowia","Diutina","Cyberlindnera","Komagataella","Wickerhamomyces","Ogataea","Pichia","Eremothecium","Kazachstania","Kluyveromyces","Lachancea","Nakaseomyces","Naumovozyma","Saccharomyces","Tetrapisispora","Torulaspora","Vanderwaltozyma","Sugiyamaella","Schizosaccharomyces","Colletotrichum","Verticillium","Metarhizium","Cordyceps","Trichoderma","Fusarium","Purpureocillium","Pyricularia","Scedosporium","Sporothrix","Chaetomium","Podospora","Thermothelomyces","Neurospora","Sordaria","Phaeoacremonium","Pestalotiopsis","Xylona","Agaricus","Coprinopsis","Schizophyllum","Coniophora","Serpula","Punctularia","Gloeophyllum","Trametes","Heterobasidion","Stereum","Tilletiopsis","Tilletiaria","Pseudomicrostroma","Malassezia","Rhodotorula","Puccinia","Cryptococcus","Kwoniella","Kockovaella","Tremella","Cutaneotrichosporon","Trichosporon","Anthracocystis","Kalmanozyma","Moesziomyces","Pseudozyma","Sporisorium","Ustilago","Wallemia","Vittaforma","Mitosporidium","Encephalitozoon","Rhizophagus","Phycomyces","Rhizopus"
"13767.58cfa83ce4b0c9d6adf72d28",0,0,86862,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,2,1,0,1,3,2,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,33,0,12,0,0,1,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,38248,0,0,1,0,0,0,0,0,0,0,3,0,0
"13767.58cfa83ce4b0c9d6adf72cd0",0,0,103319,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,14,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,49197,0,0,0,0,0,0,0,0,0,0,1,0,0
"13767.58cfa83ce4b0c9d6adf72cd8",0,0,91208,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,15,1,0,0,2,1,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,14,0,4,0,1,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,1,0,0,44613,0,0,0,0,1,0,0,0,0,0,1,0,0
"13767.58cfa83ce4b0c9d6adf72cf2",0,0,387,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72dd2",2,0,911,0,0,0,0,1,2,2,0,0,1,0,0,0,0,0,0,15,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,1,0,0,478,0,0,0,0,0,0,0,0,0,0,1,0,0
"13767.58cfa83ce4b0c9d6adf72cfb",0,0,260,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,1,3,8,3,3,3,3,0,0,1,3,2,0,4,0,1,0,0,129,0,1,1,1,2,0,0,0,0,0,1,1,0
"13767.58cfa83ce4b0c9d6adf72d1d",2,0,76426,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,10,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,33230,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72d1c",1,0,127735,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,12,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,13,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,2,1,0,0,0,0,61871,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72b7a",12,0,3905,3,4,0,2,4,17,15,1,0,3,0,0,8,7,32,0,164,4,12,0,14,14,7,3,3,3,11,6,10,16,4,3,3,5,2,1,2,1,2,10,1,2,3,13,1,1,0,0,2,12,1,6,0,0,17,2,2,1,0,4,5,0,1,17,1,2,2,5,4,14,2,7,0,9,812,0,17,1,2,3,1,2,12,2,0,3,0,2,1,0,0,2,5,1,1,1,2,0,0,4,153,18,3,6,0,5,2,0,2212,0,1,2,1,6,1,2,0,1,0,9,2,0
"13767.58cfa83ce4b0c9d6adf72d2a",0,0,89555,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,13,0,0,0,3,2,1,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,1,10,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,1,0,1,0,1,0,0,39831,0,0,0,0,1,0,0,0,0,0,1,0,0
