"","Dothideales","Eremomycetales","Mycosphaerellales","Fungi_Ascomycota_Dothideomycetes_other","Pleosporales","Venturiales","Chaetothyriales","Eurotiales","Onygenales","Helotiales","Orbiliales","Fungi_Ascomycota_other_other","Pneumocystidales","Saccharomycetales","Schizosaccharomycetales","Glomerellales","Hypocreales","Magnaporthales","Microascales","Ophiostomatales","Sordariales","Togniniales","Xylariales","Xylonales","Agaricales","Boletales","Corticiales","Gloeophyllales","Polyporales","Russulales","Entylomatales","Georgefischeriales","Microstromatales","Malasseziales","Sporidiobolales","Pucciniales","Tremellales","Trichosporonales","Ustilaginales","Wallemiales","Fungi_Microsporidia_other_other","Glomerales","Mucorales"
"13767.58cfa83ce4b0c9d6adf72d28",0,0,86862,0,1,0,0,52,12,0,0,0,0,11,0,1,37,12,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,38248,1,0,0,3,0
"13767.58cfa83ce4b0c9d6adf72cd0",0,0,103319,0,2,0,0,18,2,0,0,0,0,4,0,1,19,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5,1,1,1,49197,0,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72cd8",0,0,91208,0,5,0,0,18,6,0,0,0,0,6,0,4,17,4,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,44613,1,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72cf2",0,0,387,0,6,0,0,4,1,0,0,0,0,3,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,189,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72dd2",2,0,911,0,5,1,0,16,4,0,0,0,0,9,0,0,5,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,3,478,0,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72cfb",0,0,260,0,6,0,0,8,3,0,0,0,0,4,0,1,5,1,0,0,0,0,0,0,7,4,8,3,3,6,0,0,1,3,2,0,5,129,5,0,0,1,1
"13767.58cfa83ce4b0c9d6adf72d1d",2,0,76426,0,0,0,1,6,2,0,0,0,0,4,0,1,11,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0,33230,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72d1c",1,0,127735,0,5,0,0,14,3,0,0,0,0,3,0,3,16,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,2,2,1,61871,1,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72b7a",12,0,3912,0,39,3,47,194,73,15,2,1,2,114,4,16,828,17,1,2,20,0,3,0,3,2,5,1,1,3,0,0,4,153,18,3,13,2212,11,2,1,9,2
"13767.58cfa83ce4b0c9d6adf72d2a",0,0,89556,0,4,0,0,16,9,0,0,0,0,6,0,1,13,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,29,1,0,2,39831,1,0,0,1,0
