"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13767.58cfa837e4b0c9d6adf6fcf8",1,0,0,0
"13767.58cfa83be4b0c9d6adf7268c",0,1,0,0
"13767.58cfa834e4b0c9d6adf6e9c6",1,0,0,1
"13767.58cfa834e4b0c9d6adf6e9fd",7,1,0,0
"13767.58cfa835e4b0c9d6adf6ed90",4,1,0,0
"13767.58cfa834e4b0c9d6adf6ea38",2,1,0,0
"13767.58cfa83be4b0c9d6adf725d6",3,0,0,0
"13767.58cfa83be4b0c9d6adf7233c",6,1,0,0
"13767.58cfa834e4b0c9d6adf6ea05",1,0,0,0
"13767.58cfa833e4b0c9d6adf6dcaa",0,1,0,0
"13767.58cfa83be4b0c9d6adf7257e",2,0,0,0
"13767.58cfa835e4b0c9d6adf6ec66",5,2,0,0
"13767.58cfa833e4b0c9d6adf6dc92",1,0,0,0
"13767.58cfa834e4b0c9d6adf6ea04",9,0,0,0
"13767.58cfa83be4b0c9d6adf722e6",3,0,0,0
"13767.58cfa835e4b0c9d6adf6edcc",22,0,0,1
"13767.58cfa835e4b0c9d6adf6ec6a",13,0,0,1
"13767.58cfa833e4b0c9d6adf6de53",1,1,0,0
"13767.58cfa833e4b0c9d6adf6dd49",5,0,0,0
"13767.58cfa834e4b0c9d6adf6ea20",12,0,0,0
"13767.58cfa834e4b0c9d6adf6e1fe",55,0,0,2
"13767.58cfa833e4b0c9d6adf6df14",9,0,0,0
"13767.58cfa833e4b0c9d6adf6db85",2,0,0,0
"13767.58cfa834e4b0c9d6adf6e13d",1,0,0,0
"13767.58cfa83be4b0c9d6adf72600",11,1,0,0
"13767.58cfa833e4b0c9d6adf6dfd6",6,0,0,0
"13767.58cfa833e4b0c9d6adf6dd6a",8,0,0,1
"13767.58cfa833e4b0c9d6adf6df58",7,0,0,0
"13767.58cfa83be4b0c9d6adf72608",0,3,0,0
"13767.58cfa833e4b0c9d6adf6df38",5,0,0,0
"13767.58cfa837e4b0c9d6adf7030a",42,0,0,1
"13767.58cfa833e4b0c9d6adf6dff4",1,0,0,0
"13767.58cfa837e4b0c9d6adf6fcc2",23,3,0,1
"13767.58cfa838e4b0c9d6adf707d9",160,2,0,4
"13767.58cfa833e4b0c9d6adf6dad2",13,0,0,1
"13767.58cfa833e4b0c9d6adf6dace",5,1,0,1
"13767.58cfa83be4b0c9d6adf7290a",5,1,0,0
"13767.58cfa838e4b0c9d6adf70733",23,0,0,1
"13767.58cfa834e4b0c9d6adf6e0c6",0,1,0,0
