"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13767.58cfa838e4b0c9d6adf70e1c",2,0,0,0
"13767.58cfa837e4b0c9d6adf6ff56",14,0,0,0
"13767.58cfa83be4b0c9d6adf7270c",2,1,0,0
"13767.58cfa83be4b0c9d6adf725dc",4,0,0,0
"13767.58cfa837e4b0c9d6adf6ff9b",76,1,0,3
"13767.58cfa83be4b0c9d6adf726ca",0,1,0,0
"13767.58cfa837e4b0c9d6adf7013a",10,0,0,0
"13767.58cfa837e4b0c9d6adf701d0",52,0,0,2
"13767.58cfa837e4b0c9d6adf701d5",10,0,0,1
"13767.58cfa837e4b0c9d6adf6ff90",54,0,0,2
"13767.58cfa837e4b0c9d6adf6ff10",108,2,0,4
"13767.58cfa837e4b0c9d6adf6ff16",17,0,0,1
"13767.58cfa837e4b0c9d6adf6ff46",50,1,0,3
"13767.58cfa837e4b0c9d6adf70312",36,0,0,1
"13767.58cfa837e4b0c9d6adf6febc",27,0,0,1
"13767.58cfa837e4b0c9d6adf7018f",11,0,0,0
"13767.58cfa837e4b0c9d6adf6ff93",64,0,0,2
"13767.58cfa837e4b0c9d6adf6ff40",53,1,0,2
"13767.58cfa837e4b0c9d6adf6ffd6",36,0,0,1
"13767.58cfa838e4b0c9d6adf70447",90,2,0,4
"13767.58cfa837e4b0c9d6adf701ca",17,1,0,0
"13767.58cfa837e4b0c9d6adf6ffa2",20,0,0,0
"13767.58cfa837e4b0c9d6adf7008f",45,0,0,1
"13767.58cfa837e4b0c9d6adf6fed8",190,0,0,6
"13767.58cfa837e4b0c9d6adf7009c",6,2,0,0
"13767.58cfa837e4b0c9d6adf700e6",33,0,0,2
"13767.58cfa837e4b0c9d6adf70116",16,0,0,0
"13767.58cfa837e4b0c9d6adf6fea4",17,1,0,1
"13767.58cfa837e4b0c9d6adf6feca",29,0,0,1
"13767.58cfa837e4b0c9d6adf6ff3a",20,0,0,1
"13767.58cfa837e4b0c9d6adf6ff30",32,0,0,1
"13767.58cfa838e4b0c9d6adf7051c",21,2,0,1
"13767.58cfa837e4b0c9d6adf6ff58",117,0,0,4
"13767.58cfa837e4b0c9d6adf6fef2",64,1,0,2
"13767.58cfa837e4b0c9d6adf6ff96",94,0,0,2
"13767.58cfa837e4b0c9d6adf6fed6",19,0,0,1
"13767.58cfa837e4b0c9d6adf6feda",58,1,0,2
"13767.58cfa837e4b0c9d6adf6ff1e",51,2,0,1
"13767.58cfa837e4b0c9d6adf6ff2c",26,0,0,1
"13767.58cfa837e4b0c9d6adf702be",59,0,0,2
"13767.58cfa837e4b0c9d6adf6fec3",55,0,0,2
"13767.58cfa837e4b0c9d6adf6fe9e",259,2,0,9
"13767.58cfa837e4b0c9d6adf6ff36",16,1,0,1
"13767.58cfa837e4b0c9d6adf70140",30,0,0,1
"13767.58cfa837e4b0c9d6adf6feae",31,1,0,1
"13767.58cfa837e4b0c9d6adf6feba",65,0,0,3
"13767.58cfa837e4b0c9d6adf6fe7c",25,0,0,1
"13767.58cfa837e4b0c9d6adf703bd",12,1,0,1
"13767.58cfa83be4b0c9d6adf72688",2,1,0,0
"13767.58cfa837e4b0c9d6adf6fee8",60,0,0,1
"13767.58cfa837e4b0c9d6adf703b8",6,0,0,0
"13767.58cfa837e4b0c9d6adf6fef0",74,1,0,3
"13767.58cfa837e4b0c9d6adf6ff27",52,0,0,2
"13767.58cfa837e4b0c9d6adf6fe90",133,2,0,4
"13767.58cfa837e4b0c9d6adf6febe",34,1,0,2
"13767.58cfa837e4b0c9d6adf701e8",14,0,0,1
"13767.58cfa83ae4b0c9d6adf71a3c",0,1,0,0
"13767.58cfa837e4b0c9d6adf6ffcb",104,1,0,4
"13767.58cfa837e4b0c9d6adf7015d",16,0,0,2
"13767.58cfa837e4b0c9d6adf6fedc",45,0,0,1
"13767.58cfa837e4b0c9d6adf6ff9e",4,0,0,0
"13767.58cfa837e4b0c9d6adf6ff0e",2,0,0,0
"13767.58cfa837e4b0c9d6adf6ffc2",52,0,0,2
"13767.58cfa837e4b0c9d6adf6fec2",25,0,0,1
"13767.58cfa837e4b0c9d6adf701c0",18,0,0,1
"13767.58cfa837e4b0c9d6adf6ff24",28,0,0,1
"13767.58cfa837e4b0c9d6adf6fecf",22,1,0,1
"13767.58cfa837e4b0c9d6adf6fe98",41,0,0,1
"13767.58cfa83be4b0c9d6adf725f2",0,1,0,0
"13767.58cfa837e4b0c9d6adf6ffa0",94,0,0,3
"13767.58cfa837e4b0c9d6adf70144",40,1,0,1
"13767.58cfa837e4b0c9d6adf6ff32",10,0,0,0
"13767.58cfa837e4b0c9d6adf6ff37",21,1,0,1
"13767.58cfa837e4b0c9d6adf700a1",22,0,0,1
"13767.58cfa838e4b0c9d6adf70561",69,2,0,3
"13767.58cfa837e4b0c9d6adf6fed4",28,2,0,1
"13767.58cfa837e4b0c9d6adf70136",56,0,0,3
"13767.58cfa837e4b0c9d6adf6ff1a",117,1,0,3
"13767.58cfa837e4b0c9d6adf70342",100,0,0,3
"13767.58cfa837e4b0c9d6adf6fedf",27,1,0,1
"13767.58cfa838e4b0c9d6adf70b6f",11,0,0,1
"13767.58cfa837e4b0c9d6adf70167",14,0,0,1
"13767.58cfa837e4b0c9d6adf70150",28,0,0,2
"13767.58cfa837e4b0c9d6adf6fecc",26,0,0,1
"13767.58cfa837e4b0c9d6adf701b0",26,0,0,0
"13767.58cfa837e4b0c9d6adf6ff54",22,1,0,1
"13767.58cfa838e4b0c9d6adf70512",55,1,0,1
"13767.58cfa837e4b0c9d6adf70114",57,0,0,2
"13767.58cfa837e4b0c9d6adf70118",52,0,0,2
"13767.58cfa838e4b0c9d6adf7043f",38,1,0,1
"13767.58cfa837e4b0c9d6adf7011e",29,0,0,1
"13767.58cfa837e4b0c9d6adf6fece",34,1,0,2
"13767.58cfa838e4b0c9d6adf70475",104,2,0,4
"13767.58cfa837e4b0c9d6adf6ffb7",71,0,0,3
"13767.58cfa83be4b0c9d6adf72432",2,2,0,0
"13767.58cfa837e4b0c9d6adf6ffda",23,1,0,1
"13767.58cfa837e4b0c9d6adf6ffd4",48,0,0,1
"13767.58cfa837e4b0c9d6adf6fee4",82,1,0,3
"13767.58cfa837e4b0c9d6adf6fec8",35,1,0,2
"13767.58cfa837e4b0c9d6adf6ff1c",29,0,0,1
"13767.58cfa837e4b0c9d6adf70290",70,1,0,3
"13767.58cfa838e4b0c9d6adf7042a",643,5,0,24
"13767.58cfa837e4b0c9d6adf701b9",42,0,0,2
"13767.58cfa837e4b0c9d6adf6fef4",243,3,0,7
"13767.58cfa837e4b0c9d6adf6fe70",47,0,0,2
"13767.58cfa837e4b0c9d6adf70239",41,0,0,1
"13767.58cfa837e4b0c9d6adf6fe66",4,0,0,0
"13767.58cfa838e4b0c9d6adf70504",29,0,0,1
"13767.58cfa837e4b0c9d6adf701d6",81,0,0,2
"13767.58cfa837e4b0c9d6adf6ff3e",126,2,0,4
"13767.58cfa837e4b0c9d6adf6ff5a",34,1,0,1
"13767.58cfa837e4b0c9d6adf6ff69",21,1,0,0
"13767.58cfa837e4b0c9d6adf700a3",34,1,0,1
"13767.58cfa837e4b0c9d6adf6feb6",199,3,0,7
"13767.58cfa837e4b0c9d6adf6ff5c",17,1,0,1
