"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13767.58cfa837e4b0c9d6adf6fd52",1,1,0,0
"13767.58cfa837e4b0c9d6adf6fdcc",69,0,0,3
"13767.58cfa837e4b0c9d6adf6fd7d",5,1,0,0
"13767.58cfa837e4b0c9d6adf6fdcd",138,4,0,4
"13767.58cfa837e4b0c9d6adf6fd6e",40,1,0,1
"13767.58cfa837e4b0c9d6adf6fde6",23,0,0,0
"13767.58cfa837e4b0c9d6adf6fe00",68,0,0,2
"13767.58cfa837e4b0c9d6adf6fd28",11,1,0,1
"13767.58cfa837e4b0c9d6adf6fde2",34,1,0,1
"13767.58cfa837e4b0c9d6adf6fdbb",39,3,0,3
"13767.58cfa837e4b0c9d6adf6fcbc",36,2,0,1
"13767.58cfa837e4b0c9d6adf6fe34",23,1,0,1
"13767.58cfa837e4b0c9d6adf6fe4e",11,2,0,1
"13767.58cfa837e4b0c9d6adf6fea6",5,0,0,0
"13767.58cfa837e4b0c9d6adf6fccc",18,0,0,1
"13767.58cfa837e4b0c9d6adf6fd36",124,1,0,5
"13767.58cfa837e4b0c9d6adf6fda2",27,1,0,1
"13767.58cfa837e4b0c9d6adf6fd64",17,1,0,1
"13767.58cfa837e4b0c9d6adf6fcca",29,1,0,1
"13767.58cfa837e4b0c9d6adf6fdc6",35,1,0,2
"13767.58cfa837e4b0c9d6adf6fdfc",34,2,0,1
"13767.58cfa837e4b0c9d6adf6fd90",23,3,0,1
"13767.58cfa837e4b0c9d6adf6fe4a",58,0,0,3
"13767.58cfa837e4b0c9d6adf6fe5c",10,1,0,1
"13767.58cfa837e4b0c9d6adf6fe5e",34,5,0,2
"13767.58cfa837e4b0c9d6adf6fdd7",63,1,0,2
"13767.58cfa837e4b0c9d6adf6fdea",21,1,0,1
"13767.58cfa837e4b0c9d6adf6fe36",34,1,0,1
"13767.58cfa837e4b0c9d6adf6fd3a",20,0,0,1
"13767.58cfa837e4b0c9d6adf6fdf8",13,2,0,0
"13767.58cfa837e4b0c9d6adf6fdbe",19,2,0,0
"13767.58cfa837e4b0c9d6adf6fe12",59,0,0,1
"13767.58cfa837e4b0c9d6adf6fd70",31,0,0,2
"13767.58cfa837e4b0c9d6adf6fdb8",31,2,0,1
"13767.58cfa837e4b0c9d6adf6fdac",17,0,0,1
"13767.58cfa837e4b0c9d6adf6fddd",35,2,0,1
"13767.58cfa837e4b0c9d6adf6fe4c",25,1,0,3
"13767.58cfa837e4b0c9d6adf6fcfb",18,1,0,1
"13767.58cfa837e4b0c9d6adf6fe32",83,0,0,4
"13767.58cfa837e4b0c9d6adf6fcfe",26,2,0,2
"13767.58cfa837e4b0c9d6adf6fd79",17,1,0,0
"13767.58cfa837e4b0c9d6adf6fda6",19,0,0,0
"13767.58cfa837e4b0c9d6adf6fd48",11,1,0,1
"13767.58cfa837e4b0c9d6adf6fdc2",11,1,0,0
"13767.58cfa837e4b0c9d6adf6fd16",19,1,0,0
"13767.58cfa837e4b0c9d6adf6fdc0",42,5,0,2
"13767.58cfa837e4b0c9d6adf6fd4a",24,0,0,1
"13767.58cfa837e4b0c9d6adf6fd72",20,0,0,1
"13767.58cfa837e4b0c9d6adf6fe60",37,2,0,1
"13767.58cfa837e4b0c9d6adf6fdf2",13,0,0,1
"13767.58cfa837e4b0c9d6adf6fd1b",22,0,0,1
"13767.58cfa837e4b0c9d6adf6fd6c",18,0,0,1
"13767.58cfa837e4b0c9d6adf6fcf0",40,1,0,2
"13767.58cfa837e4b0c9d6adf6fd54",63,2,0,4
"13767.58cfa837e4b0c9d6adf6fcd2",33,1,0,1
"13767.58cfa837e4b0c9d6adf6fe40",60,2,0,3
"13767.58cfa837e4b0c9d6adf6fe14",14,2,0,0
"13767.58cfa837e4b0c9d6adf6fe58",51,1,0,2
"13767.58cfa837e4b0c9d6adf6fde0",21,1,0,1
