"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13767.58cfa83ce4b0c9d6adf72d28",86996,38256,0,3
"13767.58cfa83ce4b0c9d6adf72cd0",103370,49206,0,1
"13767.58cfa83ce4b0c9d6adf72cd8",91275,44629,0,1
"13767.58cfa83ce4b0c9d6adf72cf2",408,200,0,0
"13767.58cfa83ce4b0c9d6adf72dd2",957,492,0,1
"13767.58cfa83ce4b0c9d6adf72cfb",288,176,0,2
"13767.58cfa83ce4b0c9d6adf72d1d",76456,33252,0,0
"13767.58cfa83ce4b0c9d6adf72d1c",127785,61892,0,0
"13767.58cfa83ce4b0c9d6adf72b7a",5305,2431,1,11
"13767.58cfa83ce4b0c9d6adf72d2a",89609,39865,0,1
"13767.58cfa83ce4b0c9d6adf72cd6",17352,6765,0,1
"13767.58cfa835e4b0c9d6adf6ec34",11,1,0,1
"13767.58cfa83ce4b0c9d6adf72d02",13490,6309,1,1
"13767.58cfa83ce4b0c9d6adf72ce0",342,113,0,2
"13767.58cfa834e4b0c9d6adf6e6b7",1,0,0,0
"13767.58cfa83ce4b0c9d6adf72b11",33031,4792,5,116
"13767.58cfa83ce4b0c9d6adf72d24",18329,7411,0,2
"13767.58cfa83ce4b0c9d6adf72d0e",73901,35184,0,0
"13767.58cfa83ce4b0c9d6adf72da0",48540,23859,0,2
"13767.58cfa83ce4b0c9d6adf72d08",99344,2568,0,1
"13767.58cfa83ce4b0c9d6adf72cf7",134132,66313,0,1
"13767.58cfa83ce4b0c9d6adf72cee",129174,3813,0,3
"13767.58cfa83ce4b0c9d6adf72d2e",130874,3661,0,0
"13767.58cfa83ce4b0c9d6adf72cc8",4746,2046,8,57
"13767.58cfa83ce4b0c9d6adf72b1e",14914,8061,0,5
"13767.58cfa83be4b0c9d6adf728ea",1439,671,3,17
"13767.58cfa835e4b0c9d6adf6edf6",146,4,0,4
"13767.58cfa83ce4b0c9d6adf72cfa",88655,2286,0,1
"13767.58cfa83ce4b0c9d6adf72d0a",541,251,0,1
"13767.58cfa83ce4b0c9d6adf72d25",1866,738,0,1
"13767.58cfa83be4b0c9d6adf72886",11371,6746,0,7
"13767.58cfa83ce4b0c9d6adf72c48",798,428,0,3
"13767.58cfa83ce4b0c9d6adf72d32",406,163,0,0
"13767.58cfa83ce4b0c9d6adf72af2",167148,5907,1,11
"13767.58cfa83be4b0c9d6adf728ae",14249,8066,1,5
"13767.58cfa834e4b0c9d6adf6e475",2,0,0,0
"13767.58cfa83be4b0c9d6adf728fc",2863,1000,0,4
"13767.58cfa83ce4b0c9d6adf72d52",49846,23345,0,8
"13767.58cfa83be4b0c9d6adf728bc",4165,1914,0,7
"13767.58cfa83ce4b0c9d6adf72bcc",2826,1361,1,3
"13767.58cfa83ce4b0c9d6adf72c8e",172688,93104,0,1
"13767.58cfa83be4b0c9d6adf72882",2057,1003,5,26
"13767.58cfa83ce4b0c9d6adf72b06",6254,3685,1,22
"13767.58cfa83ce4b0c9d6adf72c95",453428,14034,0,2
"13767.58cfa83be4b0c9d6adf729ba",631,327,0,2
"13767.58cfa83ce4b0c9d6adf72d38",427,197,0,1
"13767.58cfa83ce4b0c9d6adf72bff",281748,145600,0,11
"13767.58cfa83ce4b0c9d6adf72cf6",8515,3778,0,1
"13767.58cfa83ce4b0c9d6adf72c72",100851,47978,0,3
"13767.58cfa83be4b0c9d6adf72923",622,410,0,4
"13767.58cfa83be4b0c9d6adf7292e",4495,5252,1,9
"13767.58cfa834e4b0c9d6adf6e2c6",18,0,0,1
"13767.58cfa83be4b0c9d6adf728cc",7600,7592,2,24
"13767.58cfa83be4b0c9d6adf7296d",889,405,0,2
"13767.58cfa83ce4b0c9d6adf72d6c",494,270,0,3
