"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13767.58cfa83be4b0c9d6adf725a7",247,0,0,5
"13767.58cfa837e4b0c9d6adf70304",6,0,0,0
"13767.58cfa838e4b0c9d6adf70c2b",2,0,0,0
"13767.58cfa838e4b0c9d6adf70483",10,1,0,0
"13767.58cfa837e4b0c9d6adf70302",20,1,0,1
"13767.58cfa834e4b0c9d6adf6e28c",11,5,0,0
"13767.58cfa83ae4b0c9d6adf71d4a",0,1,0,0
"13767.58cfa837e4b0c9d6adf7030c",3,0,0,0
"13767.58cfa838e4b0c9d6adf7066e",164,4,0,5
"13767.58cfa838e4b0c9d6adf70ba0",2,0,0,0
"13767.58cfa838e4b0c9d6adf704d9",50,2,0,2
"13767.58cfa832e4b0c9d6adf6d6ca",5,3,0,0
"13767.58cfa834e4b0c9d6adf6e5b7",4,0,0,0
"13767.58cfa838e4b0c9d6adf704c9",28,0,0,1
"13767.58cfa838e4b0c9d6adf706ce",16,0,0,0
"13767.58cfa837e4b0c9d6adf70307",37,0,0,2
"13767.58cfa838e4b0c9d6adf70dca",3,0,0,0
"13767.58cfa83be4b0c9d6adf72422",1,2,0,0
"13767.58cfa834e4b0c9d6adf6e5d3",5,0,0,1
"13767.58cfa83ae4b0c9d6adf71d9c",4,0,0,0
"13767.58cfa838e4b0c9d6adf70dd4",9,1,0,1
"13767.58cfa83be4b0c9d6adf722e0",13,0,0,1
"13767.58cfa834e4b0c9d6adf6e7cf",6,0,0,1
"13767.58cfa83ae4b0c9d6adf71d08",1,0,0,0
"13767.58cfa839e4b0c9d6adf71558",4,1,0,0
"13767.58cfa834e4b0c9d6adf6e537",4,0,0,1
"13767.58cfa838e4b0c9d6adf70557",17,0,0,1
"13767.58cfa838e4b0c9d6adf70db0",1,0,0,0
"13767.58cfa837e4b0c9d6adf702fc",381,4,0,23
"13767.58cfa835e4b0c9d6adf6f136",14,0,0,1
"13767.58cfa837e4b0c9d6adf703f0",47,0,0,1
"13767.58cfa83be4b0c9d6adf721d8",1,2,0,0
"13767.58cfa838e4b0c9d6adf70c26",7,0,0,1
"13767.58cfa83be4b0c9d6adf723a7",13,1,0,0
"13767.58cfa838e4b0c9d6adf70c9c",58,1,0,1
"13767.58cfa838e4b0c9d6adf70499",32,1,0,1
"13767.58cfa834e4b0c9d6adf6e6fc",23,0,0,1
"13767.58cfa838e4b0c9d6adf70467",121,1,0,6
"13767.58cfa834e4b0c9d6adf6e866",7,0,0,1
"13767.58cfa83ae4b0c9d6adf71862",1,2,0,0
"13767.58cfa838e4b0c9d6adf70495",7,0,0,0
"13767.58cfa83be4b0c9d6adf71f40",7,1,0,1
"13767.58cfa839e4b0c9d6adf714d8",12,1,0,0
"13767.58cfa834e4b0c9d6adf6e52b",6,2,0,0
"13767.58cfa838e4b0c9d6adf70461",609,3,0,22
"13767.58cfa838e4b0c9d6adf7063e",12,0,0,1
"13767.58cfa83be4b0c9d6adf71f43",11,1,0,1
"13767.58cfa837e4b0c9d6adf702ea",44,2,0,1
"13767.58cfa838e4b0c9d6adf70cae",53,0,0,1
"13767.58cfa838e4b0c9d6adf70473",262,2,0,9
"13767.58cfa834e4b0c9d6adf6e496",13,0,0,1
"13767.58cfa83ae4b0c9d6adf7185a",5,4,0,0
"13767.58cfa83ae4b0c9d6adf71ba8",2,0,0,0
"13767.58cfa83ae4b0c9d6adf71e20",21,0,0,1
"13767.58cfa834e4b0c9d6adf6e671",8,1,0,0
"13767.58cfa83ae4b0c9d6adf71854",3,2,0,0
"13767.58cfa838e4b0c9d6adf70630",43,3,0,2
"13767.58cfa83ae4b0c9d6adf71c3e",65,1,0,3
"13767.58cfa839e4b0c9d6adf71564",2,1,0,0
"13767.58cfa838e4b0c9d6adf70cb4",35,2,0,1
"13767.58cfa83ae4b0c9d6adf71b6d",2,2,0,0
"13767.58cfa838e4b0c9d6adf7067a",9,0,0,1
"13767.58cfa838e4b0c9d6adf70b82",7,1,0,0
"13767.58cfa83ae4b0c9d6adf71c7e",12,0,0,0
"13767.58cfa83be4b0c9d6adf724c8",0,2,0,0
"13767.58cfa838e4b0c9d6adf70f10",1,0,0,0
"13767.58cfa839e4b0c9d6adf71548",0,1,0,0
"13767.58cfa838e4b0c9d6adf70666",24,1,0,1
"13767.58cfa838e4b0c9d6adf70694",23,0,0,1
"13767.58cfa83ae4b0c9d6adf71c16",21,0,0,2
"13767.58cfa83ae4b0c9d6adf7165f",2,0,0,0
"13767.58cfa83ae4b0c9d6adf71d17",3,1,0,0
"13767.58cfa834e4b0c9d6adf6e407",2,0,0,0
"13767.58cfa837e4b0c9d6adf702fe",65,1,0,3
"13767.58cfa83be4b0c9d6adf724e0",0,2,0,0
"13767.58cfa83ae4b0c9d6adf71b73",4,3,0,0
"13767.58cfa838e4b0c9d6adf70485",73,0,0,3
"13767.58cfa835e4b0c9d6adf6ec36",11,2,0,0
"13767.58cfa83ae4b0c9d6adf71dda",1,1,0,0
"13767.58cfa83ae4b0c9d6adf71874",1,2,0,0
"13767.58cfa83ae4b0c9d6adf71bac",0,1,0,0
"13767.58cfa838e4b0c9d6adf70487",100,2,0,3
"13767.58cfa838e4b0c9d6adf70cd8",32,3,0,1
"13767.58cfa83ae4b0c9d6adf71bc8",1,0,0,0
"13767.58cfa83ae4b0c9d6adf71e00",1,1,0,0
"13767.58cfa838e4b0c9d6adf70437",54,1,0,2
"13767.58cfa838e4b0c9d6adf70d4a",43,2,0,4
"13767.58cfa838e4b0c9d6adf70d54",3,0,0,1
"13767.58cfa83ae4b0c9d6adf71d8e",3,0,0,0
"13767.58cfa838e4b0c9d6adf7079a",50,1,0,3
"13767.58cfa83be4b0c9d6adf72359",0,1,0,0
"13767.58cfa838e4b0c9d6adf70569",11,0,0,1
"13767.58cfa838e4b0c9d6adf707fc",6,0,0,0
"13767.58cfa838e4b0c9d6adf708af",202,2,0,6
"13767.58cfa83be4b0c9d6adf722ca",1,1,0,0
"13767.58cfa838e4b0c9d6adf7063c",21,1,0,2
"13767.58cfa83be4b0c9d6adf722e2",1,1,0,0
"13767.58cfa834e4b0c9d6adf6e4ec",21,0,0,1
"13767.58cfa83ae4b0c9d6adf71a7c",1,2,0,0
"13767.58cfa83be4b0c9d6adf72253",1,2,0,0
"13767.58cfa83ae4b0c9d6adf71e72",3,0,0,0
"13767.58cfa83be4b0c9d6adf721ea",0,1,0,0
"13767.58cfa83ae4b0c9d6adf71e5a",4,0,0,0
"13767.58cfa837e4b0c9d6adf703ee",184,1,0,7
"13767.58cfa839e4b0c9d6adf71152",2,0,0,0
