"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13767.58cfa83be4b0c9d6adf724e8",0,1,0,0
"13767.58cfa834e4b0c9d6adf6e7df",3,0,0,0
"13767.58cfa83be4b0c9d6adf7244c",0,2,0,0
"13767.58cfa834e4b0c9d6adf6e75a",4,1,0,0
"13767.58cfa83be4b0c9d6adf7244a",0,1,0,0
"13767.58cfa83be4b0c9d6adf727f1",1,0,0,0
"13767.58cfa834e4b0c9d6adf6e761",4,0,0,0
"13767.58cfa834e4b0c9d6adf6e764",9,0,0,0
"13767.58cfa83be4b0c9d6adf72460",0,1,0,0
"13767.58cfa83be4b0c9d6adf7272c",1,0,0,1
"13767.58cfa83be4b0c9d6adf724e6",1,0,0,0
"13767.58cfa834e4b0c9d6adf6e758",2,0,0,0
"13767.58cfa834e4b0c9d6adf6e76e",4,1,0,0
"13767.58cfa834e4b0c9d6adf6e756",0,1,0,0
"13767.58cfa83be4b0c9d6adf729c1",7,0,0,0
"13767.58cfa83be4b0c9d6adf7276a",39,1,0,2
"13767.58cfa834e4b0c9d6adf6e75c",2,0,0,0
"13767.58cfa83be4b0c9d6adf72730",1,0,0,0
"13767.58cfa83ae4b0c9d6adf71cee",7,0,0,0
"13767.58cfa83be4b0c9d6adf724f6",0,3,0,0
"13767.58cfa838e4b0c9d6adf70955",9,0,0,0
"13767.58cfa83be4b0c9d6adf72766",2,0,0,0
"13767.58cfa838e4b0c9d6adf70aee",14,1,0,2
"13767.58cfa83be4b0c9d6adf727fc",45,0,0,2
"13767.58cfa83ae4b0c9d6adf71d34",7,0,0,0
"13767.58cfa83ae4b0c9d6adf71e2c",3,0,0,0
"13767.58cfa834e4b0c9d6adf6e760",6,0,0,0
"13767.58cfa83be4b0c9d6adf72898",1,0,0,0
"13767.58cfa83be4b0c9d6adf72648",25,4,0,1
"13767.58cfa83be4b0c9d6adf71eb8",0,1,0,0
"13767.58cfa838e4b0c9d6adf705b4",174,1,0,7
"13767.58cfa83be4b0c9d6adf7256e",2,1,0,0
"13767.58cfa83be4b0c9d6adf72684",2,0,0,0
"13767.58cfa83be4b0c9d6adf724fd",0,1,0,0
"13767.58cfa83ae4b0c9d6adf71cf8",9,0,0,1
"13767.58cfa83be4b0c9d6adf727cb",7,0,0,0
"13767.58cfa838e4b0c9d6adf70b10",5,0,0,0
"13767.58cfa83ae4b0c9d6adf71e38",0,1,0,0
"13767.58cfa83be4b0c9d6adf7253e",1,0,0,0
"13767.58cfa83ae4b0c9d6adf71d60",1,1,0,0
"13767.58cfa83be4b0c9d6adf72446",1,0,0,0
"13767.58cfa83be4b0c9d6adf72544",6,0,0,0
"13767.58cfa83be4b0c9d6adf71f38",12,1,0,1
"13767.58cfa83ae4b0c9d6adf71c6a",3,1,0,0
"13767.58cfa83be4b0c9d6adf72695",3,0,0,0
"13767.58cfa83ae4b0c9d6adf71e4a",5,0,0,0
"13767.58cfa83be4b0c9d6adf72587",31,0,0,1
"13767.58cfa838e4b0c9d6adf70d22",3,0,0,0
"13767.58cfa834e4b0c9d6adf6e76c",1,1,0,0
"13767.58cfa83be4b0c9d6adf72550",1,0,0,0
"13767.58cfa839e4b0c9d6adf715a3",13,0,0,1
"13767.58cfa83ae4b0c9d6adf71d64",1,0,0,0
"13767.58cfa838e4b0c9d6adf70565",36,0,0,3
"13767.58cfa83be4b0c9d6adf725f0",57,0,0,2
"13767.58cfa83be4b0c9d6adf724d6",0,2,0,0
"13767.58cfa83ae4b0c9d6adf71d82",0,1,0,0
"13767.58cfa83ae4b0c9d6adf71cce",1,0,0,0
"13767.58cfa83be4b0c9d6adf72856",1,0,0,0
"13767.58cfa838e4b0c9d6adf70b38",5,0,0,0
"13767.58cfa83ae4b0c9d6adf71a55",0,2,0,0
"13767.58cfa834e4b0c9d6adf6e766",2,0,0,0
"13767.58cfa838e4b0c9d6adf70a4b",452,1,0,17
"13767.58cfa83ae4b0c9d6adf71da3",2,0,0,0
"13767.58cfa83be4b0c9d6adf7251a",1,0,0,0
"13767.58cfa834e4b0c9d6adf6e6a7",180,1,0,9
"13767.58cfa83be4b0c9d6adf72734",6,0,0,0
"13767.58cfa83ae4b0c9d6adf71b90",8,0,0,0
"13767.58cfa83ae4b0c9d6adf71d66",0,1,0,0
"13767.58cfa83be4b0c9d6adf725b5",1,1,0,0
"13767.58cfa838e4b0c9d6adf70996",28,0,0,1
"13767.58cfa835e4b0c9d6adf6ec32",30,0,0,1
"13767.58cfa838e4b0c9d6adf70fb2",1,0,0,0
"13767.58cfa83be4b0c9d6adf72837",1,0,0,0
"13767.58cfa835e4b0c9d6adf6ec0e",1,0,0,0
"13767.58cfa83be4b0c9d6adf7246c",0,1,0,0
"13767.58cfa83ae4b0c9d6adf71d41",5,0,0,0
"13767.58cfa834e4b0c9d6adf6e668",3,0,0,0
"13767.58cfa83ae4b0c9d6adf717ae",0,1,0,0
"13767.58cfa83be4b0c9d6adf72454",1,1,0,0
"13767.58cfa83be4b0c9d6adf725e4",37,1,0,1
"13767.58cfa83ae4b0c9d6adf71d54",2,0,0,0
"13767.58cfa83be4b0c9d6adf71f3c",8,1,0,0
"13767.58cfa83be4b0c9d6adf71f42",9,1,0,1
"13767.58cfa838e4b0c9d6adf7051a",340,2,0,13
"13767.58cfa83ae4b0c9d6adf71d6b",1,0,0,0
"13767.58cfa83ae4b0c9d6adf71d46",4,2,0,0
"13767.58cfa83ae4b0c9d6adf71675",4,0,0,0
"13767.58cfa83be4b0c9d6adf72503",0,1,0,0
"13767.58cfa838e4b0c9d6adf70a7a",134,1,0,5
"13767.58cfa83ae4b0c9d6adf71ae6",1,2,0,0
"13767.58cfa838e4b0c9d6adf709da",3,0,0,0
"13767.58cfa83ae4b0c9d6adf71b86",0,2,0,0
"13767.58cfa838e4b0c9d6adf709a4",19,0,0,1
"13767.58cfa83ae4b0c9d6adf71df6",3,0,0,0
"13767.58cfa837e4b0c9d6adf702b2",114,1,0,4
"13767.58cfa83be4b0c9d6adf725f8",1,0,0,0
"13767.58cfa838e4b0c9d6adf70582",15,0,0,1
"13767.58cfa83ae4b0c9d6adf71c7c",4,0,0,0
"13767.58cfa837e4b0c9d6adf700d6",18,0,0,1
"13767.58cfa83be4b0c9d6adf727d5",0,1,0,0
"13767.58cfa83ae4b0c9d6adf71e2a",16,0,0,1
"13767.58cfa838e4b0c9d6adf7094c",28,0,0,3
"13767.58cfa838e4b0c9d6adf70bb0",11,0,0,0
"13767.58cfa839e4b0c9d6adf71494",15,0,0,0
"13767.58cfa83ae4b0c9d6adf71c92",17,1,0,1
"13767.58cfa838e4b0c9d6adf7056e",205,1,0,6
"13767.58cfa834e4b0c9d6adf6e2f2",1,0,0,0
"13767.58cfa83ae4b0c9d6adf71bd0",2,0,0,0
"13767.58cfa83ae4b0c9d6adf71892",5,0,0,0
"13767.58cfa83ae4b0c9d6adf71d58",9,1,0,0
"13767.58cfa834e4b0c9d6adf6e3d1",49,0,0,2
"13767.58cfa83ae4b0c9d6adf71d0b",2,0,0,0
"13767.58cfa83be4b0c9d6adf726d2",0,1,0,0
"13767.58cfa839e4b0c9d6adf71248",1,1,0,0
"13767.58cfa838e4b0c9d6adf70ac6",5,0,0,0
"13767.58cfa838e4b0c9d6adf70a5e",0,1,0,0
"13767.58cfa838e4b0c9d6adf7045a",59,2,0,2
"13767.58cfa83ae4b0c9d6adf71dd2",4,1,0,0
"13767.58cfa837e4b0c9d6adf70193",78,2,0,3
"13767.58cfa83be4b0c9d6adf7263e",2,1,0,0
"13767.58cfa838e4b0c9d6adf70950",48,0,0,2
"13767.58cfa838e4b0c9d6adf70a54",50,0,0,2
"13767.58cfa83ae4b0c9d6adf71df8",1,0,0,0
"13767.58cfa838e4b0c9d6adf7097c",4,1,0,0
"13767.58cfa83be4b0c9d6adf72513",1,0,0,0
"13767.58cfa838e4b0c9d6adf7096a",7,0,0,0
"13767.58cfa838e4b0c9d6adf709ee",42,0,0,2
"13767.58cfa838e4b0c9d6adf70e00",257,1,0,9
"13767.58cfa837e4b0c9d6adf70330",106,2,0,3
"13767.58cfa838e4b0c9d6adf7057c",49,1,0,1
"13767.58cfa83be4b0c9d6adf7263a",3,0,0,0
"13767.58cfa838e4b0c9d6adf70992",14,0,0,0
"13767.58cfa83be4b0c9d6adf7246f",1,0,0,0
"13767.58cfa83ae4b0c9d6adf71a3a",0,2,0,0
"13767.58cfa83ae4b0c9d6adf71a84",1,0,0,0
